year,riant_VERB en_ADP,riant_VERB sans_ADP
1800,5.0306631749208464e-08,1.2576657937302116e-08
1801,1.6668277424969347e-08,1.904946067554647e-08
1802,2.9091921760482364e-08,1.5664880947952042e-08
1803,5.851017448321727e-09,1.1702034896643454e-08
1804,2.4718509461507665e-09,2.4718509905596875e-08
1805,8.528632911009026e-09,1.421438877713399e-08
1806,1.152667650217154e-08,5.76333825108577e-09
1807,5.693910232196231e-09,5.693910232196231e-09
1808,1.3596443970698147e-08,4.5321479902327155e-09
1809,2.259030518203531e-09,0.0
1810,1.1700633351097167e-08,1.4040760554223652e-08
1811,1.2535384286138651e-08,0.0
1812,8.00162425207418e-09,8.00162425207418e-09
1813,2.0130190847567064e-08,5.751483289628823e-09
1814,0.0,6.293354282149721e-09
1815,2.697223555614414e-09,1.0788894222457657e-08
1816,2.7811246638975717e-08,2.3176038865813098e-09
1817,1.8682481006671026e-08,1.0898113522728181e-08
1818,1.4305412854298538e-08,1.668964877410417e-08
1819,6.210630232317271e-09,3.1053151161586356e-08
1820,7.119888678630559e-09,3.5599443393152796e-09
1821,1.7750679148775816e-08,5.9168927535324656e-09
1822,2.105379337535851e-08,8.02049271442229e-09
1823,2.668325471688604e-08,7.906149512848515e-09
1824,6.231623661534513e-08,8.421112696055388e-10
1825,1.6730341112491942e-08,3.522177216552791e-09
1826,1.937756521908085e-08,1.9377566218281572e-08
1827,6.452091305675367e-09,9.217273055917019e-10
1828,2.4765213879618386e-08,1.6510142586412258e-08
1829,3.3435387791769244e-08,1.3717081692732336e-08
1830,2.9223140574075046e-08,3.1310507520032616e-09
1831,5.301009919911337e-08,6.236482441579483e-09
1832,1.488296597074168e-08,3.2471927369215337e-08
1833,1.5058717162119706e-08,1.9692167896323554e-08
1834,1.5868701908061666e-08,3.080395316601425e-08
1835,4.386591001548368e-08,1.5126175867408165e-08
1836,1.0081124712790768e-08,1.5457725766054864e-08
1837,2.1569462660409044e-08,7.653680356156656e-09
1838,1.830527018853445e-08,1.830527018853445e-08
1839,1.6779539646627484e-08,1.11863602825224e-08
1840,1.8472096741106725e-08,1.2739377552861697e-08
1841,2.632424944692957e-08,7.704658244733764e-09
1842,2.2137274680034125e-08,2.683306021822318e-09
1843,3.130662956651875e-08,7.088293507706567e-09
1844,2.195424464446205e-08,6.586273748609983e-09
1845,1.1160455670733427e-08,7.812318791877715e-09
1846,1.5807153141977892e-08,7.025401593807601e-09
1847,5.3932236454556914e-09,4.314578916364553e-09
1848,2.091757700384278e-08,5.63165514222419e-09
1849,1.75967720394965e-08,1.6758829879393033e-09
1850,4.073397619208663e-09,4.752297222410107e-09
1851,6.449438760824933e-09,6.449438760824933e-09
1852,1.2370036550635177e-08,1.4323200403509873e-08
1853,1.2541057081705276e-08,4.180352064508952e-09
1854,1.8704392701351935e-08,9.871762074453727e-09
