year,rampant_VERB en_ADP
1800,4.4018303668735825e-08
1801,7.143547975374531e-09
1802,0.0
1803,9.751696339321825e-09
1804,4.943701892301533e-09
1805,4.5486043376286034e-08
1806,0.0
1807,1.1387820464392462e-08
1808,9.064295980465431e-09
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,1.4378708002027452e-08
1814,1.5733386149463513e-08
1815,0.0
1816,1.3905623319487859e-08
1817,1.556873407970727e-09
1818,3.5763532135746345e-09
1819,7.24573512300708e-09
1820,8.306536791735653e-09
1821,8.875339574387908e-09
1822,2.5064039732569654e-08
1823,9.882686891060644e-10
1824,8.421112696055388e-09
1825,8.101007864524945e-08
1826,6.1655889282974385e-09
1827,2.027800150017356e-08
1828,2.7516904310687096e-09
1829,3.429270423183084e-09
1830,5.218417697960831e-09
1831,1.7150327380477393e-08
1832,5.411987746839486e-09
1833,2.0850531967653296e-08
1834,4.667265685043276e-09
1835,7.563087933704082e-09
1836,5.376600054063374e-09
1837,3.6181031504156635e-08
1838,1.830527018853445e-08
1839,4.194885327990505e-09
1840,1.9109065441114126e-09
1841,3.017657945747487e-08
1842,3.3541325272778977e-09
1843,6.497602011990011e-09
1844,6.037417232818143e-09
1845,7.812318791877715e-09
1846,2.3418005312692003e-08
1847,2.1572894581822766e-09
1848,5.63165514222419e-09
1849,8.379414939696517e-10
1850,2.0366988096043315e-08
1851,8.384270167027807e-09
1852,2.148479971708639e-08
1853,1.7915795513800958e-09
1854,8.832629738719788e-09
1855,5.306937111981824e-09
1856,8.801221973442352e-09
1857,7.810414537345878e-09
1858,2.4468380654951716e-09
1859,1.323965115318515e-08
1860,6.408057640072684e-09
1861,1.2733101684148096e-08
1862,4.066187830886747e-09
1863,4.994620717013731e-09
1864,1.9178911792039344e-09
1865,2.871175119878444e-08
1866,7.298419202328432e-09
1867,1.8925964795357686e-08
1868,1.1361710683388537e-08
1869,5.860222973552709e-09
1870,8.027668307875047e-09
1871,1.1683295220166201e-08
1872,6.652073114565837e-09
1873,2.3944017879529156e-09
1874,1.4936523129449597e-08
1875,1.0298748520654044e-08
1876,4.232210137899983e-09
1877,8.040260901509555e-09
1878,5.435179861734696e-09
1879,4.887460214320072e-09
1880,8.343199908722454e-09
1881,9.064259565150223e-09
1882,5.989846840748214e-09
1883,6.951272890631799e-09
1884,9.242375753615306e-09
1885,5.80107206715752e-09
1886,8.38950331427668e-09
1887,6.528924512139156e-09
1888,4.4384300679212174e-09
1889,1.0650732740202784e-08
1890,7.209825181320184e-09
1891,7.0116419337296065e-09
1892,1.2537024751679837e-08
1893,9.23762488724833e-09
1894,6.9316934414587195e-09
1895,5.416753268150387e-09
1896,4.717623180994224e-09
1897,1.5149455023788505e-08
1898,7.921697076085366e-09
1899,1.4371703827009696e-08
1900,1.038210584169974e-08
1901,1.397184773432869e-08
1902,7.856454153909453e-09
1903,1.5660639007819555e-08
1904,1.5586412160928376e-08
1905,1.1353670004154992e-08
1906,4.115347618238729e-09
1907,4.6285588695127444e-09
1908,8.349361202419914e-09
1909,1.1001967337165297e-08
1910,5.34415089958884e-09
1911,8.51259862599818e-09
1912,5.2094213387476884e-09
1913,5.30298971401777e-10
1914,3.3483718020477227e-09
1915,2.120537156979907e-08
1916,2.197492365851872e-08
1917,1.5352993543160665e-08
1918,2.2972752589112133e-09
1919,3.6831393490643904e-09
1920,9.843900805606154e-09
1921,1.2116395886607734e-08
1922,2.2133805899215986e-09
1923,1.3800733000834953e-08
1924,1.289162443462999e-09
1925,4.399271169575059e-09
1926,4.458455382660986e-09
1927,0.0
1928,5.713020723163709e-09
1929,0.0
1930,1.8906487042613662e-08
1931,6.843213995466613e-09
1932,8.767629289252454e-09
1933,3.4411986593596566e-09
1934,8.38710612072191e-09
1935,4.787313656606784e-09
1936,2.182448710641438e-08
1937,3.399602022113868e-08
1938,2.5930428915188486e-09
1939,1.070583532936098e-08
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,1.4516175816936538e-08
1944,1.2852744646352221e-08
1945,1.74280327946974e-08
1946,5.568441707737293e-09
1947,4.7683483828109274e-09
1948,7.610321262063735e-09
1949,3.9268033269479474e-09
1950,2.1270722960764488e-09
1951,7.462981344019681e-09
1952,4.2179215675730575e-09
1953,6.464296653518886e-09
1954,1.3681550115052232e-08
1955,6.569925492527773e-09
1956,9.593255967388359e-09
1957,7.951533764760654e-09
1958,9.099467845885556e-09
1959,9.300897829689347e-09
1960,1.3841666701708277e-09
1961,2.08444772553662e-09
1962,3.805173953708163e-09
1963,4.526237162849611e-09
1964,6.692365273064382e-09
1965,5.472043540510896e-09
1966,4.985167390003653e-09
1967,2.1693477236794934e-08
1968,9.88111459321317e-09
1969,2.7250546263957176e-09
1970,1.0117195081704722e-08
1971,1.3359833239690033e-08
1972,1.1799337507056862e-08
