year,reconnaissant_VERB en_ADP
1800,6.288328968651058e-09
1801,5.000483582762172e-08
1802,4.475680270843441e-09
1803,2.5354410126965377e-08
1804,2.2246657849223084e-08
1805,2.2743021688143017e-08
1806,0.0
1807,4.555128274574827e-08
1808,2.4926814390369145e-08
1809,6.09938268780752e-08
1810,3.978215445954447e-08
1811,4.512738271955641e-08
1812,1.8670457180292033e-08
1813,2.5881675469463516e-08
1814,3.1466771410748606e-09
1815,4.315557644574142e-08
1816,9.965696534663948e-08
1817,5.7604317760251433e-08
1818,3.337929754820834e-08
1819,2.070209959015301e-08
1820,6.40789963313182e-08
1821,4.832129363308013e-08
1822,5.81485721795616e-08
1823,4.743689885344793e-08
1824,1.280009129800419e-07
1825,1.1270966804310945e-07
1826,1.1186140369545683e-07
1827,4.5164638917682964e-08
1828,6.970949090190359e-08
1829,7.030004667285539e-08
1830,9.184415716845251e-08
1831,1.02901957177437e-07
1832,1.0147477091937418e-07
1833,6.486831805041504e-08
1834,5.227337385171893e-08
1835,1.013453783116347e-07
1836,6.451920153693891e-08
1837,9.393152999859211e-08
1838,9.720729599038691e-08
1839,1.6709626127209276e-07
1840,1.191131772659837e-07
1841,9.309795734324666e-08
1842,1.2812786565064016e-07
1843,1.4531001935047527e-07
1844,1.3666517650889887e-07
1845,1.7131300467099209e-07
1846,1.077228235502048e-07
1847,1.661112927209274e-07
1848,1.0217431789527609e-07
1849,1.2066357246709458e-07
1850,1.3238542617699522e-07
1851,1.0190113375330156e-07
1852,1.2825774509117593e-07
1853,1.2660495585237186e-07
1854,1.5483079884859308e-07
1855,1.6610712805231742e-07
1856,1.045792243914434e-07
1857,1.440045198641826e-07
1858,1.8106600663259087e-07
1859,1.4665459513452106e-07
1860,1.771370197189981e-07
1861,1.678883096989381e-07
1862,1.3734678905308328e-07
1863,1.6931763990868376e-07
1864,1.3185502023560502e-07
1865,1.3791054165324113e-07
1866,1.5326680591343234e-07
1867,1.1064410365690946e-07
1868,1.0225539437414e-07
1869,1.4845897844395495e-07
1870,1.6055336837794698e-07
1871,1.561313007769627e-07
1872,1.390887988117484e-07
1873,1.3049490021899146e-07
1874,1.5533983876991897e-07
1875,1.1957991574718108e-07
1876,1.0036384612277516e-07
1877,1.1132668475966057e-07
1878,1.1353486373266719e-07
1879,1.19742776805154e-07
1880,9.434233749772147e-08
1881,8.924809891119878e-08
1882,1.2312462160934956e-07
1883,1.124842321509334e-07
1884,1.168500389781002e-07
1885,1.0248560755599101e-07
1886,1.0970888864036965e-07
1887,1.0250411963674821e-07
1888,1.0398607841466401e-07
1889,9.335053441361651e-08
1890,9.110597165573608e-08
1891,1.0963658336748949e-07
1892,9.402768785804483e-08
1893,1.2994259201981606e-07
1894,1.0775631897885773e-07
1895,9.027921699100716e-08
1896,1.2619641953648397e-07
1897,9.672344147837464e-08
1898,1.2731298593138263e-07
1899,9.0652287454418e-08
1900,1.0174464204482092e-07
1901,9.053757299426479e-08
1902,7.021705672460854e-08
1903,8.100330095572872e-08
1904,9.298101932841973e-08
1905,1.2282606998148538e-07
1906,1.0236926839546356e-07
1907,6.994266743554078e-08
1908,7.317969630271648e-08
1909,8.966603370907933e-08
1910,9.245380550026994e-08
1911,7.714542737957686e-08
1912,8.12669744831851e-08
1913,1.0552949292197411e-07
1914,8.97363650054217e-08
1915,6.24380365188415e-08
1916,7.91097294339238e-08
1917,7.128175671944348e-08
1918,1.0912057302192579e-07
1919,1.0036555053716256e-07
1920,9.162400038675855e-08
1921,1.0147481749323006e-07
1922,1.0107771508671703e-07
1923,8.068120482818131e-08
1924,8.508472104651332e-08
1925,1.0778214321049973e-07
1926,1.2149290817831115e-07
1927,1.1818178036193672e-07
1928,9.712134718675713e-08
1929,1.2254447145920722e-07
1930,1.0083459267562489e-07
1931,9.694552893790842e-08
1932,6.466126700743757e-08
1933,9.061823202927144e-08
1934,1.0304159303586857e-07
1935,9.454944827069767e-08
1936,9.942265810636286e-08
1937,1.0072894696122603e-07
1938,7.390172507282244e-08
1939,9.176430282309411e-08
1940,5.832300686847702e-08
1941,8.854507882460894e-08
1942,7.888950648293758e-08
1943,1.1903264240942235e-07
1944,1.3816700850100005e-07
1945,9.367567610496508e-08
1946,1.0301617336949676e-07
1947,1.1205618832832442e-07
1948,1.0654449988933834e-07
1949,1.1093219676183708e-07
1950,7.976521354535748e-08
1951,1.0234945890807978e-07
1952,7.697706538856153e-08
1953,1.0881565826181827e-07
1954,9.7725362024903e-08
1955,9.479463791706166e-08
1956,8.459507405689237e-08
1957,9.541840650939548e-08
1958,1.0836638575373314e-07
1959,8.603329870737753e-08
1960,9.481541507483371e-08
1961,1.0700165553600982e-07
1962,9.195836758735254e-08
1963,9.052474503334906e-08
1964,8.760914083083549e-08
1965,8.372226156794227e-08
1966,1.0136506833902104e-07
1967,8.973211063079134e-08
1968,1.0420084706197486e-07
1969,1.2807757343580306e-07
1970,1.0485093060452755e-07
1971,9.146347146327116e-08
1972,8.567345144427918e-08
1973,9.207050588599941e-08
1974,8.38210167941611e-08
1975,8.281646479701976e-08
1976,7.941802548927512e-08
1977,7.81611966260698e-08
1978,9.089104491266653e-08
1979,8.017203256827088e-08
1980,8.47087431310456e-08
1981,9.867857553302883e-08
1982,9.249178400949631e-08
1983,1.0104505498986782e-07
1984,8.524542138843572e-08
1985,9.023337099733908e-08
1986,1.1269632693711173e-07
1987,1.118279495671004e-07
1988,9.654451771368144e-08
1989,1.0207907408243955e-07
1990,9.807571732523002e-08
1991,9.612802998049119e-08
1992,8.044518695626834e-08
1993,1.1355374951449448e-07
1994,1.0286107166024294e-07
1995,1.1007575295707284e-07
1996,1.0462661048649124e-07
1997,1.0452870302657402e-07
1998,1.1681916323169617e-07
1999,1.2613755018264783e-07
2000,1.0691636465054444e-07
2001,1.0120599469587432e-07
2002,1.2311232300277197e-07
2003,1.104234552684602e-07
2004,1.1364361451882132e-07
2005,1.1214336836928851e-07
2006,1.1447733783143121e-07
2007,1.2462776233235218e-07
2008,1.1069343042180435e-07
2009,1.182511741859571e-07
2010,1.1809482725055886e-07
2011,9.789368116130959e-08
2012,1.0382970661027002e-07
2013,1.0236089087456435e-07
2014,9.376377807512881e-08
2015,9.021461577773948e-08
2016,1.1930918830671544e-07
2017,9.861196170746211e-08
2018,9.964461167299987e-08
2019,1.0229460878363739e-07
