year,évitant_VERB en_ADP
1800,0.0
1801,9.524730337773235e-09
1802,0.0
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,2.259030518203531e-09
1810,0.0
1811,1.504245972228091e-08
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.2454987263765815e-08
1818,0.0
1819,1.035105001712111e-09
1820,4.746592452420373e-09
1821,8.875339574387908e-09
1822,0.0
1823,9.882686891060644e-10
1824,1.6842225392110777e-09
1825,0.0
1826,1.6735169694470642e-08
1827,0.0
1828,1.6510142586412258e-08
1829,9.430493719264632e-09
1830,1.1480519646056564e-08
1831,1.5591206548037917e-08
1832,1.0823975493678972e-08
1833,3.4750886612755494e-09
1834,0.0
1835,1.5882484660778573e-08
1836,1.4113575197427508e-08
1837,6.957890930081589e-10
1838,3.1560809521380406e-09
1839,8.38977065598101e-09
1840,1.6561189752906103e-08
1841,4.494383976094696e-09
1842,3.3541325272778977e-09
1843,1.1813821920725331e-08
1844,6.037417232818143e-09
1845,6.696273757711424e-09
1846,9.952652035849496e-09
1847,1.0786447290911383e-08
1848,1.287235473768078e-08
1849,2.513824481908955e-09
1850,0.0
1851,1.9348316282474798e-09
1852,1.3021090872200602e-09
1853,2.388772735173461e-09
1854,5.7152309551611324e-09
1855,5.306937111981824e-09
1856,1.3978411317339123e-08
1857,3.4170564155999728e-09
1858,6.8511463169329545e-09
1859,2.036869339860914e-09
1860,3.204028820036342e-09
1861,3.3011746669586728e-09
1862,8.132375661773494e-09
1863,2.9967726078439227e-09
1864,7.1920918109924514e-09
1865,5.177528628053096e-09
1866,9.244664589402873e-09
1867,3.396968040192405e-09
1868,4.93987406535723e-10
1869,9.767038289254515e-10
1870,5.734048791339319e-09
1871,5.3105884134652115e-09
1872,1.0885210954825197e-08
1873,1.6760813181804224e-08
1874,1.4339061493728877e-08
1875,4.577221712764867e-09
1876,4.836811839936672e-09
1877,1.608052180301911e-08
1878,6.039088784604019e-09
1879,1.221865097988939e-08
1880,1.0910338410496934e-08
1881,6.9725074602899895e-09
1882,3.9932310791357395e-09
1883,1.516641390253426e-08
1884,4.621187876807653e-09
1885,1.160214413431504e-08
1886,1.2906927970846027e-08
1887,5.223139698529167e-09
1888,1.2047167707862627e-08
1889,1.3156786771162388e-08
1890,7.865263995654459e-09
1891,1.0198752065093686e-08
1892,5.641661360300532e-09
1893,8.005941687372342e-09
1894,1.0082462864602348e-08
1895,3.611168697403855e-09
1896,4.1279202278587945e-09
1897,8.740070001067579e-09
1898,1.0185038590293516e-08
1899,4.4220627160029835e-09
1900,7.786579381274805e-09
1901,7.824234593556412e-09
1902,4.17374117489544e-08
1903,1.83607493653426e-08
1904,1.1286712897629059e-08
1905,8.257214467732865e-09
1906,6.6874399351490865e-09
1907,4.114274698707732e-09
1908,3.437972351250096e-09
1909,4.950885035270858e-09
1910,1.1222716089775986e-08
1911,8.51259862599818e-09
1912,4.167536982180309e-09
1913,9.545381374209683e-09
1914,8.036092680185902e-09
1915,4.712304768617059e-09
