year,petit_ADJ antre_NOUN,petit_ADJ centre_NOUN
1800,1.2576657937302116e-08,0.0
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,4.475680270843441e-09,2.9091921760482364e-08
1803,3.900678446910888e-09,5.851017448321727e-09
1804,0.0,0.0
1805,0.0,1.7057265822018053e-08
1806,0.0,0.0
1807,0.0,0.0
1808,1.8128591960930862e-08,6.798221985349073e-09
1809,6.7770917766551975e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,5.0141535368197765e-09
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,9.440030979135372e-09
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,4.670620334934483e-09,9.341240669868967e-09
1818,3.5763532135746345e-09,1.1921176934492905e-08
1819,0.0,0.0
1820,1.1866481131050932e-09,4.746592452420373e-09
1821,2.465372084259343e-08,1.0847637454958203e-08
1822,4.010246357211145e-09,4.010246357211145e-09
1823,6.917880934764753e-09,1.581229902569703e-08
1824,0.0,8.421112696055388e-10
1825,7.924898959288385e-09,1.2327619813845558e-08
1826,0.0,3.5231937367541377e-09
1827,1.8434546111834038e-09,5.530363722527909e-09
1828,8.255071293206129e-09,2.7516904310687096e-09
1829,8.57317605795771e-10,8.573175946935407e-09
1830,1.0436835840010872e-09,0.0
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,4.058990921151917e-09,5.411987746839486e-09
1833,0.0,1.9692167896323554e-08
1834,1.213489042584115e-08,4.0138484536100805e-08
1835,7.563087933704082e-09,3.857174846189082e-08
1836,3.36037508930076e-09,1.5457725766054864e-08
1837,1.3915781860163179e-09,3.270208637218275e-08
1838,7.574594285131298e-09,1.4517972601879592e-08
1839,4.194885327990505e-09,3.915226187700682e-08
1840,0.0,1.7835128929277744e-08
1841,1.2841097074556274e-09,3.723918240439161e-08
1842,0.0,5.500777433553594e-08
1843,5.906911071384968e-10,1.6539351221922516e-08
1844,2.7442805805577564e-09,1.6465683927435748e-08
1845,5.580227946389016e-10,2.1204865863211353e-08
1846,1.1709002656346001e-09,3.2785209214125643e-08
1847,0.0,3.182001862001016e-08
1848,0.0,4.263967667839097e-08
1849,0.0,5.111443002192573e-08
1850,1.3577992064028876e-09,2.5798184921654865e-08
1851,0.0,5.3530342825069965e-08
1852,6.510545436100301e-10,1.9531636752390114e-08
1853,5.971931837933653e-09,3.4040009921909586e-08
1854,4.1565315633818045e-09,3.948704829781491e-08
1855,2.1227748447927297e-09,3.1841622671890946e-08
1856,1.5531567143511893e-09,5.228961086345407e-08
1857,2.4407544874094356e-09,4.002837528105374e-08
1858,8.31924928945682e-09,6.410715580607018e-08
1859,9.675129142294736e-09,5.244938572346314e-08
1860,1.373155145145688e-09,2.0597328287408345e-08
1861,4.715963730639317e-10,3.7256114637784776e-08
1862,4.066187830886747e-09,2.8011514913162117e-08
1863,3.496234635136375e-09,3.2465035104678464e-08
1864,1.4384183844029508e-09,3.068625886726295e-08
1865,0.0,4.23615986733239e-08
1866,4.865612912574591e-10,6.27664036301212e-08
1867,0.0,6.842464372880386e-08
1868,6.421836395986702e-09,6.372437866275504e-08
1869,3.906815315701806e-09,9.474027251599182e-08
1870,3.4404292748035914e-09,5.045962936378601e-08
1871,5.3105884134652115e-09,1.2320565190293564e-07
1872,0.0,5.382132073350476e-08
1873,1.1972008939764578e-09,8.021246261646908e-08
1874,0.0,6.811054475974743e-08
1875,0.0,8.582290922376501e-08
1876,6.04601479992084e-10,6.892457093954363e-08
1877,1.2369631985365004e-09,5.937423352975202e-08
1878,6.039088784604019e-09,7.18651520514868e-08
1879,4.887460214320072e-09,6.59807142255886e-08
1880,1.9253538763308597e-09,6.995452506153299e-08
1881,2.7890030285249168e-09,5.996356833293248e-08
1882,1.3976308999019693e-08,1.0249293236341828e-07
1883,0.0,1.0553295748394476e-07
1884,2.6406787867472303e-09,7.19585004915757e-08
1885,0.0,7.219111719525273e-08
1886,3.2267319927115068e-09,9.034849113298549e-08
1887,6.528924623161458e-10,1.2078510519542007e-07
1888,4.4384300679212174e-09,1.1539918953751283e-07
1889,0.0,1.014952175637518e-07
1890,0.0,1.350203581163001e-07
1891,6.374220040683554e-10,1.0644947456839304e-07
1892,1.2537024751679837e-09,1.1659433174493472e-07
1893,0.0,8.375446503006145e-08
1894,0.0,8.318031774479095e-08
1895,0.0,9.08810795507975e-08
1896,5.89702897624278e-10,1.1381265796472917e-07
1897,0.0,1.415891361933319e-07
1898,1.6975064687230201e-09,8.430948428284069e-08
1899,5.527578395003729e-10,1.3266187437466215e-07
1900,3.114631885736685e-09,1.417157569072458e-07
1901,5.588738916095792e-10,1.6095567656471133e-07
