year,faisant_VERB en_ADP
1800,5.722379174954995e-07
1801,6.072015708014078e-07
1802,6.937304135590239e-07
1803,4.134719233661599e-07
1804,5.487509340262875e-07
1805,5.060322469940814e-07
1806,6.512572099381941e-07
1807,6.975040296453017e-07
1808,5.529220508115884e-07
1809,5.399082931845101e-07
1810,6.107730934346023e-07
1811,6.618682633074968e-07
1812,5.22772839239849e-07
1813,4.256097554389271e-07
1814,4.0906803233653477e-07
1815,4.935919331039429e-07
1816,6.211178487092184e-07
1817,4.841876242167586e-07
1818,5.30492385575343e-07
1819,5.134121079386489e-07
1820,5.838308823058469e-07
1821,5.650633001508254e-07
1822,5.604319426311122e-07
1823,8.489227916186337e-07
1824,6.610573315413149e-07
1825,6.850634917121567e-07
1826,5.610685889223532e-07
1827,5.585667277596684e-07
1828,4.870491823183443e-07
1829,5.65829633814019e-07
1830,5.458465097696319e-07
1831,4.97359486928417e-07
1832,4.870789038768919e-07
1833,4.7029530714226553e-07
1834,5.367355040419852e-07
1835,4.787434590980411e-07
1836,6.028513066524965e-07
1837,7.284911891503043e-07
1838,5.693570053200148e-07
1839,6.676858790299889e-07
1840,5.55436834304146e-07
1841,5.123597519585132e-07
1842,5.433694845180526e-07
1843,4.400648707658661e-07
1844,5.795920581253e-07
1845,6.277756443573423e-07
1846,5.649593628476168e-07
1847,6.407149575338167e-07
1848,5.671881311286597e-07
1849,4.4159517642583523e-07
1850,4.928811101478914e-07
1851,5.765798318790871e-07
1852,4.3946180516840627e-07
1853,5.804717879698273e-07
1854,5.71003518246016e-07
1855,5.922541816971716e-07
1856,5.933058950802206e-07
1857,5.838284931058979e-07
1858,5.001336611520912e-07
1859,5.789800892053165e-07
1860,4.938781446028884e-07
1861,5.946830263781067e-07
1862,5.778504510445259e-07
1863,5.269325207279962e-07
1864,5.878336608589052e-07
1865,5.671747596025511e-07
1866,7.59522198912066e-07
1867,4.619876623479513e-07
1868,6.0760449560604e-07
1869,5.166762981900774e-07
1870,4.97142032429565e-07
1871,4.991953139743543e-07
1872,5.793350901228678e-07
1873,5.926144215351314e-07
1874,6.739359115215393e-07
1875,5.813071388693913e-07
1876,5.828358053960869e-07
1877,5.288017748128482e-07
1878,5.821681234863263e-07
1879,6.194855641794561e-07
1880,5.384572969724388e-07
1881,5.417638240245992e-07
1882,5.71697587936626e-07
1883,5.270328848894223e-07
1884,5.136120337922989e-07
1885,5.743061404217542e-07
1886,6.272766928105966e-07
1887,6.901073392739931e-07
1888,5.73825641225767e-07
1889,6.102243030881027e-07
1890,5.879284898924197e-07
1891,6.29135523233515e-07
1892,6.243438219755149e-07
1893,4.957525456816825e-07
1894,5.696591784953853e-07
1895,5.531106737066693e-07
1896,5.142209467123848e-07
1897,5.797579847310885e-07
1898,5.403728899899818e-07
1899,5.638129838558825e-07
1900,5.642674505423884e-07
1901,5.437843109135088e-07
1902,7.193565796370649e-07
1903,5.006004075713832e-07
1904,4.966153772656412e-07
1905,6.022605703037698e-07
1906,5.216203340374648e-07
1907,5.317699836027145e-07
1908,5.598983614518716e-07
1909,5.352457055352033e-07
1910,4.905930248710888e-07
1911,5.134161167319462e-07
1912,5.110442025113571e-07
1913,5.053749387862183e-07
1914,5.605174617784314e-07
1915,5.760792762821154e-07
1916,5.713480071278809e-07
1917,4.5839652962342825e-07
1918,5.639810787272381e-07
1919,5.96668574104342e-07
1920,5.012817556604432e-07
1921,5.005586025674802e-07
1922,4.891571405707396e-07
1923,4.7028649419189605e-07
1924,4.473393806492254e-07
1925,5.499088955307485e-07
1926,4.5141859761343994e-07
1927,4.994852687012497e-07
1928,4.101948904988717e-07
1929,5.291692821707272e-07
1930,4.159426971739322e-07
1931,4.6761961414176767e-07
1932,4.4714910263365937e-07
1933,4.1179677712221974e-07
1934,3.846087199832482e-07
1935,4.03331187115441e-07
1936,4.3163985141703165e-07
1937,4.469847065813326e-07
1938,4.148868590903021e-07
1939,4.007041205511541e-07
1940,3.448664642746735e-07
1941,3.6008331427694884e-07
1942,4.915422902040945e-07
1943,4.0064647088833283e-07
1944,3.984350733787778e-07
1945,4.3787930215088977e-07
1946,3.8422246717573216e-07
1947,4.1365423530947965e-07
1948,3.9247513772266984e-07
1949,3.7010121012315267e-07
1950,4.083978870639271e-07
1951,3.976702891428374e-07
1952,3.985935865813417e-07
1953,4.0401852663407567e-07
1954,4.03605743493074e-07
1955,3.9982690847040203e-07
1956,4.020446251473686e-07
1957,3.9227566794863833e-07
1958,4.1443940279606295e-07
1959,4.2086560725351774e-07
1960,3.5919125185301937e-07
1961,3.6408355530426206e-07
1962,4.1730072108947525e-07
1963,4.539169271566834e-07
1964,3.9971670728888853e-07
1965,4.000063578146751e-07
1966,4.0712200366499474e-07
1967,4.249949192569602e-07
1968,4.774375135241371e-07
1969,4.4282139644025165e-07
1970,4.704495735197156e-07
1971,4.167240383878834e-07
1972,4.170809289050226e-07
1973,5.072147590823306e-07
1974,4.326064599879942e-07
1975,3.9866130663313015e-07
1976,4.2280097645175374e-07
1977,4.29005086566292e-07
1978,4.823760129113452e-07
1979,4.137345293031558e-07
1980,4.5083244382126964e-07
1981,4.889649556361064e-07
1982,4.630796590632258e-07
1983,4.4838743917807733e-07
1984,4.917559479622469e-07
1985,4.613933128894132e-07
1986,4.6876876513834986e-07
1987,4.833656106484341e-07
1988,4.737277512489868e-07
1989,4.593558298182643e-07
1990,4.658596628459577e-07
1991,5.275318457620415e-07
1992,5.250977057613682e-07
1993,5.190237093444239e-07
1994,5.786594519108235e-07
1995,5.579701785052293e-07
1996,5.476882751764833e-07
1997,6.099105744894473e-07
1998,5.912480363079453e-07
1999,6.064657158688647e-07
2000,6.525432638682105e-07
2001,6.751447099162533e-07
2002,6.878517861963473e-07
2003,6.537901819925196e-07
2004,7.210643238053649e-07
2005,6.805165595480389e-07
2006,7.329844331493973e-07
2007,6.566924399820095e-07
2008,6.939626837620949e-07
2009,6.484741748025158e-07
2010,7.014832856810926e-07
2011,6.210130241157685e-07
2012,5.419570268117013e-07
2013,5.865529768556144e-07
2014,5.108285092703113e-07
2015,5.23111788108821e-07
2016,5.008500085779133e-07
2017,5.46893883068833e-07
2018,5.356543573142858e-07
2019,5.145342392154362e-07
