year,sachant_VERB en_ADP
1800,1.980823611802407e-07
1801,7.143547975374531e-08
1802,2.2378401354217203e-08
1803,6.046051481689574e-08
1804,1.062895922387952e-07
1805,4.264316633140197e-08
1806,6.339671898558663e-08
1807,2.2775640928784924e-08
1808,1.8128591960930862e-08
1809,5.6475762733043666e-08
1810,9.360507036149102e-09
1811,9.777599530025327e-08
1812,2.400487453257938e-08
1813,1.150296680130225e-08
1814,3.4613449884091096e-08
1815,2.966945977789237e-08
1816,3.7081662185300956e-08
1817,5.449056994510926e-08
1818,2.622659001083605e-08
1819,5.072014630513877e-08
1820,7.119889033901927e-08
1821,4.6348993976153e-08
1822,5.3135764233047666e-08
1823,8.004976459474733e-08
1824,1.2379035929654947e-07
1825,4.2266127264767306e-08
1826,4.668231667892542e-08
1827,4.8851547418404806e-08
1828,4.1275356466030644e-08
1829,5.143905729143583e-08
1830,4.4878394334091354e-08
1831,5.6128342862393765e-08
1832,3.92369123858316e-08
1833,4.51761508202253e-08
1834,4.0138484536100805e-08
1835,7.865611451052246e-08
1836,6.586335432601231e-08
1837,6.679574937606958e-08
1838,6.94337813911261e-08
1839,9.438491321844822e-08
1840,5.350538501147639e-08
1841,4.687000343395198e-08
1842,5.2995293486901573e-08
1843,4.075768633704513e-08
1844,5.817874848546012e-08
1845,5.859239227135049e-08
1846,3.9225158898759105e-08
1847,5.501088029546963e-08
1848,5.390298596363863e-08
1849,4.1059134758825167e-08
1850,5.838536587532417e-08
1851,5.4175285590929434e-08
1852,3.906327350478023e-08
1853,3.941474835400527e-08
1854,6.546537267837493e-08
1855,8.703376508378824e-08
1856,7.248065037046558e-08
1857,6.980557731850467e-08
1858,6.997956869536637e-08
1859,6.823512066489457e-08
1860,6.728460344440634e-08
1861,4.998921632193287e-08
1862,3.704748874344688e-08
1863,9.24004863733785e-08
1864,6.04135705906117e-08
1865,6.213034631219472e-08
1866,6.179328337907464e-08
1867,3.833720896295745e-08
1868,6.17484268161661e-08
1869,7.032267301809725e-08
1870,4.9312818717339724e-08
1871,7.859671158350068e-08
1872,6.954440012751917e-08
1873,6.34516448272393e-08
1874,6.751308201380368e-08
1875,4.062284375550007e-08
1876,6.529695806278824e-08
1877,4.9478528385549225e-08
1878,4.408534559630084e-08
1879,5.6205792797747733e-08
1880,4.813384624213768e-08
1881,4.462404945559939e-08
1882,4.2594464400025345e-08
1883,4.73950407808843e-08
1884,6.535679908381553e-08
1885,5.3498777075056125e-08
1886,4.775563311465447e-08
1887,6.920659778586469e-08
1888,4.3116178405355754e-08
1889,5.012109305368995e-08
1890,6.030035493154173e-08
1891,5.609313669108218e-08
1892,6.20582725208152e-08
1893,4.803564879196642e-08
1894,3.150769645188234e-08
1895,8.004757612312119e-08
1896,6.014969455847563e-08
1897,5.5936451026639133e-08
1898,6.507107963571457e-08
1899,5.693405924489525e-08
1900,4.152842558724501e-08
1901,3.7444551015397565e-08
1902,3.437198686784271e-08
1903,3.3481365901977256e-08
1904,4.622177751656409e-08
1905,6.812202002492995e-08
1906,4.166789357995526e-08
1907,5.965698468557434e-08
1908,5.3043002434804976e-08
1909,3.90569829811227e-08
1910,4.0081129304425644e-08
1911,4.4691141898312026e-08
1912,7.08481262545746e-08
1913,6.098438287693853e-08
1914,5.5582971392187375e-08
1915,4.005459064426731e-08
1916,8.570220444426013e-08
1917,8.334482259897413e-08
1918,4.5945505178224266e-08
1919,4.788081175988168e-08
1920,4.316172130813811e-08
1921,2.7261890134244737e-08
1922,5.902348421127357e-08
1923,4.564857780664511e-08
1924,4.512068585427187e-08
1925,3.959343874981869e-08
1926,4.1240713288814845e-08
1927,5.017151061270653e-08
1928,3.999114284169991e-08
1929,5.235990885310571e-08
1930,5.041729789212468e-08
1931,2.9653927313688655e-08
1932,2.849479585620429e-08
1933,3.555905392360614e-08
1934,5.6313426810561396e-08
1935,2.99207103537924e-08
1936,3.031178552603819e-08
1937,5.5400920295767264e-08
1938,2.5930428804166183e-08
1939,3.211750598808294e-08
1940,3.803674530900025e-08
1941,2.9515025534720962e-08
1942,5.158160121254696e-08
1943,3.193558750780312e-08
1944,7.069009555493722e-08
1945,4.357008265287732e-08
1946,3.3410652022780596e-08
1947,5.364392041684596e-08
1948,5.3272248834446145e-08
1949,3.239612711425366e-08
1950,4.3604980959344175e-08
1951,3.838104500886175e-08
1952,4.5342655408120436e-08
1953,4.955960719588148e-08
1954,4.983993462381875e-08
1955,4.8805160357545674e-08
1956,5.581530593268269e-08
1957,4.1524678806581505e-08
1958,3.722509500647675e-08
1959,4.107896356408958e-08
1960,4.983000145841743e-08
1961,4.51630355335908e-08
1962,6.215117132057912e-08
1963,4.655558161203999e-08
1964,5.840609762497451e-08
1965,4.3229144042200573e-08
1966,5.2621210500092275e-08
1967,5.374065814578444e-08
1968,6.377810324309507e-08
1969,4.223834881855737e-08
1970,3.954903382563657e-08
1971,3.5454942537427314e-08
1972,3.591102659683543e-08
1973,4.190034763595918e-08
1974,3.7691329612954405e-08
1975,4.569184319791475e-08
1976,3.9994688005862145e-08
1977,4.172515222222728e-08
1978,4.3366315427562085e-08
1979,3.218585442610333e-08
1980,4.604972225763504e-08
1981,4.68090675109778e-08
1982,4.345251447546161e-08
1983,3.220811217730102e-08
1984,5.5090580985961424e-08
1985,5.0530688966432535e-08
1986,5.155257554179116e-08
1987,6.049708556332689e-08
1988,3.657897762465723e-08
1989,4.66490388539853e-08
1990,5.4486509526441296e-08
1991,5.568392025256941e-08
1992,5.2344470313769875e-08
1993,6.203912139568502e-08
1994,4.272690556916814e-08
1995,6.127369367447955e-08
1996,6.99290074734904e-08
1997,4.746945414524362e-08
1998,5.769436217661905e-08
1999,5.895559640478609e-08
2000,5.522539403557403e-08
2001,6.659441709189196e-08
2002,6.265146801354149e-08
2003,5.250322931971141e-08
2004,7.311953442723507e-08
2005,6.485399595135277e-08
2006,5.435614625071139e-08
2007,7.03028422144314e-08
2008,7.15249863780798e-08
2009,7.962881554135492e-08
2010,7.321879280652865e-08
2011,6.653711093207448e-08
2012,8.714887211880296e-08
2013,9.008873780302906e-08
2014,9.441340909077667e-08
2015,8.755472613586335e-08
2016,1.012885304518818e-07
2017,1.0565567665210551e-07
2018,9.370724063373359e-08
2019,8.443769416999203e-08
