year,étaient_VERB en_PRON,étaient_VERB sans_ADP,etaient_VERB en_PRON,etaient_VERB sans_ADP
1800,7.545995117652637e-08,9.24384380596166e-07,3.144164484325529e-09,3.144164484325529e-09
1801,6.191074675143682e-08,9.167553116640192e-07,0.0,0.0
1802,3.1329761895904085e-08,8.3247653037688e-07,0.0,0.0
1803,4.4857802805609026e-08,9.96623384708073e-07,3.900678446910888e-09,1.950339223455444e-09
1804,6.673997887673977e-08,1.579512741045619e-06,2.4718509461507665e-09,2.4718509461507665e-09
1805,4.264316544322355e-08,1.2622376743820496e-06,0.0,5.685755422035754e-09
1806,1.729001475325731e-08,1.1757209676943603e-06,0.0,2.881669125542885e-09
1807,1.195721210933698e-07,1.6113765468617203e-06,2.8469551160981155e-09,8.540865792383556e-09
1808,4.305540457494317e-08,1.291662215407996e-06,0.0,6.798221985349073e-09
1809,8.810219043198231e-08,1.287647364733857e-06,0.0,2.259030518203531e-09
1810,3.978215445954447e-08,1.3128111504556728e-06,0.0,0.0
1811,1.2033967777824728e-07,1.4791752391829505e-06,0.0,0.0
1812,6.401299401659344e-08,1.4749660977031454e-06,0.0,2.6672082320544632e-09
1813,1.121539270343419e-07,1.8979894775839057e-06,2.8757416448144113e-09,1.4378708002027452e-08
1814,1.4160046646338742e-07,1.6110986962303286e-06,0.0,0.0
1815,8.631115377966125e-08,1.9527899439708563e-06,0.0,1.0788894222457657e-08
1816,6.952811304472561e-08,1.2097892749807215e-06,2.3176038865813098e-09,6.952811659743929e-09
1817,1.9460917144442647e-07,1.7343569425065652e-06,3.113746815941454e-09,4.670620334934483e-09
1818,8.821671571013212e-08,1.9669942048494704e-06,3.5763532135746345e-09,1.1921177378582115e-09
1819,1.583710655950199e-07,1.8103986576534226e-06,2.070210003424222e-09,3.1053151161586356e-09
1820,1.2341141086835705e-07,1.9793289993685903e-06,5.933240565525466e-09,3.5599443393152796e-09
1821,1.370746929296729e-07,2.0640095499402378e-06,9.86148829262845e-10,8.875339574387908e-09
1822,1.2933044502005941e-07,2.475324663464562e-06,0.0,1.0025615893027862e-09
1823,1.5515819029587874e-07,2.1168714283703594e-06,0.0,8.894418535021487e-09
1824,5.642145595174952e-08,2.219805310232914e-06,8.421112696055388e-10,4.210556348027694e-09
1825,9.15766094067294e-08,2.1652583654940827e-06,0.0,3.522177216552791e-09
1826,1.083382059618998e-07,2.327950369362952e-06,0.0,7.0463874735082754e-09
1827,1.1705936486805513e-07,2.2895706024428364e-06,8.295545583791863e-09,7.373818444733615e-09
1828,1.192399139426925e-07,2.365536602155771e-06,9.172301251858528e-10,1.1006761724274838e-08
1829,1.4402935732960032e-07,3.0546225389116444e-06,1.714635211591542e-09,8.573175946935407e-09
1830,1.1897992635567789e-07,2.5163210466416785e-06,1.0436835840010872e-09,3.1310507520032616e-09
1831,9.042899762334855e-08,2.2186286514624953e-06,0.0,3.1182412207897414e-09
1832,1.1906372776593344e-07,2.1905020730628166e-06,0.0,2.705993873419743e-09
1833,1.6796261093077192e-07,2.559981794547639e-06,5.791814139399776e-09,1.1583628500844156e-09
1834,1.6428774074483954e-07,2.476451072652708e-06,1.8669061851994684e-09,5.600718555598405e-09
1835,1.4823652350060001e-07,2.2613633063883753e-06,7.563087933704082e-10,6.806779140333674e-09
1836,1.3911952123635274e-07,2.135854401785764e-06,6.720750067579218e-10,4.032449929525228e-09
1837,1.1341361982886156e-07,2.515973392291926e-06,2.7831563720326358e-09,6.957891152126194e-09
1838,1.1993107307262107e-07,2.617022346385056e-06,4.418513555037862e-09,1.2624323808552163e-09
1839,1.510158682549445e-07,2.409961552984896e-06,0.0,1.3982950353153e-09
1840,1.707076506818339e-07,2.801388973239227e-06,1.2739377330817092e-09,4.458782232319436e-09
1841,1.3226329542703752e-07,2.593259523564484e-06,1.2841097074556274e-09,1.2841097074556274e-09
1842,1.2410289684794407e-07,2.6833060928765917e-06,2.0124795163667386e-09,3.3541325272778977e-09
1843,1.0691508833815533e-07,2.5913618628692348e-06,1.1813822142769936e-09,6.497602011990011e-09
1844,1.333720405227723e-07,2.5225426725228317e-06,2.195424508855126e-09,6.586273748609983e-09
1845,1.3001931620237883e-07,2.3308612071559764e-06,1.1160455892778032e-09,4.464182357111213e-09
1846,1.1240642550092161e-07,2.5244610242225463e-06,5.854501328173001e-10,2.9272506640865004e-09
1847,1.1919023990003552e-07,2.500298478480545e-06,1.6179670936367074e-09,2.1572894581822766e-09
1848,1.0539240236084879e-07,2.3628815597476205e-06,0.0,5.63165514222419e-09
1849,1.3239476004400785e-07,2.2599281237489777e-06,0.0,6.703531951757213e-09
1850,1.6293590476834652e-07,2.130386974386056e-06,2.0366988096043315e-09,2.0366988096043315e-09
1851,9.287191460316535e-08,2.4230541839642683e-06,0.0,6.449438760824933e-10
1852,1.2500247237312578e-07,2.0319412215030752e-06,6.510545436100301e-10,3.2552727180501506e-09
1853,1.2720214215278247e-07,2.259181883346173e-06,0.0,5.971931837933653e-10
1854,1.3456771341679996e-07,2.0621591829694808e-06,5.195664454227256e-10,3.117398783558656e-09
1855,1.1569122904120377e-07,2.1386956632341025e-06,2.1227748447927297e-09,2.653468555990912e-09
1856,9.474256046360097e-08,2.1909863789915107e-06,0.0,4.141751386299575e-09
1857,1.0836949826398268e-07,2.20351330426638e-06,4.881509085841174e-10,4.881508974818871e-09
1858,9.249047394632726e-08,2.057301344393636e-06,0.0,9.787352039936081e-10
1859,1.211937217249215e-07,2.0536735974019393e-06,1.5276520048956854e-09,1.5276520048956854e-09
1860,1.1397187904549355e-07,2.2615865873376606e-06,2.746310290291376e-09,1.8308735638683515e-09
1861,1.028080092169148e-07,1.9137380604661303e-06,1.4147891747029462e-09,1.4147891747029462e-09
1862,1.2605181609615101e-07,2.034449153143214e-06,9.035972525772706e-10,1.8071945051545413e-09
1863,1.1337789374010754e-07,2.0078375655430136e-06,9.989241656072068e-10,1.4983863039219614e-09
1864,9.157930236369793e-08,1.985017433980829e-06,0.0,2.3973640850272204e-09
1865,1.049626305871243e-07,2.045123892457923e-06,4.706844358715045e-10,0.0
1866,1.1385534293140154e-07,2.1457353795995004e-06,9.731225825149181e-10,4.865612912574591e-10
1867,1.1937916610804677e-07,1.9702415556821506e-06,1.455843445796745e-09,4.85281148598915e-10
1868,1.1015919199053315e-07,2.0129987206018995e-06,0.0,0.0
1869,1.1769281371698526e-07,1.9114092992822407e-06,4.883519144627257e-10,2.441759683335931e-09
1870,1.1066714478147333e-07,2.0906340978399385e-06,1.1468097582678638e-09,1.1468097582678638e-09
