year,petit_ADJ salut_NOUN
1800,1.5720821977538435e-08
1801,2.1430643926123594e-08
1802,1.5664880947952042e-08
1803,3.900678446910888e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,4.680253518074551e-09
1811,0.0
1812,2.6672082320544632e-09
1813,8.627225156487839e-09
1814,0.0
1815,0.0
1816,1.1588019432906549e-08
1817,1.556873407970727e-09
1818,1.4305412854298538e-08
1819,1.9666995143552413e-08
1820,0.0
1821,1.97229765852569e-09
1822,6.015369535816717e-09
1823,6.917880934764753e-09
1824,5.894778887238772e-09
1825,4.4027217427355936e-09
1826,1.7615968683770689e-09
1827,8.295545583791863e-09
1828,5.503380862137419e-09
1829,1.714635211591542e-09
1830,4.0703660886265425e-08
1831,1.5591206103948707e-09
1832,5.411987746839486e-09
1833,5.791814139399776e-09
1834,9.334531370086552e-09
1835,1.1344631900556124e-08
1836,5.376600054063374e-09
1837,2.435261770017405e-08
1838,8.2058102535143e-09
1839,1.1885507689157748e-08
1840,8.280594876453051e-09
1841,1.8619591202195807e-08
1842,2.3478927246856074e-08
1843,2.0674189471492355e-08
1844,1.0977122322231025e-08
1845,1.1718478631905782e-08
1846,2.3418005312692003e-08
1847,9.707802561820245e-09
1848,2.574470947536156e-08
1849,1.5920887719289567e-08
1850,1.0862393651223101e-08
1851,3.1602251482354404e-08
1852,1.3021090872200602e-08
1853,1.6124216628554677e-08
1854,1.2469595134234623e-08
1855,3.343370380548549e-08
1856,2.4332790005132665e-08
1857,1.9526035899275485e-08
1858,2.495774786837046e-08
1859,2.7497735644033128e-08
1860,2.746310379109218e-08
1861,4.197207559286653e-08
1862,1.2650361647104091e-08
1863,2.2975255475898848e-08
1864,3.1165733105353866e-08
1865,1.6473954644879996e-08
1866,2.6274308950746672e-08
1867,4.367530337390235e-08
1868,2.766329387782207e-08
1869,3.320792885119772e-08
1870,3.7844721134661086e-08
1871,2.2304472935275044e-08
1872,2.4794090336399677e-08
1873,2.21482157058972e-08
1874,4.540703102406951e-08
1875,4.176714796244596e-08
1876,3.567148709748835e-08
1877,4.2675228684174726e-08
1878,3.140326043649111e-08
1879,4.7652736867576095e-08
1880,4.043243251317108e-08
1881,5.996356833293248e-08
1882,2.994923420374107e-08
1883,2.0853818227806187e-08
1884,2.8387297845711146e-08
1885,4.0607504969703e-08
1886,3.484870347847391e-08
1887,5.419007464979586e-08
1888,5.0090857683926515e-08
1889,4.1976417008982025e-08
1890,4.129263331265065e-08
1891,4.908149509041948e-08
1892,4.764069272411575e-08
1893,4.557228200363639e-08
1894,3.9069542490111075e-08
1895,2.2268874078079648e-08
1896,3.479247134841046e-08
1897,4.0204322093728706e-08
1898,3.2252622128581265e-08
1899,4.532614461538742e-08
1900,5.7620688664883346e-08
1901,3.688567673520993e-08
1902,3.044375845862035e-08
1903,5.0762071879262294e-08
1904,2.579820090886642e-08
1905,3.767354161965386e-08
1906,3.7038127231880935e-08
1907,5.605699432420508e-08
1908,2.8486056624643652e-08
1909,3.52062942132747e-08
1910,4.008113096976018e-08
1911,4.0434845249848195e-08
1912,4.740573267270065e-08
1913,2.969674284258872e-08
1914,3.683209115479258e-08
1915,3.769843803791417e-08
1916,4.285110044577323e-08
1917,1.7546279096336548e-08
1918,1.9526840588923733e-08
1919,4.051453139641836e-08
1920,4.240449902326304e-08
1921,3.332008802203745e-08
1922,5.754789800249682e-08
1923,7.218844455536555e-08
1924,5.801231095503567e-08
1925,6.048998102414771e-08
1926,6.910605776511147e-08
1927,6.466550317441033e-08
1928,5.4844999430869734e-08
1929,6.015819309368453e-08
1930,4.516549623190258e-08
1931,4.5621426636444085e-08
1932,6.79491258814835e-08
1933,4.244144946596862e-08
1934,7.7880272897346e-08
1935,5.2660450222674626e-08
1936,7.032334625733938e-08
1937,5.4141809147090214e-08
1938,7.390172385157712e-08
1939,4.7411555570420205e-08
1940,3.296517903095264e-08
1941,3.246652768851277e-08
1942,3.034211815133858e-08
1943,8.129058670647282e-08
1944,6.747690939334916e-08
1945,7.84261473540937e-08
1946,6.821341003160342e-08
1947,5.8412266579210836e-08
1948,8.045196864259196e-08
1949,8.344457258502302e-08
1950,7.338399554690511e-08
1951,7.356366893418453e-08
1952,6.748674508116892e-08
1953,6.464296120611834e-08
1954,5.668070812703263e-08
1955,6.757638004728506e-08
1956,8.023450104310825e-08
1957,5.654424201084751e-08
1958,6.700517474200751e-08
1959,6.200598134942226e-08
1960,5.190624868811611e-08
1961,7.017640513140577e-08
1962,5.5175020552411524e-08
1963,7.823924486061173e-08
1964,7.422441106186284e-08
1965,6.128688428974627e-08
1966,6.979233935222595e-08
1967,5.768492528090974e-08
1968,5.210042217096422e-08
1969,3.76965907378235e-08
1970,3.678979898502632e-08
1971,4.316254043068568e-08
1972,3.3858967851685406e-08
1973,4.796487396152571e-08
1974,3.431598660785795e-08
1975,3.3126585474718695e-08
1976,4.3994157594706707e-08
1977,3.349765764770751e-08
1978,3.2079192635592335e-08
1979,4.447499724058446e-08
1980,3.2973872521324665e-08
1981,4.2381181231121445e-08
1982,4.0969514003563745e-08
1983,3.410270710269003e-08
1984,3.421414973558967e-08
1985,3.669490244995188e-08
1986,2.577628788191788e-08
1987,3.788706592899871e-08
1988,3.238138990280248e-08
1989,5.0490725267415826e-08
1990,4.195461361655717e-08
1991,3.341035181847474e-08
1992,2.314176583695371e-08
1993,4.265189557095539e-08
1994,3.428702277652462e-08
1995,3.741490972597461e-08
1996,3.629902756152603e-08
1997,2.5892429977858455e-08
1998,2.2887019612838344e-08
1999,4.0217770447270595e-08
2000,3.2251630699420275e-08
2001,3.154472394406582e-08
2002,2.2782351727368422e-08
2003,3.7502307037584615e-08
2004,3.832168307682515e-08
2005,3.5129246511722556e-08
2006,4.694394667437152e-08
2007,7.389787204381548e-08
2008,8.046560784347179e-08
2009,9.011883883580651e-08
2010,1.464375856130573e-07
2011,1.5104689399247917e-07
2012,2.1855302911877317e-07
2013,2.359599819978797e-07
2014,2.2390703158237102e-07
2015,2.1899764957034051e-07
2016,2.2805454302776695e-07
2017,1.8766460085917203e-07
