year,dormant_VERB en_ADP
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,1.3652374342143503e-08
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,1.4234775136401367e-08
1808,0.0
1809,0.0
1810,0.0
1811,1.0028307073639553e-08
1812,1.0668832928217853e-08
1813,8.627225156487839e-09
1814,0.0
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,1.556873407970727e-09
1818,4.768470951432846e-09
1819,2.070210003424222e-09
1820,7.119888678630559e-09
1821,5.9168927535324656e-09
1822,4.010246357211145e-09
1823,1.2847492847356534e-08
1824,4.378978779584486e-08
1825,1.3208164340028361e-08
1826,1.8496766784892316e-08
1827,1.8434546111834038e-09
1828,4.586150570418113e-09
1829,4.286587973467704e-09
1830,0.0
1831,3.1182412207897414e-09
1832,2.705993873419743e-09
1833,8.108540061613212e-09
1834,0.0
1835,9.075705520444899e-09
1836,2.688300027031687e-09
1837,1.5307360490268707e-08
1838,2.3354998823776896e-08
1839,8.38977065598101e-09
1840,3.1848443882154243e-09
1841,1.926164561183441e-09
1842,5.366612043644636e-09
1843,4.134837805480629e-09
1844,7.683985892015244e-09
1845,2.2320911785556063e-09
1846,1.2879903366069811e-08
1847,5.9325460100012606e-09
1848,3.2180886289090438e-09
1849,5.02764896381791e-09
1850,2.0366988096043315e-09
1851,6.449438760824933e-10
1852,5.859490670445666e-09
1853,4.777545248302317e-09
1854,5.7152309551611324e-09
1855,7.429711956774554e-09
1856,2.0708756931497874e-09
1857,1.2203773103180993e-08
1858,9.787352261980686e-09
1859,3.055304009791371e-09
1860,1.1442959468865865e-08
1861,4.244367357575385e-09
1862,9.035972858839614e-09
1863,9.989241656072068e-10
1864,2.205574922697906e-08
1865,6.589582213223366e-09
1866,3.4059290943133647e-09
1867,1.067618526917613e-08
1868,3.457911734727759e-09
1869,2.441759683335931e-09
1870,2.8670243956696595e-09
1871,0.0
1872,1.3304146229131675e-08
1873,5.387403856360606e-09
1874,1.1351757756017378e-08
1875,1.602027666081085e-08
1876,1.5719638923883394e-08
1877,8.658742500777805e-09
1878,1.0266450800600069e-08
1879,1.0385853066452455e-08
1880,7.059630657835214e-09
1881,1.045876146799074e-08
1882,5.989846840748214e-09
1883,1.6430281357671106e-08
1884,3.9610181801208455e-09
1885,9.668453704314572e-09
1886,7.098810428374236e-09
1887,1.3710741875172516e-08
1888,1.838778329599222e-08
1889,1.1903759755682586e-08
1890,6.554386366985909e-09
1891,5.736798147637501e-09
1892,1.3790727448892426e-08
1893,1.4164358130841492e-08
1894,1.0082463308691558e-08
1895,1.2037228991346183e-08
1896,7.66613794667137e-09
1897,5.826713334045053e-09
1898,2.26334195829736e-09
1899,7.738609753005221e-09
1900,8.824790675987515e-09
1901,2.0678333711998675e-08
1902,6.38336894454028e-09
1903,4.860198465905796e-09
1904,5.374625189347171e-10
1905,8.257214467732865e-09
1906,7.201858220895474e-09
