year,sont_VERB en_ADP,sont_VERB sans_ADP
1800,5.161145963938907e-05,9.127509656536859e-06
1801,5.156689076102339e-05,7.20783964425209e-06
1802,5.145018076291308e-05,7.5952293627779e-06
1803,6.011725781718269e-05,7.91837737779133e-06
1804,5.189650983083993e-05,7.398250090773217e-06
1805,4.7831417759880424e-05,6.785949153709225e-06
1806,4.838610766455531e-05,7.39436291041784e-06
1807,4.5457330998033285e-05,6.337322247418342e-06
1808,4.987855572835542e-05,6.934186330909142e-06
1809,4.826192889595404e-05,6.374983968271408e-06
1810,4.104816252947785e-05,6.461089924414409e-06
1811,4.16651091654785e-05,5.620865977107314e-06
1812,4.6465433115372434e-05,6.153249614726519e-06
1813,4.550861194729805e-05,6.151211437099846e-06
1814,4.2779076466104016e-05,6.466421382356202e-06
1815,4.342799729784019e-05,6.378933903761208e-06
1816,4.8477319069206715e-05,6.697875051031588e-06
1817,4.888738112640567e-05,6.7786268118652515e-06
1818,4.273145896149799e-05,6.698509423586074e-06
1819,4.105640618945472e-05,5.9301164583303034e-06
1820,4.095953408977948e-05,6.686761935270624e-06
1821,4.041139254695736e-05,6.444482551160036e-06
1822,4.386507862363942e-05,6.309120180958416e-06
1823,3.771529736695811e-05,5.277354830468539e-06
1824,4.05417631554883e-05,5.848462933499832e-06
1825,4.133098991587758e-05,5.80102596359211e-06
1826,3.96720424760133e-05,5.87404474572395e-06
1827,4.0907179936766624e-05,6.234563443285879e-06
1828,4.317035200074315e-05,6.423362719942816e-06
1829,4.329625517129898e-05,6.25070288151619e-06
1830,4.413320493767969e-05,6.599211246793857e-06
1831,4.3462045141495764e-05,6.5872845880221575e-06
1832,4.002164860139601e-05,5.712352958653355e-06
1833,4.654881195165217e-05,6.241259143280331e-06
1834,4.361746323411353e-05,6.084247161197709e-06
1835,4.3036237912019715e-05,5.927948222961277e-06
1836,4.1444178350502625e-05,5.983483788440935e-06
1837,4.4034404709236696e-05,5.798706297355238e-06
1838,4.223341238684952e-05,5.38048698217608e-06
1839,4.4241354771656916e-05,5.423986294772476e-06
1840,4.294444079278037e-05,5.7843144531943835e-06
1841,4.31281077908352e-05,6.1573059610964265e-06
1842,4.097810960956849e-05,5.562493242905475e-06
1843,4.277489642845467e-05,5.678904472006252e-06
1844,4.111481393920258e-05,5.341467840480618e-06
1845,4.0300405089510605e-05,5.542282451642677e-06
1846,4.2521241994109005e-05,5.334036359272432e-06
1847,4.158283263677731e-05,5.055607743997825e-06
1848,4.1573683120077476e-05,5.807845354866004e-06
1849,3.9678205212112516e-05,5.278193384583574e-06
1850,3.9947812183527276e-05,5.1976553550048266e-06
1851,3.983302303822711e-05,5.218240858084755e-06
1852,4.162321783951484e-05,5.524848802451743e-06
1853,4.3756343075074255e-05,5.52105120732449e-06
1854,4.021548375021666e-05,5.495454388437793e-06
1855,3.9843951526563615e-05,5.396624146669637e-06
1856,4.016515231342055e-05,5.466076345328474e-06
1857,3.968227611039765e-05,5.202712600294035e-06
1858,3.996126906713471e-05,5.019443506171228e-06
1859,3.924741758964956e-05,4.7779863052710425e-06
1860,4.0090180846164e-05,4.918184004054638e-06
1861,4.175844514975324e-05,5.030046850151848e-06
1862,4.147420986555517e-05,5.03529554407578e-06
1863,3.9475984522141516e-05,5.026586222811602e-06
1864,4.1741943277884275e-05,4.915075805911329e-06
1865,4.186126170679927e-05,4.918652393826051e-06
1866,3.933750849682838e-05,4.870478733209893e-06
1867,4.279888526070863e-05,4.996939878765261e-06
1868,4.346200148575008e-05,4.912210897600744e-06
1869,4.1885945393005386e-05,4.93479592478252e-06
1870,4.173412889940664e-05,5.0058247325068805e-06
1871,4.2491083149798214e-05,4.865561095357407e-06
1872,4.176836955593899e-05,4.660079866880551e-06
1873,4.2975920223398134e-05,4.876199454884045e-06
1874,4.429515320225619e-05,5.160867203812813e-06
1875,4.195767542114481e-05,5.131065336172469e-06
1876,4.472962609725073e-05,5.188085197005421e-06
1877,4.38280803791713e-05,5.1902975428674836e-06
1878,4.3230815208517015e-05,4.911590622214135e-06
1879,4.407145024742931e-05,4.9332802518620156e-06
1880,4.306631672079675e-05,4.842906946578296e-06
1881,4.404951323522255e-05,4.717598585557425e-06
1882,4.366331995697692e-05,4.729316515295068e-06
1883,4.454375812201761e-05,5.00491660204716e-06
1884,4.428880492923781e-05,5.087928002467379e-06
1885,4.4544500269694254e-05,4.827136763196904e-06
1886,4.51013220299501e-05,4.787824764207471e-06
1887,4.5546432374976575e-05,4.998544682166539e-06
1888,4.3823791202157736e-05,4.6261125135060865e-06
1889,4.562648609862663e-05,4.819143214263022e-06
1890,4.537732820608653e-05,4.957737928634742e-06
1891,4.6860717702656984e-05,4.890301624982385e-06
1892,4.6027180360397324e-05,5.064957804279402e-06
1893,4.572439502226189e-05,4.939050086250063e-06
1894,4.692000220529735e-05,4.8654183046892285e-06
1895,4.5773369492962956e-05,4.9370696615369525e-06
1896,4.554452243610285e-05,5.0219100558024365e-06
1897,4.802843614015728e-05,5.01621752846404e-06
1898,4.6255918277893215e-05,4.927295321976999e-06
1899,4.6463719627354294e-05,5.031754426454427e-06
1900,4.702575097326189e-05,4.939806331094587e-06
1901,4.835432628169656e-05,5.074574801255949e-06
1902,5.0056416512234136e-05,4.822880782739958e-06
1903,4.6833411033730954e-05,4.99196357850451e-06
1904,4.7323035687441006e-05,4.975290721631609e-06
1905,4.652217830880545e-05,5.046706064604223e-06
1906,4.751014421344735e-05,4.8314182095055e-06
1907,4.704107413999736e-05,5.077014975540806e-06
1908,4.78757283417508e-05,5.1441888899717014e-06
1909,4.70834675070364e-05,4.923930191580439e-06
1910,4.695317329606041e-05,5.032052285969257e-06
1911,4.756893395096995e-05,5.010196218790952e-06
1912,4.7032739530550316e-05,4.8385104491899256e-06
1913,4.7498349886154756e-05,4.8739780140749644e-06
1914,4.690600326284766e-05,4.895319761999417e-06
1915,4.814090425497852e-05,5.6653684623597655e-06
1916,4.6898883738322183e-05,5.080602477391949e-06
1917,4.6143424697220325e-05,5.009462711313972e-06
1918,4.590874959831126e-05,4.963263108948013e-06
1919,4.5143318857299164e-05,4.974079729436198e-06
1920,4.6025539631955326e-05,4.788679234479787e-06
1921,4.592871482600458e-05,4.929858732793946e-06
1922,4.701294164988212e-05,4.9439545364293735e-06
1923,4.6202731027733535e-05,4.74745183964842e-06
1924,4.5981847506482154e-05,4.7544313019898254e-06
1925,4.426876694196835e-05,4.909586550638778e-06
1926,4.3967058445559815e-05,4.7560574785165954e-06
