year,prouvant_VERB en_ADP
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,0.0
1805,1.1371510844071508e-08
1806,0.0
1807,2.8469551160981155e-09
1808,6.798221985349073e-09
1809,2.0331274441787173e-08
1810,4.680253518074551e-09
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,0.0
1817,1.556873407970727e-09
1818,0.0
1819,1.035105001712111e-09
1820,3.5599443393152796e-09
1821,6.903041693817613e-09
1822,7.017931125119503e-09
1823,8.894418535021487e-09
1824,9.263223965660927e-09
1825,8.805443041381977e-10
1826,2.642395191543301e-09
1827,6.452091305675367e-09
1828,1.8344602503717056e-09
1829,2.914879893012312e-08
1830,8.349468672008697e-09
1831,4.677361609140007e-09
1832,0.0
1833,0.0
1834,5.600718555598405e-09
1835,9.832014313815307e-09
1836,6.720750067579218e-10
1837,1.3915781860163179e-09
1838,3.1560809521380406e-09
1839,5.5931801412612e-09
1840,0.0
1841,8.988767952189392e-09
1842,3.3541325272778977e-09
1843,2.953455535692484e-09
1844,9.330554107123135e-09
1845,2.4553003186156275e-08
1846,6.439951683034906e-09
1847,1.0247124926365814e-08
1848,1.287235473768078e-08
1849,2.9327951622803994e-08
1850,5.431196825611551e-09
1851,3.8696632564949596e-09
1852,1.9531636308300904e-09
1853,5.3747388761848924e-09
1854,5.195664454227256e-10
1855,4.2455496895854594e-09
1856,9.836659486950339e-09
1857,1.4644527812635033e-09
1858,6.8511463169329545e-09
1859,3.5645213447565993e-09
1860,5.950338888283113e-09
1861,3.3011746669586728e-09
1862,2.710791813242963e-09
1863,1.9978483312144135e-09
1864,9.589455896019672e-10
1865,5.177528628053096e-09
1866,1.9462451650298362e-09
1867,4.85281148598915e-10
1868,2.4699371437009177e-09
1869,6.348574999037737e-09
1870,6.307453670473251e-09
1871,6.37270636261178e-09
1872,8.4662747923403e-09
1873,5.387403856360606e-09
1874,4.182226565063729e-09
1875,5.149374260327022e-09
1876,2.418405919968336e-09
1877,3.0924081073635534e-09
1878,2.4156354694326865e-09
1879,4.27652757650776e-09
1880,0.0
1881,8.367009307619355e-09
1882,1.9966155395678697e-09
1883,1.3270612164717477e-08
1884,2.6406787867472303e-09
1885,7.090199094506033e-09
1886,9.034849313138693e-09
1887,4.570247291724172e-09
1888,3.1703073499755874e-09
1889,2.5060546970934183e-09
1890,2.6217545912032847e-09
1891,7.0116419337296065e-09
1892,1.002961980134387e-08
1893,1.847525021858587e-09
1894,1.1342770278588432e-08
1895,1.2037229435435393e-08
1896,1.3563166589847242e-08
1897,7.574727511894253e-09
1898,2.26334195829736e-09
1899,9.949641111006713e-09
1900,4.671947717582725e-09
1901,5.58873880507349e-09
1902,5.892340837476695e-09
1903,6.480264325148255e-09
1904,4.299700151477737e-09
1905,1.5482277682110634e-09
1906,5.658602919567102e-09
1907,4.114274698707732e-09
