year,étaient_VERB avant_ADP,étaient_VERB savants_ADJ,etaient_VERB avant_ADP
1800,7.011486786723253e-07,0.0,0.0
1801,4.976671448275738e-07,1.1905912700171939e-08,2.3811825844433088e-09
1802,7.31773752704612e-07,2.2378401354217203e-09,0.0
1803,9.771199529495789e-07,3.900678446910888e-09,0.0
1804,5.116731358612014e-07,9.887403784603066e-09,0.0
1805,4.4348891492518305e-07,1.1371510844071508e-08,0.0
1806,6.137955210760992e-07,0.0,0.0
1807,8.142291676449531e-07,0.0,0.0
1808,4.350862070623407e-07,2.2660739951163578e-09,2.2660739951163578e-09
1809,6.280104685174592e-07,2.259030518203531e-09,1.8072244145628247e-08
1810,8.58826524563483e-07,1.6380887757350138e-08,0.0
1811,9.301255090576888e-07,5.0141535368197765e-09,0.0
1812,6.801381005061558e-07,0.0,5.3344164641089264e-09
1813,5.837755452375859e-07,0.0,2.8757416448144113e-09
1814,6.922689976818219e-07,0.0,0.0
1815,5.718113698094385e-07,2.697223555614414e-09,2.697223555614414e-09
1816,4.1021587549039396e-07,0.0,0.0
1817,4.701757632119552e-07,1.556873407970727e-09,0.0
1818,5.149948378857516e-07,0.0,2.384235475716423e-09
1819,7.587319714730256e-07,1.1386155129855524e-08,2.070210003424222e-09
1820,5.814575843032799e-07,8.306536791735653e-09,2.3732962262101864e-09
1821,5.581602522397588e-07,1.0847637454958203e-08,9.86148829262845e-10
1822,6.576804025826277e-07,1.0025615893027862e-09,0.0
1823,5.484891403284564e-07,5.929612356680991e-09,0.0
1824,6.307413400463702e-07,8.421112696055388e-10,8.421112696055388e-10
1825,5.133573495186283e-07,1.1447076175841175e-08,6.163809906922779e-09
1826,7.337051215472457e-07,9.688783109140786e-09,5.284790383086602e-09
1827,8.443022352366825e-07,1.013900075008678e-08,8.295545583791863e-09
1828,1.0832487760126241e-06,4.586150570418113e-09,1.6510142586412258e-08
1829,1.0484994845683104e-06,2.571952872898464e-09,6.858540846366168e-09
1830,8.662573804940621e-07,0.0,1.0436835840010872e-09
1831,6.252073490031762e-07,2.182768810143898e-08,3.1182412207897414e-09
1832,6.710864681735984e-07,0.0,0.0
1833,7.089180371622206e-07,8.108539617524002e-09,2.3167257001688313e-09
1834,6.692858391943446e-07,9.334530925997342e-10,0.0
1835,6.784089805478288e-07,0.0,7.563087933704082e-10
1836,6.942534582776716e-07,2.016224964762614e-09,0.0
1837,5.914207008572703e-07,6.262101948095733e-09,0.0
1838,6.425780725294317e-07,6.943378316748294e-09,1.2624323808552163e-09
1839,8.228966521528491e-07,1.4682098203877558e-08,0.0
1840,7.159529786804342e-07,1.52872523528913e-08,6.369688665408546e-10
1841,7.910115868980938e-07,2.5040138851295524e-08,1.926164561183441e-09
1842,8.331664957950125e-07,6.037438549100216e-09,1.341653010911159e-09
1843,6.899272193550132e-07,5.31621990873532e-09,1.7720733769266417e-09
1844,6.624693469348131e-07,2.140538946093784e-08,0.0
1845,6.63489117869176e-07,3.124927516751086e-08,1.1160455892778032e-09
1846,9.794580364541616e-07,1.0538101946622191e-08,2.3418005312692003e-09
1847,8.062869483183022e-07,1.6718992412734224e-08,5.3932236454556914e-09
1848,7.707322424721497e-07,2.333114323960217e-08,4.82713291560799e-09
1849,8.924076837502071e-07,1.5920887719289567e-08,2.513824481908955e-09
1850,5.967527272332518e-07,1.4935791270431764e-08,6.788996032014438e-10
1851,5.482023084368848e-07,1.5478653025979838e-08,2.579775504329973e-09
