year,dont_PRON en_PRON
1800,1.320549074534938e-07
1801,1.7144514652400744e-07
1802,1.1189200677108602e-07
1803,2.5549443827266316e-07
1804,2.644880374713665e-07
1805,2.075300669091007e-07
1806,1.7866348844819413e-07
1807,3.0177724719138155e-07
1808,3.8523258583111897e-07
1809,1.8298146642337088e-07
1810,1.6848911998934568e-07
1811,2.0808737133393151e-07
1812,1.466964532070847e-07
1813,2.3581081620704936e-07
1814,1.7306724942045548e-07
1815,1.348611817775236e-07
1816,1.529618547380096e-07
1817,1.8526793166273592e-07
1818,1.6689648174583738e-07
1819,1.3559875411406352e-07
1820,2.776756451439155e-07
1821,1.57783817011925e-07
1822,1.7043547018147365e-07
1823,3.2019906370805984e-07
1824,1.4821158433875325e-07
1825,1.5673687969730565e-07
1826,3.021138573755522e-07
1827,2.3596219145272102e-07
1828,1.6601865127086057e-07
1829,1.5860375263132553e-07
1830,2.0038724968252097e-07
1831,1.2161141027533517e-07
1832,1.0823975160612065e-07
1833,1.2626154755057684e-07
1834,1.7082191661188517e-07
1835,3.0479245793912924e-07
1836,2.1035947339598238e-07
1837,2.2821882650347902e-07
1838,3.395943120043654e-07
1839,1.9785875293720778e-07
1840,2.254869799211967e-07
1841,2.0545754741974065e-07
1842,1.797815030180061e-07
1843,1.2640789143203435e-07
1844,1.6794997675928514e-07
1845,1.2443908287140815e-07
1846,1.6860963203413348e-07
1847,1.79594342064604e-07
1848,2.2365716539907154e-07
1849,1.8518507260978367e-07
1850,1.7040379862720556e-07
1851,1.1866967430940178e-07
1852,1.4518515700778778e-07
1853,1.7199163404590934e-07
1854,2.6342019365799274e-07
1855,1.4487937960439012e-07
1856,1.7447127298453324e-07
1857,2.0551152912773318e-07
1858,1.5512952478147213e-07
1859,1.8942885282591249e-07
1860,1.4921619229113503e-07
1861,1.7260427714882454e-07
1862,1.5858132412782666e-07
1863,1.3585368030533118e-07
1864,2.0761172647709714e-07
1865,1.6238612410290898e-07
1866,1.7759486503621247e-07
1867,1.7906874738571332e-07
1868,1.5511205053719834e-07
1869,1.123209395492708e-07
1870,1.9037041720793013e-07
1871,1.6569036476177246e-07
1872,1.693254954027168e-07
1873,2.3704577278849115e-07
1874,2.2464529736421213e-07
1875,2.0654712318268764e-07
1876,1.76543625718395e-07
1877,2.0780981668799825e-07
1878,1.715101215493675e-07
1879,1.9855307353822127e-07
1880,1.9638609005667718e-07
1881,2.0708347192588406e-07
1882,2.0698248093253824e-07
1883,1.933717768132226e-07
1884,1.5778055129089807e-07
1885,1.733876058285233e-07
1886,1.3423204797691213e-07
1887,1.4624791178086127e-07
1888,1.578812993674461e-07
1889,1.6352006626529914e-07
1890,1.5992702895317734e-07
1891,1.765658934615999e-07
1892,1.5922021079362025e-07
1893,1.4595447472842693e-07
1894,1.5564802624545848e-07
1895,1.44446748562288e-07
1896,1.4860513430914324e-07
1897,1.3343173399515962e-07
1898,1.1429876656254834e-07
1899,1.5366667938110368e-07
1900,1.2718080266704845e-07
1901,1.346886019382154e-07
1902,1.07044187735994e-07
1903,1.31765371724768e-07
1904,1.2200399091000236e-07
1905,1.063116388255736e-07
1906,1.5946971759772666e-07
1907,1.3885676997116292e-07
1908,1.4537711390261165e-07
1909,1.3477409915862992e-07
1910,1.1596806948066529e-07
1911,1.1385600451330191e-07
1912,1.0262559646534442e-07
1913,1.2674145388746894e-07
1914,1.5000705810841453e-07
1915,1.1545146350044888e-07
1916,1.2525706227783928e-07
1917,1.0308438980199952e-07
1918,1.2175558694593747e-07
1919,1.1878124289710357e-07
1920,1.2721349307298624e-07
1921,9.768843872715038e-08
1922,9.222419572463281e-08
1923,1.1040586045396594e-07
1924,1.1086797202519705e-07
1925,1.2757885770042776e-07
1926,1.0811754425077424e-07
1927,8.919380134475574e-08
1928,9.826395641621133e-08
1929,8.800921369456205e-08
1930,9.663315481134305e-08
1931,1.1177249525928801e-07
1932,1.0630750368889608e-07
1933,8.947116381108344e-08
1934,1.2460842846451214e-07
1935,1.2806064031423148e-07
