year,grand_ADJ oeil_NOUN,grand_ADJ seuil_NOUN
1800,4.087413785214267e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,6.713520406265161e-09,6.713520406265161e-09
1803,2.5354410126965377e-08,0.0
1804,7.4155526164076946e-09,2.4718509461507665e-09
1805,3.695740957709859e-08,2.842877711017877e-09
1806,2.881669125542885e-09,1.4408345627714425e-08
1807,0.0,0.0
1808,9.064295980465431e-09,0.0
1809,9.036122072814123e-09,1.3554183553310395e-08
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,0.0
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,8.280840013696888e-09,0.0
1820,8.306536791735653e-09,0.0
1821,3.94459531705138e-09,9.86148829262845e-10
1822,1.303330066093622e-08,4.010246357211145e-09
1823,3.9530747564242574e-09,9.882686891060644e-10
1824,3.3684450784221553e-09,0.0
1825,7.924898959288385e-09,0.0
1826,8.80798456392995e-09,0.0
1827,9.217273055917019e-10,0.0
1828,0.0,0.0
1829,6.858540846366168e-09,0.0
1830,0.0,1.3567886369969528e-08
1831,6.236482441579483e-09,1.5591206103948707e-09
1832,1.2176972319366541e-08,0.0
1833,8.108539617524002e-09,0.0
1834,9.334530925997342e-10,9.334530925997342e-10
1835,4.5378527602224494e-09,0.0
1836,6.72075017860152e-09,3.36037508930076e-09
1837,1.3915781860163179e-09,6.957890930081589e-10
1838,6.312161904276081e-09,1.2624323808552163e-09
1839,4.894032734625853e-09,0.0
1840,1.9109065441114126e-09,1.2739377330817092e-09
1841,1.2841097074556274e-09,0.0
1842,2.683306021822318e-09,5.366612043644636e-09
1843,2.3627644285539873e-09,1.7720733769266417e-09
1844,4.9397050894128824e-09,1.097712254427563e-09
1845,5.580227835366713e-09,1.1160455892778032e-09
1846,7.025401593807601e-09,1.1709002656346001e-09
1847,8.089835468183537e-09,5.393223645455691e-10
1848,4.82713291560799e-09,5.63165514222419e-09
1849,3.3517659758786067e-09,0.0
1850,2.7155984128057753e-09,0.0
1851,1.9348316282474798e-09,3.2247193804124663e-09
1852,1.3021090872200602e-09,0.0
1853,1.1943863675867306e-09,0.0
1854,5.715230788627679e-09,0.0
1855,2.1227748447927297e-09,0.0
1856,2.5885946719483854e-09,0.0
1857,9.763018171682347e-10,4.881509085841174e-10
1858,2.936205500958522e-09,9.787352039936081e-10
1859,4.073738679721828e-09,0.0
1860,3.661747127736703e-09,0.0
1861,1.8863854922557266e-09,4.715963730639317e-10
1862,4.517986262886353e-10,4.9697850279528666e-09
1863,1.4983863039219614e-09,1.9978483312144135e-09
1864,1.9178911792039344e-09,0.0
1865,9.41368871743009e-10,0.0
1866,3.405928983291062e-09,0.0
