year,faut_VERB avoir_VERB,faut_VERB savoir_VERB
1800,1.0699592166929506e-05,4.521308710536687e-06
1801,1.2077358405804262e-05,4.412331236380851e-06
1802,1.1090735824836884e-05,3.788663434534101e-06
1803,1.1290513612038922e-05,3.777807023652713e-06
1804,1.0868728168134112e-05,4.137878477195045e-06
1805,1.1070165783166885e-05,4.292745416023536e-06
1806,9.39712299441453e-06,3.2822210869198898e-06
1807,8.330191121785901e-06,3.658337391243549e-06
1808,7.496172656829003e-06,3.3696519494696986e-06
1809,9.998469067795668e-06,3.3885457924043294e-06
1810,9.04693024494918e-06,3.638897169366828e-06
1811,7.89478508522734e-06,3.6578251183527755e-06
1812,9.367235179524869e-06,3.694083488881006e-06
1813,8.917674676922616e-06,4.031790012959391e-06
1814,8.5998690337874e-06,3.955373358621728e-06
1815,7.449731583619723e-06,3.2933098736975808e-06
1816,1.0862609087780584e-05,3.724389443959808e-06
1817,9.11082315724343e-06,3.9202072912303265e-06
1818,9.042212695931084e-06,4.247515335009666e-06
1819,7.528318747063167e-06,4.327774149714969e-06
1820,7.734572136541829e-06,3.6287699458625866e-06
1821,8.467073712381534e-06,4.1990215322584845e-06
1822,7.989413461473305e-06,3.6593498862202978e-06
1823,6.97322366249864e-06,3.519224719639169e-06
1824,7.35668390916544e-06,3.5638149711303413e-06
1825,7.22486583981663e-06,3.4728666378214257e-06
1826,6.872870017105015e-06,3.292424480605405e-06
1827,7.287176231329795e-06,2.955057652798132e-06
1828,7.780863597872667e-06,3.4533713915152475e-06
1829,7.740720320725814e-06,4.272871137800394e-06
1830,7.83806353865657e-06,4.034880930703366e-06
1831,8.11834070191253e-06,3.849468612315832e-06
1832,8.48193758429261e-06,4.271411398804048e-06
1833,7.695004569541197e-06,4.026469468954019e-06
1834,7.574038590973942e-06,3.7972872632963117e-06
1835,7.678047040826641e-06,3.783056627071346e-06
1836,8.178481039067265e-06,3.6144194837106625e-06
1837,7.5353959800850134e-06,3.467812803137349e-06
1838,6.4541854953859e-06,3.59351383849571e-06
1839,7.470391210517846e-06,3.158748540954548e-06
1840,7.170358458097326e-06,3.776588300752337e-06
1841,6.777530870749615e-06,4.048155915370444e-06
1842,7.285846550075803e-06,4.336222445999738e-06
1843,7.09951655153418e-06,3.7585675727314083e-06
1844,7.6098904173704796e-06,4.244853244017577e-06
1845,7.069590992614394e-06,3.7766983496112516e-06
1846,7.357937192864483e-06,4.204702690913109e-06
1847,6.3235547713702545e-06,3.830267360172002e-06
1848,6.370206392602995e-06,4.062032530782744e-06
1849,6.1044038375257514e-06,3.527733724695281e-06
1850,6.18002286500996e-06,3.6551955417962745e-06
1851,6.334638783300761e-06,3.805168944381876e-06
1852,6.2123626776156016e-06,4.0339341467188206e-06
1853,7.103612915670965e-06,4.044789420731831e-06
1854,6.778263923479244e-06,3.883239514834713e-06
1855,6.278637101786444e-06,3.7031807096354896e-06
1856,6.64802882965887e-06,3.7446609439939493e-06
1857,5.9388439694885164e-06,4.208837253827369e-06
1858,6.352970103762345e-06,3.885089427058119e-06
1859,6.356559879350243e-06,3.958146407967433e-06
1860,5.9782601056213025e-06,4.123584858461982e-06
1861,6.686293545499211e-06,4.39433506471687e-06
1862,6.203646989888512e-06,4.01920078729745e-06
1863,6.016020961396862e-06,3.86883311875863e-06
1864,6.362603926390875e-06,4.267787517164834e-06
1865,6.267163371376228e-06,4.376423930807505e-06
1866,6.234796273929533e-06,4.287578121875413e-06
1867,6.324184141703881e-06,4.155462647759123e-06
1868,5.94069251746987e-06,4.079841801285511e-06
1869,6.019425654812949e-06,3.894117980962619e-06
1870,5.920978765061591e-06,4.111886482860427e-06
1871,6.499098162748851e-06,4.304763024265412e-06
1872,6.093298907217104e-06,4.071068815392209e-06
1873,6.328403742372757e-06,4.143512342125177e-06
1874,5.723675712943077e-06,3.8428684092650656e-06
1875,6.46360922473832e-06,4.239079316903371e-06
1876,6.239487447601277e-06,3.9335373003268614e-06
1877,6.118019882705994e-06,3.914370154234348e-06
1878,5.550526566366898e-06,3.521392500260845e-06
1879,5.737878382205963e-06,4.115852334507508e-06
1880,5.240171503828606e-06,3.7339029859140282e-06
1881,5.7983374972536694e-06,3.7484201129700523e-06
1882,5.8687187447503675e-06,3.814201136265183e-06
1883,5.899734787817579e-06,3.7233544389891904e-06
