year,petit_ADJ air_NOUN,petit_ADJ cerf_NOUN
1800,3.5529058095562505e-07,4.4018303668735825e-08
1801,3.119349116786907e-07,4.286128651997956e-08
1802,1.4769744893783354e-07,8.951360541686881e-09
1803,1.8138155155611457e-07,2.9255089017965474e-08
1804,3.6583392670763715e-07,7.4155526164076946e-09
1805,2.75759134638065e-07,8.528632911009026e-09
1806,3.4580028795971884e-07,5.76333825108577e-09
1807,2.8469551693888207e-07,2.562259560079383e-08
1808,2.01680592226694e-07,5.4385775882792586e-08
1809,1.6942729530455836e-07,9.036122072814123e-09
1810,4.7504573785772664e-07,2.8081521108447305e-08
1811,3.685402987230191e-07,1.0028307073639553e-08
1812,3.040617286842462e-07,1.0668832928217853e-08
1813,4.256097554389271e-07,0.0
1814,2.454408161156607e-07,1.5733386149463513e-08
1815,1.3755840200246894e-07,0.0
1816,1.9004352225238108e-07,5.5622495054308274e-08
1817,2.2574664626517915e-07,5.293369653713853e-08
1818,2.8253191430849256e-07,8.344824387052086e-09
1819,1.72862542058283e-07,7.24573512300708e-09
1820,3.2395493576586887e-07,7.119888678630559e-09
1821,3.885426451688545e-07,7.88919063410276e-09
1822,4.541603857433074e-07,2.3058916553964082e-08
1823,4.733807088541653e-07,1.9765374226210497e-08
1824,3.023179431238532e-07,1.0947446504872005e-08
1825,3.96244928424494e-07,2.905796270269434e-08
1826,1.7263648999232828e-07,7.0463872514636705e-09
1827,1.5485018423078145e-07,7.373818444733615e-09
1828,1.8894940012614825e-07,3.7606434688530754e-08
1829,1.997550072019294e-07,1.6289034676653102e-08
1830,2.3065406651312514e-07,1.4611570398059825e-08
1831,2.463410453401593e-07,3.1182412207897414e-09
1832,3.0577731990888424e-07,6.764984572527055e-09
1833,3.0349107760230254e-07,1.7375442640243932e-08
1834,2.529657763261639e-07,8.401078055442213e-09
1835,3.910116390670737e-07,3.479020449503878e-08
1836,2.2380098130270198e-07,2.755507466645213e-08
1837,2.539630088449485e-07,3.896418832027848e-08
1838,1.944145822108112e-07,6.312161904276081e-09
1839,2.663751956788474e-07,1.1885507689157748e-08
1840,2.2039122882233642e-07,3.821813088222825e-09
1841,2.7544152203518024e-07,1.2841097074556274e-08
1842,4.534787194643286e-07,9.391571076378114e-09
1843,3.177918017627235e-07,2.3627644840651385e-09
1844,2.848563269708393e-07,1.756339607084101e-08
1845,2.7454720452624315e-07,1.2276501593078137e-08
1846,2.3418004957420635e-07,1.8148953895291697e-08
1847,1.623360361691084e-07,1.0247124926365814e-08
1848,1.7860392631519062e-07,8.045221711050488e-10
1849,1.893747736403384e-07,6.703532173801818e-09
1850,2.3489926093134272e-07,1.6293590476834652e-08
1851,1.683303452182372e-07,8.384270167027807e-09
