year,étaient_VERB avant_ADV,étaient_VERB savants_ADJ
1800,1.2576657937302116e-08,0.0
1801,7.143547975374531e-09,1.1905912700171939e-08
1802,1.5664880947952042e-08,2.2378401354217203e-09
1803,1.5602713787643552e-08,3.900678446910888e-09
1804,3.460591457837836e-08,9.887403784603066e-09
1805,1.7057265822018053e-08,1.1371510844071508e-08
1806,8.645007376628655e-09,0.0
1807,3.701041606518629e-08,0.0
1808,2.2660739062985158e-08,2.2660739951163578e-09
1809,1.8072244145628247e-08,2.259030518203531e-09
1810,3.2761775514700275e-08,1.6380887757350138e-08
1811,4.262030373070047e-08,5.0141535368197765e-09
1812,7.468182872116813e-08,0.0
1813,5.751483289628823e-09,0.0
1814,2.8320094713762956e-08,0.0
1815,5.1247248222807684e-08,2.697223555614414e-09
1816,3.7081662185300956e-08,0.0
1817,1.5568733857662664e-08,1.556873407970727e-09
1818,3.457141417584353e-08,0.0
1819,5.3825459644940565e-08,1.1386155129855524e-08
1820,2.7292905713238724e-08,8.306536791735653e-09
1821,3.155676253641104e-08,1.0847637454958203e-08
1822,6.717162648328667e-08,1.0025615893027862e-09
1823,5.237824041159911e-08,5.929612356680991e-09
1824,4.29476756380609e-08,8.421112696055388e-10
1825,4.57883047033647e-08,1.1447076175841175e-08
1826,4.932471142637951e-08,9.688783109140786e-09
1827,3.6869092667757286e-08,1.013900075008678e-08
1828,4.861319524707142e-08,4.586150570418113e-09
1829,6.858540757548326e-08,2.571952872898464e-09
1830,6.679574937606958e-08,0.0
1831,4.365537620287796e-08,2.182768810143898e-08
1832,3.3824925083081325e-08,0.0
1833,9.03523016404506e-08,8.108539617524002e-09
1834,6.440826183506942e-08,9.334530925997342e-10
1835,3.7059130875150004e-08,0.0
1836,2.1506400216253496e-08,2.016224964762614e-09
1837,5.148839221646995e-08,6.262101948095733e-09
1838,5.3653376852480505e-08,6.943378316748294e-09
1839,4.824117993962318e-08,1.4682098203877558e-08
1840,5.5416290223320175e-08,1.52872523528913e-08
1841,7.31942506604355e-08,2.5040138851295524e-08
1842,6.104521332872537e-08,6.037438549100216e-09
1843,3.9576303123567413e-08,5.31621990873532e-09
1844,4.9397051782307244e-08,2.140538946093784e-08
1845,7.14269177137794e-08,3.124927516751086e-08
1846,5.327596142024049e-08,1.0538101946622191e-08
1847,6.148275133455172e-08,1.6718992412734224e-08
1848,6.436177102386864e-08,2.333114323960217e-08
1849,4.524883934209356e-08,1.5920887719289567e-08
1850,5.0238568860550004e-08,1.4935791270431764e-08
1851,3.9341575330809064e-08,1.5478653025979838e-08
1852,2.799534470909748e-08,2.799534470909748e-08
1853,4.120633079196523e-08,2.508211416341055e-08
1854,7.014146774508845e-08,1.0391328686409906e-08
1855,6.580602018857462e-08,1.2736649068756378e-08
1856,2.2779632402603056e-08,1.6049286344355096e-08
1857,3.661131842136456e-08,3.221796163188628e-08
1858,3.1808895073481835e-08,2.9851424443450014e-08
1859,4.124660435422811e-08,3.768208145515928e-08
1860,4.027921818305913e-08,3.112485202905191e-08
1861,6.036433575218325e-08,1.7920662287451705e-08
1862,5.602302977081308e-08,1.2650361647104091e-08
1863,8.490855663012553e-08,2.7470415275843152e-08
1864,3.931677028390368e-08,1.0068928801842958e-08
1865,4.8009813014004976e-08,2.8241066374334878e-08
1866,5.838735361862746e-08,2.1895258939252926e-08
1867,3.202855580752839e-08,3.396968040192405e-08
1868,5.680855252876427e-08,2.420538258718352e-08
1869,3.2231227464762924e-08,2.197583626184496e-08
1870,3.841812556970581e-08,1.1468097582678638e-08
1871,1.911811864374613e-08,1.1683295220166201e-08
1872,2.8422494580127022e-08,1.4513614310374123e-08
1873,5.327543917132971e-08,1.4366410283628284e-08
1874,6.273339892004515e-08,1.4339061493728877e-08
1875,3.833423178889461e-08,9.7265964171811e-09
1876,5.38095328295185e-08,3.567148709748835e-08
1877,3.154256233983688e-08,1.1132669008873108e-08
1878,3.4422804162659304e-08,6.6429977074733415e-09
1879,3.787781821529279e-08,3.176849006081284e-08
1880,3.144744553651435e-08,1.8611753915820373e-08
1881,3.69542902944886e-08,1.4642266066289267e-08
1882,2.3959387362992857e-08,1.7969540522244642e-08
1883,3.4756364897248204e-08,8.847074184359371e-09
1884,4.8192386969958534e-08,9.242375753615306e-09
1885,2.5782542323327107e-08,1.9981470700258797e-08
1886,2.6459201052375647e-08,1.355227396970804e-08
1887,2.3504128421336645e-08,6.528924512139156e-09
1888,2.3460273723685532e-08,1.268122939990235e-08
1889,3.947036120166558e-08,8.14467782106476e-09
1890,2.4251230357208442e-08,7.209825181320184e-09
1891,3.952016314201501e-08,1.784781566982474e-08
1892,3.13425623232888e-08,9.402768341715273e-09
1893,3.202376674948937e-08,1.9091091374434654e-08
1894,1.449354058991048e-08,8.192000855444803e-09
1895,2.8287487907618925e-08,5.416753268150387e-09
1896,3.125425251937486e-08,7.66613794667137e-09
1897,2.9716238358901137e-08,5.826713334045053e-09
1898,3.225262190653666e-08,1.4711722506888236e-08
1899,2.4874102777516782e-08,1.326618814800895e-08
1900,2.5436159845071415e-08,1.2977633190303095e-08
1901,2.51493244007861e-08,2.235495566438317e-09
1902,3.633610035080892e-08,5.892340837476695e-09
1903,4.212171944573129e-08,4.320176216765503e-09
1904,2.4723275870996986e-08,1.0749250378694342e-08
1905,2.2707340008309984e-08,8.257214467732865e-09
1906,3.7038127231880935e-08,1.0288369267641428e-08
1907,2.2114226894132116e-08,1.8514235478050978e-08
1908,1.9154416719402434e-08,4.911389073214423e-09
1909,1.870334465081669e-08,1.1001967337165297e-08
1910,2.8323999146095957e-08,1.60324518105881e-08
1911,2.8730021028877673e-08,9.576673676292558e-09
1912,2.135862686714063e-08,1.2502610502451716e-08
1913,4.083302229673791e-08,1.2727175757731857e-08
1914,2.74566485103378e-08,1.1384464038144415e-08
1915,2.0027295377644805e-08,2.3561523843085297e-09
1916,6.59247731960022e-08,6.592477230782379e-09
1917,6.250861872558744e-08,4.386569774084137e-09
1918,4.2499593178035866e-08,8.040463406189247e-09
1919,4.051453217357448e-08,3.6831393490643904e-09
1920,4.0890050456710014e-08,1.817335615328375e-08
1921,2.2718241510233383e-08,8.330022005509363e-09
1922,2.4347187377316004e-08,6.640141769764796e-09
1923,1.9108707505210987e-08,2.441668023323018e-08
1924,2.707241186783449e-08,3.867487219366694e-09
1925,2.859526304632709e-08,1.2097995494286806e-08
1926,1.7833821530643945e-08,7.802296586589819e-09
1927,2.6758140592164636e-08,5.574612327308159e-09
1928,1.5996457491951332e-08,3.4278122562625413e-09
1929,2.1166771446701205e-08,8.912325100141061e-09
1930,1.575540586884472e-08,2.100720708497761e-09
1931,6.843213995466613e-09,9.124285327288817e-09
1932,1.6439305028370654e-08,4.383814644626227e-09
1933,1.1470662641954732e-08,1.1470662641954732e-08
1934,2.156684431042777e-08,3.5944740517379614e-09
1935,3.231436807027421e-08,7.180970484910176e-09
1936,1.9399543305098632e-08,2.9099314957647948e-08
1937,2.6441348666139675e-08,6.295559185076627e-09
1938,3.5006078036303734e-08,7.779128452511941e-09
1939,1.988226472349197e-08,6.117620188206274e-09
1940,1.0143131667916805e-08,5.0715658339584024e-09
1941,1.1806010391524069e-08,2.9515025978810172e-09
1942,1.517105907566929e-08,0.0
1943,2.0322646676618206e-08,5.806470415592457e-09
1944,1.927911696952833e-08,1.927911696952833e-08
1945,2.6142048525912287e-08,1.5249527862692958e-08
1946,1.1136883415474585e-08,4.1763312808029696e-09
