year,tout_ADV avant_ADP,tout_ADV savant_ADJ
1800,1.603523855919775e-07,1.8864986905953174e-08
1801,2.524053570596152e-07,3.333655484993869e-08
1802,2.7077865638602816e-07,4.923248297927785e-08
1803,2.515937467251206e-07,1.755305278905439e-08
1804,1.557266102736321e-07,1.730295684509997e-08
1805,3.3830244206001225e-07,2.5585899399160894e-08
1806,1.9019016406218725e-07,8.645007376628655e-09
1807,9.394951661079176e-08,3.131650672116848e-08
1808,1.8355199671304945e-07,1.8128591960930862e-08
1809,2.0557178004310117e-07,1.8072244145628247e-08
1810,9.828532654410083e-08,3.978215445954447e-08
1811,8.524060746140094e-08,1.504246105454854e-08
1812,2.6672083208723052e-08,1.8670456736202823e-08
1813,2.5881675469463516e-08,6.326631307729258e-08
1814,1.8880061958270744e-08,2.5173417128598885e-08
1815,9.170560133497929e-08,1.6183341333686485e-08
1816,5.3304887615013286e-08,1.3905623319487859e-08
1817,8.251429051142622e-08,2.3353100786493997e-08
1818,7.27191817873063e-08,2.5034472050933232e-08
1819,1.2524770909294602e-07,2.898294049202832e-08
1820,6.526564533260171e-08,9.493184904840746e-09
1821,6.607196922914227e-08,2.859831527146639e-08
1822,8.72228582693424e-08,3.709477880420309e-08
1823,9.38855251320092e-08,2.9648060451137326e-08
1824,1.4231680722787132e-07,2.105278174013847e-08
1825,6.339919167430708e-08,1.937197424695114e-08
1826,8.279505436803447e-08,2.9947146096276356e-08
1827,7.373818533551457e-08,2.1199728195142598e-08
1828,1.302466803854152e-07,9.172301251858528e-09
1829,3.772197620932616e-08,5.829759874842466e-08
1830,4.5922078584226256e-08,2.922314035203044e-08
1831,4.5214498811674275e-08,5.14509785887185e-08
1832,8.929779626853929e-08,7.170883886686852e-08
1833,3.01174338801502e-08,1.6217079790159517e-08
1834,3.827157613045529e-08,3.2670858240990697e-08
1835,8.31939672707449e-08,2.4958190181223472e-08
1836,9.140220380565722e-08,3.293167427642629e-08
1837,6.470838798122713e-08,3.5485243188304594e-08
1838,8.395175488118412e-08,9.468242634369517e-09
1839,9.997809513606626e-08,2.7965900262216792e-08
1840,8.662776734835731e-08,4.7772664046874525e-08
1841,6.99839795004209e-08,3.788123548176259e-08
1842,1.2410290128883616e-07,1.677066263638949e-08
1843,4.7255289015168955e-08,3.721353847296882e-08
1844,5.54344694592146e-08,3.128479986180821e-08
1845,2.23209111749334e-08,2.511102525915021e-08
1846,3.922516000898213e-08,6.966856602730331e-08
1847,1.3483059113639229e-08,2.588747438636574e-08
1848,3.539897619475596e-08,4.50532402496151e-08
1849,4.1897074254393374e-08,4.77626631578687e-08
1850,5.5669767462518394e-08,3.53027802546535e-08
1851,5.997978291816253e-08,2.644269958551604e-08
1852,5.338647213193326e-08,3.6459055330340107e-08
1853,5.5538965426649156e-08,2.149895461656115e-08
1854,6.234797550463966e-08,2.7017454939937124e-08
1855,4.5108965451845506e-08,4.9354515141430966e-08
1856,5.7466799319172424e-08,5.332504926514048e-08
1857,3.124165814938351e-08,6.10188628513697e-08
1858,3.6213201326518174e-08,5.089423105175683e-08
1859,5.601390640208592e-08,7.078120933812215e-08
1860,4.073693560258107e-08,7.735441087675099e-08
1861,3.254015012998934e-08,5.046081330561947e-08
1862,2.801151488540654e-08,2.0782737752966796e-08
1863,1.1237896568871975e-07,3.646073265528571e-08
1864,5.993409923910065e-08,2.9727313943794798e-08
1865,6.966129939556254e-08,4.8009813902183396e-08
1866,4.6223323835192787e-08,4.7683006876297895e-08
1867,5.241036582503966e-08,2.717574432153924e-08
1868,5.2362665647898154e-08,5.236266620300967e-08
1869,6.006728625607138e-08,4.346332183047252e-08
1870,3.72713184759732e-08,5.447346396181274e-08
1871,3.080141297573391e-08,1.6993883855676017e-08
1872,3.386510005753962e-08,4.4145576971743594e-08
1873,3.4718826924518e-08,3.292302519497525e-08
1874,4.600448944014346e-08,5.257655910639869e-08
1875,3.776207790906483e-08,6.122033968658513e-08
1876,5.260032964748973e-08,2.5997864305793428e-08
1877,4.9478529717816855e-08,2.9068635498674666e-08
1878,6.039088518150493e-08,1.690944850807341e-08
1879,6.475884894996398e-08,5.009646741882534e-08
1880,5.519347823224052e-08,3.529815550962212e-08
1881,6.275256758669912e-08,1.9523021421719022e-08
1882,2.994923420374107e-08,2.9283694580328756e-08
1883,4.1707636455612374e-08,3.222862865470688e-08
