year,étant_VERB au_ADP,etant_VERB au_ADP
1800,1.4494598561398675e-06,7.231578269539796e-08
1801,1.1715418513080778e-06,4.286128540975653e-08
1802,1.4411691040550068e-06,6.489736392722989e-08
1803,1.1916572688619453e-06,3.510610468993036e-08
1804,1.505357204223401e-06,8.898663672596285e-08
1805,1.4583963086067797e-06,5.685755488649136e-08
1806,1.7664632263603153e-06,1.0374008851954386e-07
1807,2.2576353249093017e-06,6.547997077888112e-08
1808,1.5205356005409953e-06,1.0650547821455802e-07
1809,1.8320737678045873e-06,8.584316013582338e-08
1810,1.7387141992841748e-06,7.254393041833396e-08
1811,1.990619040270758e-06,5.264861169251844e-08
1812,1.5469807990164952e-06,5.067695596494559e-08
1813,1.7168177919302252e-06,2.3005932492381476e-08
1814,1.9981399566049163e-06,9.440030979135372e-09
1815,1.4376201242782827e-06,6.743059000058338e-08
1816,1.3720214973034217e-06,4.4034475621401725e-08
1817,1.7452551022145713e-06,3.269434190045217e-08
1818,1.6713490147424181e-06,1.0490636181970103e-07
1819,1.6892913485833105e-06,3.8298885840504227e-08
1820,1.498736546423629e-06,5.22125169766241e-08
1821,1.4456941652696287e-06,4.437669787193954e-08
1822,1.6101138839985651e-06,5.012807946513931e-08
1823,1.7769070659312547e-06,5.0401704587699214e-08
1824,1.7642231444625622e-06,3.03160057057994e-08
1825,1.8156823031745262e-06,1.0830694918695372e-07
1826,1.6611859017245934e-06,4.932471053820109e-08
1827,1.707038922660331e-06,3.7790819362726324e-08
1828,1.4336306364270968e-06,5.228211641394864e-08
1829,1.5165948070716695e-06,1.2859764364492321e-08
1830,1.6187531812761335e-06,3.5485240523769335e-08
1831,1.4484229904354606e-06,2.962329137545794e-08
1832,1.4896496765004485e-06,3.111892987739395e-08
1833,1.4398450662866935e-06,4.865124036967927e-08
1834,1.6074062187954041e-06,3.453776420414556e-08
1835,1.5353068008039372e-06,3.554651328840919e-08
1836,1.5323310229575782e-06,3.293167405438169e-08
1837,1.414539280375493e-06,3.2006298500419916e-08
1838,1.4139242878741243e-06,3.5348105331678426e-08
1839,1.6569796414955817e-06,2.307186841576936e-08
1840,1.3841333057484917e-06,2.93005673057678e-08
