year,transportant_VERB en_ADP,transportant_VERB sans_ADP
1800,5.65949598296811e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,5.370816325012129e-08,1.5664880947952042e-08
1803,2.7304748684287006e-08,1.950339223455444e-09
1804,3.9549615138412264e-08,0.0
1805,7.107194477384837e-08,2.55858996212055e-08
1806,1.3543845511776453e-07,2.881669125542885e-09
1807,3.4163463169534225e-08,1.4234775136401367e-08
1808,1.5862518409903714e-08,6.798221985349073e-09
1809,7.454800510231507e-08,4.743964154840796e-08
1810,4.44624070894406e-08,0.0
1811,1.42903374467096e-07,0.0
1812,5.3344166417446104e-08,2.6672082320544632e-09
1813,6.039057609541487e-08,2.5881675469463516e-08
1814,0.0,0.0
1815,6.74305908887618e-08,2.4275012222574333e-08
1816,2.5493642752394408e-08,0.0
1817,3.42512151974006e-08,0.0
1818,4.768470773797162e-08,1.1921177378582115e-09
1819,3.415846450138815e-08,3.1053151161586356e-09
1820,4.153268307049984e-08,7.119888678630559e-09
1821,2.3667571014129862e-08,7.88919063410276e-09
1822,5.6143449000956025e-08,5.012807946513931e-09
1823,3.162459805139406e-08,8.894418535021487e-09
1824,3.2000230021367315e-08,1.51580028528997e-08
1825,5.899646993157148e-08,9.68598712347557e-09
1826,3.52319382557198e-08,8.807984341885344e-10
1827,4.239945528006217e-08,0.0
1828,4.769596628761974e-08,0.0
1829,5.486832677092934e-08,3.429270423183084e-09
1830,3.1310506187764986e-08,8.349468672008697e-09
1831,2.182768810143898e-08,1.091384405071949e-08
1832,4.329590197471589e-08,6.764984572527055e-09
1833,4.054269808762001e-08,0.0
1834,5.507373401769655e-08,0.0
1835,3.327758690829796e-08,7.563087933704082e-10
1836,5.645430078971003e-08,2.688300027031687e-09
1837,4.383471363667013e-08,9.74104708006962e-09
1838,4.797243136067664e-08,5.680945491803868e-09
1839,4.9639474752893875e-08,5.5931801412612e-09
1840,3.630722389402763e-08,6.369688665408546e-10
1841,3.4028907691663335e-08,2.5682194149112547e-09
1842,5.0982812638267205e-08,2.0124795163667386e-09
1843,4.7255289903347375e-08,7.088293507706567e-09
1844,5.269018737985576e-08,2.030767731753258e-08
1845,5.0780073479472776e-08,7.254296274794569e-09
