year,cherchant_VERB en_ADP
1800,7.860411432858427e-08
1801,1.452521445344246e-07
1802,1.0517848636482086e-07
1803,5.0708819365752333e-08
1804,8.157108055684148e-08
1805,1.4214388066591255e-07
1806,8.645007110175129e-08
1807,5.97860605466849e-08
1808,7.931259293769699e-08
1809,1.7394535234416253e-07
1810,9.828532654410083e-08
1811,1.0529722516139373e-07
1812,1.8670458246106136e-07
1813,1.2653263326001252e-07
1814,1.32160433263806e-07
1815,1.0249449600152616e-07
1816,1.0892738089296472e-07
1817,1.4945984716518979e-07
1818,1.7524131301627222e-07
1819,1.3352854466575081e-07
1820,1.3290458511505676e-07
1821,1.8638212395671871e-07
1822,8.72228582693424e-08
1823,1.5515818940770032e-07
1824,1.414746968464442e-07
1825,1.3120110153863607e-07
1826,1.4092774391905039e-07
1827,1.6775436950666744e-07
1828,1.3299836609803606e-07
1829,7.801590218292631e-08
1830,2.2021723466991716e-07
1831,1.3564348932959547e-07
1832,1.4612367449373664e-07
1833,2.7337362240587026e-07
1834,1.5682011600404167e-07
1835,1.9058981592934288e-07
1836,1.518889458651529e-07
1837,1.7185991030288505e-07
1838,1.1488134443737863e-07
1839,1.461218372966755e-07
1840,1.4586587404608053e-07
1841,1.3996795722448496e-07
1842,1.8917307409438422e-07
1843,1.7425387888181376e-07
1844,1.49288867490327e-07
1845,1.400637277271244e-07
1846,1.6860963203413348e-07
1847,1.607180601936875e-07
1848,1.3033258561279126e-07
1849,1.9021272024133395e-07
1850,1.5139460529667303e-07
1851,1.393078705724804e-07
1852,1.5234676231656863e-07
1853,1.713944377534915e-07
1854,1.4859600216965418e-07
1855,1.7406754082571751e-07
1856,2.1071160816177326e-07
1857,2.1088119450674014e-07
1858,1.7910854843705692e-07
1859,2.087791086680113e-07
1860,1.8629138409664847e-07
1861,2.2778105002174698e-07
1862,1.5722592028311055e-07
1863,2.2825417422822625e-07
1864,2.0761171803940215e-07
1865,1.689757178624518e-07
1866,1.7321582390650292e-07
1867,1.3636400097993828e-07
1868,1.3782248631244443e-07
1869,1.318550140183561e-07
1870,1.9839808418353755e-07
1871,1.65690361653148e-07
1872,1.693254954027168e-07
1873,1.2211449273991093e-07
1874,1.3980584867567813e-07
1875,1.0985331755364314e-07
1876,1.4873196008124978e-07
1877,1.5276495624050312e-07
1878,1.225935006843315e-07
1879,1.3684888422460517e-07
1880,1.732818546429371e-07
1881,1.7082643744004145e-07
1882,1.943372476276295e-07
1883,1.813650341020434e-07
1884,1.1949071421213375e-07
1885,1.4438223505663927e-07
1886,1.1293561730241208e-07
1887,1.2796691972738472e-07
1888,1.3125071784969577e-07
1889,1.3720649238990745e-07
1890,1.1273545119649953e-07
1891,1.4278253068766844e-07
1892,1.585933613323931e-07
1893,1.3548516708539182e-07
1894,1.342227935463569e-07
1895,1.6370631872320018e-07
1896,1.4034928330630692e-07
1897,1.1536892685626299e-07
1898,1.420247144334752e-07
1899,1.315563675774456e-07
1900,1.3652469910141463e-07
1901,1.2295225859659809e-07
1902,1.0360698832201365e-07
1903,1.2204497679135784e-07
1904,1.3275324484141038e-07
1905,9.599011652206002e-08
1906,1.219171723576551e-07
1907,1.2291395812269457e-07
1908,1.0608600220507469e-07
1909,1.5237724415584353e-07
1910,1.1970897606516928e-07
1911,1.2130452997638486e-07
1912,1.1564915380901652e-07
1913,1.1083248629972786e-07
1914,1.3326520154066657e-07
1915,1.1427339052794139e-07
1916,1.0657838345196069e-07
1917,1.44756805653401e-07
1918,1.3553923849940475e-07
1919,1.4548399995817363e-07
1920,1.3251404951120094e-07
1921,1.5675587849983685e-07
1922,1.4091857059028712e-07
1923,1.49684876049605e-07
1924,1.534103279965393e-07
1925,1.814699368551942e-07
1926,1.3598288450822338e-07
1927,1.2933100590473146e-07
1928,1.2568645058053107e-07
1929,1.1586022274912011e-07
1930,1.5440297307378614e-07
1931,1.1633463969928926e-07
1932,1.271306246941606e-07
1933,1.1011836020813348e-07
1934,1.1622132944921759e-07
1935,1.1848601122466107e-07
1936,1.1639725983059179e-07
1937,1.1835651303471195e-07
1938,1.244660579047263e-07
1939,1.5141109432903477e-07
1940,7.353770170581697e-08
1941,1.2986610897769424e-07
1942,1.1226583307433202e-07
1943,1.7129087925837894e-07
1944,1.0282195361810409e-07
1945,1.829943441222781e-07
1946,1.6844536077087469e-07
1947,1.4781880031122796e-07
1948,1.2393952086853233e-07
1949,1.2958451289790673e-07
1950,1.3081494820710304e-07
1951,1.3433366774506794e-07
1952,8.963083608648503e-08
1953,1.3251807073899613e-07
1954,1.622241034837657e-07
1955,1.0981161180367849e-07
1956,1.3604981274895067e-07
