year,essayant_VERB en_ADP
1800,3.144164395507687e-08
1801,1.904946067554647e-08
1802,3.5805442166747525e-08
1803,7.801356893821776e-09
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,0.0
1807,2.8469551160981155e-09
1808,2.2660739062985158e-08
1809,1.129515236897305e-08
1810,4.680253518074551e-09
1811,0.0
1812,2.6672082320544632e-09
1813,2.0130190847567064e-08
1814,9.754699448194515e-08
1815,1.8880564667256294e-08
1816,4.6352077731626196e-09
1817,4.0478710161551135e-08
1818,5.960588467246453e-09
1819,1.5526575580793178e-08
1820,3.322614716694261e-08
1821,1.0847637454958203e-08
1822,1.303330066093622e-08
1823,4.644862983127496e-08
1824,8.421112696055388e-10
1825,3.169959583715354e-08
1826,6.1655889282974385e-09
1827,2.7651818612639545e-08
1828,2.4765213879618386e-08
1829,1.7146351893870815e-08
1830,5.218418053232199e-08
1831,4.365537620287796e-08
1832,2.0294953273491956e-08
1833,3.938433579264711e-08
1834,2.6136685704614138e-08
1835,6.806779140333674e-09
1836,2.755507466645213e-08
1837,2.365682938432201e-08
1838,3.1560809077291196e-08
1839,1.8876983531868063e-08
1840,2.356784811752277e-08
1841,1.5409316489467528e-08
1842,4.427455024824667e-08
1843,2.5990408047960045e-08
1844,1.5916826967554698e-08
1845,1.0602432709561072e-08
1846,2.2832555623963913e-08
1847,4.2067142658197554e-08
1848,9.65426583121598e-09
1849,1.508294644736452e-08
1850,2.9192683825840504e-08
1851,1.6123596680017727e-08
1852,2.0833745395520964e-08
1853,1.3735443005202796e-08
1854,3.013485283531736e-08
1855,2.4411910715116392e-08
1856,3.520488789376941e-08
1857,3.026535599914837e-08
1858,4.502182093801821e-08
1859,3.513599722282379e-08
1860,3.7990627532735743e-08
1861,2.8295781717702084e-08
1862,3.072230825296174e-08
1863,2.597202808374277e-08
1864,2.589153069720851e-08
1865,3.012380389577629e-08
1866,4.281739407474561e-08
1867,1.1161466417775046e-08
1868,2.7169306804353255e-08
1869,1.6115613732381462e-08
1870,3.612450782952692e-08
1871,1.6993883633631413e-08
1872,3.688877114882416e-08
1873,2.9331422624068182e-08
1874,4.062734149101743e-08
1875,2.9179789251543298e-08
1876,3.808989390563511e-08
1877,3.0924081073635534e-08
1878,3.5026715750063886e-08
1879,4.276527654223372e-08
1880,1.6686399817444908e-08
1881,2.5798277292210514e-08
1882,1.7969540522244642e-08
1883,2.0853818227806187e-08
1884,1.1883054540362536e-08
1885,2.3848851782304337e-08
1886,2.4523162389655795e-08
1887,3.264462478114183e-08
1888,3.3605258797919646e-08
1889,3.759081934617825e-08
1890,3.5393686204088226e-08
1891,4.0157587477551715e-08
1892,1.8805536683430546e-08
1893,3.756634137097592e-08
1894,1.5123694296903523e-08
1895,3.851913255026318e-08
1896,3.951009475144929e-08
1897,3.437761009195128e-08
1898,4.6964345301603316e-08
1899,2.5426860617017155e-08
1900,2.9589003247565415e-08
1901,4.6945405896003933e-08
1902,2.7497588928060424e-08
1903,3.294134387488157e-08
1904,2.042357571951925e-08
1905,3.148063143498803e-08
1906,3.292278039079832e-08
1907,9.257118349648152e-09
1908,2.9959473124563374e-08
1909,3.0255410066182264e-08
1910,3.794347047669788e-08
1911,3.7774656069800017e-08
1912,3.386123798021501e-08
1913,2.2802856491921375e-08
1914,2.6117300322425763e-08
1915,1.4136913861761968e-08
1916,3.1863640836959917e-08
1917,2.3029491202919417e-08
1918,2.067547733020092e-08
1919,3.49898234830448e-08
1920,1.8930579326337238e-08
1921,3.180553775905537e-08
1922,4.13164379930997e-08
1923,3.078624999375279e-08
1924,4.383152329978657e-08
1925,1.2097995494286806e-08
1926,3.78968714187522e-08
1927,3.7907363914513326e-08
1928,2.7422499715434867e-08
1929,3.4535258208734376e-08
1930,2.100720719599991e-08
1931,3.877821086462063e-08
1932,3.1782654730250215e-08
1933,2.6382522833046096e-08
1934,2.875579241390369e-08
1935,2.752705441366743e-08
1936,3.031178508194898e-08
1937,2.5182236740306507e-08
1938,4.148868626430158e-08
1939,3.8235125288110794e-08
1940,1.7750480196809804e-08
1941,4.132103725851266e-08
1942,4.551317789314169e-08
1943,5.2258233296242906e-08
1944,2.8918675454292497e-08
1945,2.178504132643866e-08
1946,2.5057986796639398e-08
1947,2.8610090296865565e-08
1948,3.152847516396662e-08
1949,3.043272656100271e-08
1950,2.9779013033248702e-08
1951,5.117472945403989e-08
1952,3.58523338794825e-08
1953,3.878577814475648e-08
1954,3.615838295445428e-08
1955,3.566530892840092e-08
1956,3.401245152190313e-08
1957,4.1524678806581505e-08
1958,3.1434524316864554e-08
1959,3.332821663093455e-08
1960,3.8756667208872386e-08
1961,4.9331931595286704e-08
1962,3.7417542841922113e-08
1963,3.36234755593523e-08
1964,4.562976119171225e-08
1965,3.283226135408768e-08
1966,4.6528229380449204e-08
1967,4.782425411242741e-08
1968,4.8058151236318736e-08
1969,3.769658801777709e-08
1970,4.414776100247764e-08
1971,3.802414039189017e-08
1972,4.617132132178625e-08
1973,3.583582419697251e-08
1974,4.050411672729126e-08
1975,3.084199162728396e-08
1976,3.370981005446083e-08
1977,3.819908300783936e-08
1978,3.4455430730773173e-08
1979,3.5111838769807946e-08
1980,4.6618235549633624e-08
1981,5.3767170271612486e-08
1982,4.407326770206055e-08
1983,4.8627934345901735e-08
1984,4.6392067076794774e-08
1985,4.5116687052981774e-08
1986,4.016305343856885e-08
1987,4.522004326545925e-08
1988,4.7372775813236956e-08
1989,3.5123981945162086e-08
1990,3.5961096434000694e-08
1991,3.0479617330048114e-08
1992,4.79365149796962e-08
1993,3.212740296021366e-08
1994,2.795711040448623e-08
1995,3.904164458390369e-08
1996,5.871901276321978e-08
1997,4.075660386959612e-08
1998,4.958854393777301e-08
1999,2.7421206472144632e-08
2000,3.578605356491238e-08
2001,3.329721010025821e-08
2002,4.0307237880732316e-08
2003,4.541946002634134e-08
2004,4.580982954083268e-08
2005,3.332774767272895e-08
2006,3.088417521723841e-08
2007,3.9145899688453056e-08
2008,5.577246076082787e-08
2009,7.199971019389295e-08
2010,6.566072469071926e-08
2011,8.986334476546176e-08
2012,9.53190761876499e-08
2013,1.0849696729930969e-07
2014,1.0913843662141431e-07
2015,1.1193705762302386e-07
2016,1.0584547771586017e-07
2017,1.182337308058834e-07
2018,1.2571742846745337e-07
2019,1.0969247510317359e-07
