year,appuyant_VERB en_ADP
1800,0.0
1801,2.1430643926123594e-08
1802,2.0140561218795483e-08
1803,1.755305234496518e-08
1804,4.2021465418429216e-08
1805,1.9900143755080535e-08
1806,2.881669125542885e-09
1807,5.693910232196231e-09
1808,2.2660739951163578e-09
1809,6.7770917766551975e-09
1810,4.680253518074551e-09
1811,0.0
1812,1.3336041604361526e-08
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,4.6352077731626196e-09
1817,7.784366928831332e-09
1818,4.768470951432846e-09
1819,5.175524897538253e-09
1820,5.6959108540866055e-08
1821,2.465372084259343e-08
1822,1.303330066093622e-08
1823,9.882686669016039e-09
1824,2.3579115548955087e-08
1825,3.522177216552791e-09
1826,7.0463874735082754e-09
1827,8.295545583791863e-09
1828,5.228211819030548e-08
1829,1.5431716349212365e-08
1830,2.5048406016026092e-08
1831,2.3386808933878456e-08
1832,4.19429042608499e-08
1833,1.7375443306377747e-08
1834,6.534171426153534e-09
1835,2.3445572594482655e-08
1836,2.4866775305554256e-08
1837,1.8090515752078318e-08
1838,1.5780404760690203e-08
1839,2.1673573158409454e-08
1840,2.1019973317493168e-08
1841,4.494383976094696e-09
1842,1.2074877098200432e-08
1843,1.2404512972352677e-08
1844,2.5796238034558883e-08
1845,2.3436957263811564e-08
1846,1.3465353276842507e-08
1847,1.5101026207275936e-08
1848,6.43617736884039e-09
1849,1.256912263158938e-08
1850,1.6972489191857676e-08
1851,1.2898877521649865e-08
1852,1.7578472011337e-08
1853,9.555090940693844e-09
1854,1.558699302961486e-08
1855,1.1675261646360013e-08
1856,2.329735160344626e-08
1857,1.0739319655783675e-08
1858,1.0766087576996597e-08
1859,1.2730433596175317e-08
1860,1.0069804545764782e-08
1861,2.169343282787395e-08
1862,1.5361154154236445e-08
1863,2.2475793670651e-08
1864,1.965838514195184e-08
1865,1.2708479601997169e-08
1866,7.784980771141647e-09
1867,2.620518202434141e-08
1868,2.7169307137420162e-08
1869,2.3440891894210836e-08
1870,9.17447806614291e-09
1871,1.4869648623516696e-08
1872,6.047339518033823e-09
1873,1.3767810169706962e-08
1874,2.0313670745508716e-08
1875,1.6592428764283795e-08
1876,2.4184059421727966e-08
1877,2.1646856751544874e-08
1878,1.3889904337816006e-08
1879,1.1607718342077078e-08
1880,2.4387816210946767e-08
1881,1.1156012114099667e-08
1882,1.7969540522244642e-08
1883,6.951272890631799e-09
1884,8.582206056928499e-09
1885,8.379326565943757e-09
1886,1.5488312854472497e-08
1887,1.1752064710268684e-08
1888,3.4239320712003973e-08
1889,7.51816386923565e-09
1890,1.9007721618891082e-08
1891,2.2309770031370135e-08
1892,2.3193495124473884e-08
1893,2.6481190573690583e-08
1894,1.7014155417882648e-08
1895,9.027921521465032e-09
1896,1.1204354777305525e-08
1897,7.574727511894253e-09
1898,1.9804241802034994e-08
1899,6.633094074004475e-09
1900,1.661137005726232e-08
1901,6.147612641171918e-09
1902,3.338993082024899e-08
1903,1.2420506401156217e-08
1904,9.13686282189019e-09
1905,1.2385822145688508e-08
1906,2.006231980544726e-08
1907,1.5942815068115124e-08
1908,1.276961114626829e-08
1909,8.801573692096554e-09
1910,1.4963621453034648e-08
1911,2.6601870928288918e-08
1912,5.730363294986773e-09
1913,1.113627856597077e-08
1914,1.4732836284281348e-08
1915,2.591767689352764e-08
1916,1.2086208478478966e-08
1917,1.7546279096336548e-08
1918,1.722956355365568e-08
1919,1.8415697411455767e-08
1920,1.741613253614105e-08
1921,3.0290991048786964e-08
1922,1.9920426197472807e-08
1923,7.431163684401554e-09
1924,7.734974438733389e-09
1925,4.399271169575059e-09
1926,8.916910765321973e-09
1927,1.1149224654616319e-08
1928,1.5996457491951332e-08
1929,4.4561625500705304e-09
1930,6.302162347537887e-09
1931,1.0264820993199919e-08
1932,1.3151444377967891e-08
1933,1.0323596200123575e-08
1934,5.990790086229936e-09
1935,8.377798899061872e-09
1936,1.33371855781661e-08
1937,1.1332006444320086e-08
1938,1.426173557028676e-08
1939,2.9058696782158222e-08
1940,2.2822046474857416e-08
1941,2.9515025978810172e-09
1942,8.49579275818968e-08
1943,2.6129116648121453e-08
1944,1.0924833304670756e-07
1945,1.3071024262956144e-08
1946,1.2528993842408909e-08
1947,1.0728784083369192e-08
1948,1.9569398546082084e-08
1949,1.197675061348491e-07
1950,9.571825110299415e-09
1951,9.595261474260042e-09
1952,1.7926167217297007e-08
1953,1.0773827163745864e-08
1954,2.9317607896928166e-08
1955,9.385607846468247e-09
1956,1.831439710997529e-08
1957,1.0602045463770082e-08
1958,1.1581140491045971e-08
1959,1.6276571201956358e-08
1960,8.997083078554624e-09
1961,1.389631876236308e-08
1962,1.2049716779927166e-08
1963,1.4225316924409981e-08
1964,8.517555549758526e-09
1965,1.0396882133001384e-08
1966,2.1048484510899357e-08
1967,1.5284040699725665e-08
1968,9.431973424511852e-09
1969,1.6350327314285096e-08
1970,1.4256047370375668e-08
1971,1.0790635052160269e-08
1972,1.2312352026810913e-08
1973,1.7642252103655665e-08
1974,1.1813700351304135e-08
1975,1.6563292515314743e-08
1976,9.712995741040231e-09
1977,1.057820764316375e-08
1978,1.0099005187669263e-08
1979,1.287434159280565e-08
1980,2.1035058139773355e-08
1981,1.8976647808699454e-08
1982,1.6139505731871395e-08
1983,1.8314416649900522e-08
1984,1.623722339916256e-08
1985,1.3234227602687554e-08
1986,1.9781802029772422e-08
1987,1.7721369260925712e-08
1988,1.0793796856312099e-08
1989,1.0427432250992297e-08
1990,1.961514428661104e-08
1991,1.641210189973208e-08
1992,1.4876849085965205e-08
1993,2.1602909683338112e-08
1994,2.004472143823932e-08
1995,2.548551947256783e-08
1996,1.2277611816102763e-08
1997,2.109753616252874e-08
1998,2.2410207023426665e-08
1999,1.828080442578539e-08
2000,1.8113929911578452e-08
2001,1.9277331730904734e-08
2002,2.1467984723244626e-08
2003,1.4584230378922314e-08
2004,2.0702519532012076e-08
2005,2.0717248361279417e-08
2006,1.7295137044737174e-08
2007,1.9572949483404045e-08
2008,2.086145478585877e-08
2009,1.0966842545201416e-08
2010,1.369900015646408e-08
2011,1.9884653923440965e-08
2012,1.4297861172796189e-08
