year,valant_VERB en_ADP,valant_VERB cent_DET
1800,1.2576657937302116e-08,0.0
1801,2.3811826510566902e-08,9.524730337773235e-09
1802,2.0140561218795483e-08,4.475680270843441e-09
1803,3.900678446910888e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,1.1371510844071508e-08,0.0
1806,8.645007376628655e-09,0.0
1807,5.693910054560547e-08,0.0
1808,3.172503681980743e-08,0.0
1809,4.518061036407062e-09,0.0
1810,7.020380277111826e-09,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,2.5881675469463516e-08,0.0
1814,6.293354282149721e-09,0.0
1815,2.697223555614414e-09,0.0
1816,2.5493642752394408e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,1.7881765401739358e-08,0.0
1819,3.2088255608186955e-08,9.315945348475907e-09
1820,2.610625848831205e-08,0.0
1821,2.1695274909916407e-08,0.0
1822,7.017931125119503e-09,2.0051231786055723e-09
1823,5.929612356680991e-09,1.7788837070042973e-08
1824,8.421112696055388e-09,5.052667617633233e-09
1825,1.4969252504215547e-08,8.805443041381977e-10
1826,1.4973572604048968e-08,7.0463874735082754e-09
1827,5.530363722527909e-09,0.0
1828,1.6510142586412258e-08,0.0
1829,8.57317605795771e-10,8.57317605795771e-10
1830,9.39315203396518e-09,1.0436835840010872e-09
1831,1.5591206548037917e-08,0.0
1832,1.7588959622116818e-08,1.0823975493678972e-08
1833,8.108539617524002e-09,1.1583628278799551e-08
1834,1.9602515166639023e-08,9.334530925997342e-10
1835,1.5882484660778573e-08,6.050470346963266e-09
1836,1.5457725766054864e-08,1.3441500135158435e-09
1837,1.1132625488130543e-08,5.5663127440652715e-09
1838,5.049729523420865e-09,2.5248647617104325e-09
1839,1.2584655095793096e-08,6.9914751765765e-10
1840,1.7835127485987812e-08,0.0
1841,2.0545755319290038e-08,5.778493683550323e-09
1842,1.2745703159566801e-08,2.683306021822318e-09
1843,5.3752891915337386e-08,5.31621990873532e-09
1844,1.3172547497219966e-08,2.7442805805577564e-09
1845,1.2276501593078137e-08,5.580227946389016e-10
1846,2.6345256642912318e-08,8.781752214304106e-09
1847,2.588747349818732e-08,8.089835468183537e-09
1848,3.218088551193432e-08,1.6090443422100975e-09
1849,3.016589289472904e-08,0.0
1850,4.073397619208663e-08,0.0
1851,3.8696633453128015e-08,1.2898877521649865e-09
1852,4.7526981461487594e-08,1.3021090872200602e-09
1853,2.388772735173461e-08,0.0
1854,3.3252252507054436e-08,5.195664454227256e-10
1855,2.600399184871094e-08,2.1227748447927297e-09
1856,4.6076984006049315e-08,6.212626857404757e-09
1857,2.5871997877402464e-08,4.393358121745905e-09
1858,2.6425850785383176e-08,4.893676019968041e-10
1859,3.360834455179429e-08,6.110608019582742e-09
1860,4.027921818305913e-08,0.0
1861,3.7256114637784776e-08,9.431927461278633e-10
1862,3.524029426604791e-08,4.066187830886747e-09
1863,4.5950510951797696e-08,9.989241656072068e-10
1864,3.212467802882202e-08,1.9178911792039344e-09
1865,5.3658027354686055e-08,0.0
1866,5.5954547661940524e-08,2.919367858567057e-09
1867,6.745408143160603e-08,1.455843445796745e-09
1868,4.544684273355415e-08,9.87974813071446e-10
1869,1.904572499711321e-08,1.953407657850903e-09
1870,2.752343464251794e-08,0.0
1871,2.442870794538976e-08,5.3105884134652115e-09
1872,1.015952975080836e-07,1.2094678591978436e-09
1873,6.285304721131979e-08,1.1972008939764578e-09
1874,3.764003864148435e-08,5.377148060148329e-09
1875,6.236464855646773e-08,5.721527140956084e-10
1876,5.380952994293864e-08,1.3905833817773328e-08
1877,3.030559869721117e-08,2.4739263970730008e-09
1878,5.737134145533673e-08,4.831270938865373e-09
1879,3.8488748743681356e-08,1.832797580370027e-09
