year,grand_ADJ cellier_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,4.943701892301533e-09
1805,0.0
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,2.259030518203531e-09
1810,7.020380277111826e-09
1811,7.521229861140455e-09
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,2.5493642752394408e-08
1817,3.113746815941454e-09
1818,2.384235475716423e-09
1819,3.1053151161586356e-09
1820,1.1866481131050932e-09
1821,9.86148829262845e-10
1822,0.0
1823,0.0
1824,8.421112696055388e-10
1825,8.805443041381977e-10
1826,2.642395191543301e-09
1827,6.452091305675367e-09
1828,2.7516904310687096e-09
1829,0.0
1830,7.305785310052215e-09
1831,3.1182412207897414e-09
1832,5.411987746839486e-09
1833,1.1583628500844156e-09
1834,0.0
1835,2.2689263801112247e-09
1836,6.720750067579218e-10
1837,1.3915781860163179e-09
1838,1.8936485712828244e-09
1839,0.0
1840,2.5478754661634184e-09
1841,6.420548537278137e-09
1842,1.341653010911159e-09
1843,2.3627644285539873e-09
1844,1.6465684371524958e-09
1845,1.674068439427856e-09
1846,0.0
1847,1.6179670936367074e-09
1848,0.0
1849,0.0
1850,4.752297222410107e-09
1851,9.029214709244116e-09
1852,1.0416872697760482e-08
1853,1.6721408258035808e-08
1854,4.676098175337984e-09
1855,2.1227748447927297e-09
1856,1.5531567143511893e-09
1857,5.857811125054013e-09
1858,4.404308473482388e-09
1859,5.601390462572908e-09
1860,4.577183909670879e-10
1861,1.8863854922557266e-09
1862,0.0
1863,1.4983863039219614e-09
1864,8.151037178549814e-09
1865,6.118897832863013e-09
1866,4.865612912574591e-10
1867,1.5043715606566366e-08
1868,9.87974813071446e-10
1869,9.767038733343725e-09
1870,4.013834153937523e-09
1871,3.18635318130589e-09
1872,1.2094678591978436e-09
1873,4.190203295451056e-09
1874,2.9873046258899194e-09
1875,7.437985338754061e-09
1876,6.04601479992084e-09
1877,6.184816214727107e-09
1878,1.2078177347163432e-09
1879,1.710611108318716e-08
1880,7.701415283278834e-09
1881,1.3945015142624584e-09
1882,7.986462158271479e-09
1883,5.687405213450347e-09
1884,3.9610181801208455e-09
1885,1.6758653131887513e-08
1886,5.808117542471791e-09
1887,6.528924512139156e-09
1888,6.340614699951175e-09
1889,1.628935564212952e-08
1890,3.2771931834929546e-09
1891,5.736798147637501e-09
1892,6.268512375839919e-09
1893,8.621783287310336e-09
1894,6.9316934414587195e-09
1895,1.2037228991346183e-09
1896,1.179405795248556e-08
1897,4.661370733849424e-09
1898,1.4145887572425409e-08
1899,1.326618814800895e-08
1900,1.972600216504361e-08
1901,1.3412973010051843e-08
1902,2.9461704187383475e-09
1903,2.1600881083827517e-09
1904,6.449550227216605e-09
1905,2.580379465655369e-09
1906,1.3374879870298173e-08
1907,9.771402353919711e-09
1908,4.4202499438483756e-09
1909,3.795678793494517e-08
1910,7.481811059584231e-09
