year,prenant_VERB en_ADP
1800,4.087413714159993e-07
1801,5.11954228343825e-07
1802,7.161088433349505e-07
1803,3.6081276166832765e-07
1804,5.363916582012962e-07
1805,4.2643165620859236e-07
1806,4.495403720383706e-07
1807,5.124518995813787e-07
1808,4.962702089272852e-07
1809,6.95781377402227e-07
1810,4.844062413411621e-07
1811,5.089365728849771e-07
1812,4.2942051869943043e-07
1813,4.831245981051779e-07
1814,8.024026811881413e-07
1815,5.9069195401662e-07
1816,8.644662585766127e-07
1817,5.791568895574528e-07
1818,7.116942697393824e-07
1819,6.810991166616986e-07
1820,7.404684296830055e-07
1821,6.518443491643211e-07
1822,7.599416989023666e-07
1823,7.105651675942681e-07
1824,9.187434031332486e-07
1825,7.933704324614155e-07
1826,7.812682056851372e-07
1827,1.0710471514130404e-06
1828,7.71390531895122e-07
1829,7.60440734381973e-07
1830,9.414025754495015e-07
1831,1.0679976156779958e-06
1832,1.0918685262595318e-06
1833,9.8808348525381e-07
1834,1.1173433733802085e-06
1835,7.555525129987473e-07
1836,9.348563096978069e-07
1837,1.13622358099974e-06
1838,9.196819803491962e-07
1839,1.1088479254794947e-06
1840,9.994041434424616e-07
1841,1.1313006780255819e-06
1842,1.0686266449511095e-06
1843,1.0650160575664813e-06
1844,1.2008971808086244e-06
1845,1.2203958164036521e-06
1846,1.176754821585746e-06
1847,1.264711002590957e-06
1848,1.4344630585583218e-06
1849,1.5116464524567164e-06
1850,1.4759276751874495e-06
1851,1.380824826924254e-06
1852,1.1901276764092472e-06
1853,1.140638985930309e-06
1854,1.0682286344376735e-06
1855,1.1160488782024913e-06
1856,1.4232093690225156e-06
1857,1.2115906002918564e-06
1858,1.2415255952191728e-06
1859,1.242490313302369e-06
1860,1.3035820245477225e-06
1861,1.264821420932094e-06
1862,1.2939512714638113e-06
1863,1.1407714168854e-06
1864,1.2845075616496615e-06
1865,1.1395270291814086e-06
1866,1.1575293399346265e-06
1867,1.2709513299569153e-06
1868,1.2255827073204273e-06
1869,1.1852300545456274e-06
1870,1.030981984229129e-06
1871,1.2756034237781932e-06
1872,1.0830784589188625e-06
1873,1.2259337651698843e-06
1874,1.0814042923357192e-06
1875,1.004700180828877e-06
1876,9.564795249161762e-07
1877,9.759639922890528e-07
1878,1.0405349684106113e-06
1879,1.09112550461532e-06
1880,1.1712569261135286e-06
1881,1.0472706364339501e-06
1882,1.0681892916863944e-06
1883,1.0142539181856591e-06
1884,9.783714745026373e-07
1885,1.0203441291878335e-06
1886,1.04094370101393e-06
1887,9.956610114159048e-07
1888,9.840634191959907e-07
1889,9.955302004982514e-07
1890,1.0487018045068908e-06
1891,1.0670444723359651e-06
1892,1.0035888209358745e-06
1893,1.048162523886731e-06
1894,1.0164382686639328e-06
1895,9.63580198742875e-07
1896,9.258335254003214e-07
1897,9.037232970854348e-07
1898,8.572407850238051e-07
1899,1.0043609961485345e-06
1900,9.748797893394112e-07
1901,9.076111950889754e-07
1902,8.273828058236177e-07
1903,8.964365676433772e-07
1904,8.18017980463992e-07
1905,9.857049576567078e-07
1906,7.942620925405208e-07
1907,9.354831860264312e-07
1908,8.570373850602664e-07
1909,9.197644388336812e-07
1910,8.053634843463442e-07
1911,8.549841439275951e-07
1912,8.533031987667528e-07
1913,8.362814796214479e-07
1914,8.149936903123489e-07
1915,1.047309737600699e-06
1916,9.405267604734036e-07
1917,1.0363271201185853e-06
1918,9.028291501067542e-07
1919,9.124977822239089e-07
1920,9.003383496519746e-07
1921,9.117588035678637e-07
1922,9.244552998666222e-07
1923,9.628665154082228e-07
1924,9.655827000187855e-07
1925,9.062498591561052e-07
1926,9.084103140821753e-07
1927,9.900511486193864e-07
1928,1.0123472407030931e-06
1929,1.073935166573392e-06
1930,1.0030941410832384e-06
1931,1.1165844284732884e-06
1932,1.0521154933940124e-06
1933,1.156242745992131e-06
1934,1.0016600953122179e-06
1935,1.0005485506781042e-06
1936,1.019688497194693e-06
1937,1.0790588049758298e-06
1938,1.0009145796630037e-06
1939,9.895250485669749e-07
1940,9.813479948661552e-07
1941,6.965546290871316e-07
1942,7.797924013175361e-07
1943,6.532279499538163e-07
