year,est_VERB avant_ADP,est_VERB savant_ADJ
1800,4.62192190298083e-07,2.138031902632065e-07
1801,2.8574191901498125e-07,1.976381582835529e-07
1802,3.8043282302169246e-07,3.065840985527757e-07
1803,3.3740869298526377e-07,1.618781624301846e-07
1804,2.2493843232496147e-07,2.3235398316501232e-07
1805,4.7191770136123523e-07,2.5870187414511747e-07
1806,4.495403800319764e-07,2.7664023605211696e-07
1807,2.8469551693888207e-07,2.306033621835013e-07
1808,2.4700207745809166e-07,1.5182695278781466e-07
1809,1.8975856619363185e-07,2.7560173521123943e-07
1810,4.867463871960354e-07,2.340126741273707e-07
1811,2.3315813280078146e-07,3.911039812010131e-07
1812,2.053750307595692e-07,1.440292436427626e-07
1813,2.386865673997818e-07,2.875741529351217e-07
1814,3.083743536080874e-07,2.4229413497778296e-07
1815,3.0478625490104605e-07,1.1598061178119679e-07
1816,2.062667476820934e-07,2.3407798721564177e-07
1817,3.409552675748273e-07,1.5724421587037796e-07
1818,5.042658131060307e-07,2.515368464628409e-07
1819,3.9955054376150656e-07,1.9770504877669737e-07
1820,2.8360889814393886e-07,1.9342364510066545e-07
1821,4.881436552750529e-07,2.7316323780723906e-07
1822,3.278376539128658e-07,2.3560197348615475e-07
1823,2.0160680946901266e-07,2.431141012948501e-07
1824,2.517912776056619e-07,1.3473780313688621e-07
1825,2.403886014690215e-07,2.148528039924713e-07
1826,2.853786895684607e-07,2.2724599091361597e-07
1827,2.2766664642404066e-07,1.2996355280847638e-07
1828,2.2105245989223476e-07,2.008734014680158e-07
1829,2.4776477403065655e-07,2.417635585061362e-07
1830,2.5778984991120524e-07,1.4402833414806082e-07
1831,3.5547950005820894e-07,2.4945930476860667e-07
1832,4.3295901264173153e-07,1.8536057666551642e-07
1833,3.4866721421167313e-07,2.108220371610514e-07
1834,3.83649222612803e-07,2.473650795309368e-07
1835,3.7210392633824085e-07,3.047924508337019e-07
1836,4.3483254330567433e-07,1.969179805882959e-07
1837,3.5067770909336105e-07,1.0784730619661786e-07
1838,4.3743281707975257e-07,2.0388283417105413e-07
1839,3.775396635319339e-07,1.2444826325008762e-07
1840,5.458823011394998e-07,4.2740612116176635e-07
1841,5.617980036731751e-07,3.1524893984169466e-07
1842,6.124645892668923e-07,2.7839300287269e-07
1843,6.172722351038828e-07,2.746713789747446e-07
1844,5.900203632336343e-07,1.7124311568750272e-07
1845,6.925062621121469e-07,1.6684882098161324e-07
1846,6.715113158861641e-07,3.10874014530782e-07
1847,6.002657642056874e-07,1.8552688629824843e-07
1848,7.168292768255924e-07,1.6975417338471743e-07
1849,6.569461561412027e-07,1.1396004140351579e-07
1850,7.013032927716267e-07,1.2695421958142106e-07
1851,7.932809467092738e-07,1.5027193001060368e-07
1852,6.32824992408132e-07,3.248762254770554e-07
1853,7.661988661311625e-07,1.7199164403791656e-07
1854,7.731148912171193e-07,1.6781996237114072e-07
1855,7.450939847331028e-07,1.7672100227628107e-07
1856,9.220573815582611e-07,2.112293202571891e-07
1857,7.473590244444495e-07,2.260138671772438e-07
1858,9.684584938440821e-07,2.6181166390415456e-07
1859,1.0367665481680888e-06,2.347491943055502e-07
