year,seront_VERB à_ADP,seront_VERB a_ADP
1800,2.6662514756026212e-06,4.7162467708972144e-08
1801,2.012099230341846e-06,1.1905912700171939e-08
1802,2.437007879052544e-06,3.1329761895904085e-08
1803,2.457427399349399e-06,1.3652374342143503e-08
1804,2.5015131086547626e-06,2.4718509461507665e-09
1805,2.928164121840382e-06,8.528632911009026e-09
1806,3.440713044255972e-06,4.3225035994964855e-08
1807,3.8433895497291815e-06,2.8469551160981155e-08
1808,3.2155589906324167e-06,3.172503637571822e-08
1809,3.079058615185204e-06,3.840351947559384e-08
1810,3.09598772219033e-06,1.4040760554223652e-08
1811,3.367004183019162e-06,7.771938115297417e-08
1812,2.9766044917778345e-06,3.200649834056435e-08
1813,2.982143996632658e-06,4.888760796184499e-08
1814,3.2599575661151903e-06,9.440031423224582e-09
1815,3.174632183799986e-06,2.4275012000529728e-08
1816,3.223786961825681e-06,2.3176038865813098e-08
1817,2.6793791221280117e-06,2.8023721343473085e-08
1818,3.281900035290164e-06,1.6689648107970356e-08
1819,2.964540726679843e-06,2.6912729822470283e-08
1820,3.206323299309588e-06,1.6613073583471305e-08
1821,2.523554940125905e-06,1.6764529986446064e-08
1822,2.8021595426253043e-06,1.9048670196752937e-08
1823,2.0180445972073358e-06,3.953074634299725e-08
1824,2.617281779748737e-06,1.8526447931321854e-08
1825,2.9859256756026298e-06,1.7610886082763955e-08
1826,3.1664703783462755e-06,1.145037975547325e-08
1827,3.441729859332554e-06,2.6730091917670507e-08
1828,2.735180260060588e-06,2.109629271274116e-08
1829,3.0349042390298564e-06,2.143293986733852e-08
1830,2.4589185159129556e-06,1.5655253760016308e-08
1831,3.0589947073167423e-06,4.833273958837481e-08
1832,2.5747531253728084e-06,2.1647950210201827e-08
1833,2.5657736841822043e-06,2.6642344885807745e-08
1834,3.564857252058573e-06,2.0535967593104942e-08
1835,2.9972518404974835e-06,2.7227116561334697e-08
1836,3.0559251626982586e-06,2.6210924986003192e-08
1837,2.5806816665863153e-06,2.0873672124110954e-08
1838,2.5905112579494016e-06,3.408567472718005e-08
1839,2.897267222579103e-06,1.5381245610512906e-08
1840,2.765081944744452e-06,2.93005673057678e-08
1841,2.554094180595712e-06,1.733548193882939e-08
1842,2.3512468487751903e-06,2.884554017867913e-08
1843,2.3621737454959657e-06,2.658110043185502e-08
1844,2.2332956177706365e-06,2.9089374908863874e-08
1845,2.6020602490461897e-06,4.0735663120461396e-08
1846,2.400345465503051e-06,2.2832554291696283e-08
1847,2.731667791522341e-06,5.501088207182647e-08
1848,2.6589457320369547e-06,3.5398974640443726e-08
1849,2.6847644676308846e-06,8.295620546050486e-08
1850,2.3435613911715336e-06,1.9009189777818847e-08
1851,2.2547237676917575e-06,3.934157510876446e-08
1852,2.564503802204854e-06,3.05995628835376e-08
1853,2.1863243091502227e-06,3.105404489112118e-08
1854,2.2699857709085336e-06,4.831967964635808e-08
1855,2.166291778848972e-06,2.9718847827098216e-08
1856,2.222049715783214e-06,2.2779632291580754e-08
1857,1.8813335600498249e-06,2.1966791607930247e-08
1858,2.2231970433495007e-06,3.2787628556629755e-08
1859,2.30115324484359e-06,2.698851875315711e-08
1860,2.3975289877853356e-06,2.7463103874358907e-08
1861,2.6329225875088014e-06,8.913171722912949e-08
1862,2.4681758077349514e-06,5.286044049701566e-08
1863,2.3459733711206354e-06,2.3974179197416845e-08
1864,2.7152543680131203e-06,3.3563095414024247e-08
1865,2.582174829512951e-06,2.8241066818424088e-08
1866,2.0002535165986046e-06,1.9949013552178485e-08
1867,2.5365645797137404e-06,4.464586567110018e-08
1868,2.577626219135709e-06,3.60610815652862e-08
1869,2.2430003809859045e-06,3.2231225244316875e-08
1870,2.2758440536563285e-06,2.5229813793714584e-08
1871,2.666977707121987e-06,5.5230122475435905e-08
1872,2.2193735276232474e-06,3.688876892837811e-08
1873,2.3105976652004756e-06,2.9331422179978972e-08
1874,2.7925323138333624e-06,3.823749689102485e-08
1875,2.4648338694532868e-06,3.776207790906483e-08
1876,2.7194973881705664e-06,5.8041740746972437e-08
1877,2.4343435143237002e-06,3.339800735968623e-08
1878,2.3190100364445243e-06,3.2611079170408175e-08
1879,2.4956593733804766e-06,4.948553466999073e-08
1880,2.793046633087215e-06,4.1715999765656875e-08
1881,2.123825879607466e-06,3.3468037008432816e-08
1882,2.067162540697609e-06,3.793569547383413e-08
1883,2.1397281670942903e-06,3.7916033257534565e-08
1884,2.1831810954608954e-06,3.234831424947515e-08
1885,2.232768110843608e-06,4.1896630609272734e-08
1886,2.272264737257501e-06,4.581959212046627e-08
1887,2.50057814810134e-06,3.52561939642726e-08
1888,2.3770965071889805e-06,4.755461024963381e-08
1889,2.2316417016554624e-06,3.445825108583378e-08
1890,2.181955323976581e-06,3.2771932723107966e-08
1891,2.376309339524596e-06,3.697047767925454e-08
1892,2.434690259178751e-06,5.0774949134080316e-08
1893,2.2638339487457415e-06,3.263960690613743e-08
1894,2.3882832920207875e-06,2.3945848637296763e-08
1895,2.5880042358039645e-06,3.5509827078783474e-08
1896,2.5333636131108506e-06,4.009979592822788e-08
1897,2.5754072794370586e-06,4.195233749282323e-08
1898,2.560971324783168e-06,3.3384293107729945e-08
1899,2.5907759209076175e-06,4.2009594025671504e-08
1900,2.3193624656414613e-06,4.464305580764716e-08
1901,2.3869504275353393e-06,3.241468499171063e-08
1902,2.264131808260572e-06,2.7497590426861507e-08
1903,2.7746332307287958e-06,3.7801541896698154e-08
1904,2.4798521280899877e-06,3.332267617395246e-08
1905,2.4921305339375976e-06,2.9416326707831786e-08
1906,2.4218820726673584e-06,4.372556716703002e-08
1907,2.552393198129721e-06,5.0399864726102805e-08
1908,2.4198413939302554e-06,4.22379444753318e-08
1909,2.501297331036767e-06,3.6306492368076704e-08
1910,2.3706652427790686e-06,4.7028525851366965e-08
1911,2.551651505200425e-06,3.6178544604581475e-08
1912,2.57710075857176e-06,2.8651816474933867e-08
1913,2.4669507183716632e-06,2.4924052155483878e-08
1914,2.270865707032499e-06,3.683208993354725e-08
1915,2.7225341909797862e-06,3.416420901736217e-08
1916,2.7128044166602194e-06,2.966614687238689e-08
1917,2.345718257856788e-06,3.070598797449975e-08
1918,2.4982869035738986e-06,3.5607766513123806e-08
1919,2.9317789085325785e-06,3.406903859026755e-08
1920,2.3640507151867496e-06,1.9687802055301518e-08
1921,2.4331236545549473e-06,2.8019165654313838e-08
1922,2.282733248648583e-06,3.1725122751069534e-08
1923,2.2941064798942534e-06,2.9724655181695425e-08
1924,2.2599017484026263e-06,1.9337436318878076e-08
1925,2.0577590476023033e-06,3.299453421590215e-08
1926,2.1289124561008066e-06,2.452150527076924e-08
1927,1.9801022972387727e-06,1.2264147253304714e-08
1928,2.1766609279438853e-06,3.1992915872081085e-08
1929,2.1144492166058626e-06,3.787738167559951e-08
1930,2.140634478564607e-06,3.151081107155562e-08
1931,2.2411525151255773e-06,2.623232031595535e-08
1932,2.263144324388122e-06,4.055028712812714e-08
1933,2.2620145045948448e-06,4.014731880275235e-08
1934,2.3819382022338687e-06,2.516131836216573e-08
