year,doit_VERB avoir_VERB,doit_VERB savoir_VERB
1800,2.121682155120652e-05,1.3708556707570096e-06
1801,2.2466458176495507e-05,2.138301852028235e-06
1802,2.280582884850446e-05,1.5172556686593452e-06
1803,2.321098691027146e-05,1.5758740801175009e-06
1804,2.6031062589026988e-05,1.668499407969648e-06
1805,2.4036531613091938e-05,1.6744550066505326e-06
1806,2.345678694837261e-05,2.0978550310246646e-06
1807,2.4364242563024163e-05,1.5202740542008542e-06
1808,2.233215855085291e-05,1.7335465827272856e-06
1809,2.235762440250255e-05,1.294424464504118e-06
1810,2.255882282042876e-05,1.6942517504503485e-06
1811,1.956271989911329e-05,1.3588355614047032e-06
1812,2.6373354558018036e-05,1.3549417872127378e-06
1813,2.4478313207509927e-05,1.3774802027910482e-06
1814,2.0003426470793784e-05,1.5261383623510483e-06
1815,1.8732218450168148e-05,1.356703478450072e-06
1816,2.356539698666893e-05,1.6686748267602525e-06
1817,1.7435424524592236e-05,1.5023828154880903e-06
1818,1.7112850400735624e-05,1.910964783746749e-06
1819,2.001893153646961e-05,1.7389763797837077e-06
1820,1.758137841534335e-05,1.5378959687950555e-06
1821,1.782661274774e-05,1.5679765965614934e-06
1822,1.8983504560310394e-05,1.6802932805148885e-06
1823,1.679562592471484e-05,1.3134091432220885e-06
1824,1.7277596271014772e-05,1.802118163141131e-06
1825,1.767428511811886e-05,1.7003310404106742e-06
1826,1.6866410078364424e-05,1.6743978221711586e-06
1827,1.9958160919486545e-05,1.543893290545384e-06
1828,1.93654796021292e-05,1.563877390253765e-06
1829,1.836631417972967e-05,1.5646046449546702e-06
1830,2.0010545995319262e-05,1.7158157561425469e-06
1831,2.154392859665677e-05,1.7462150481151184e-06
1832,2.169530671380926e-05,1.6641862430333276e-06
1833,1.9321492800372653e-05,1.4120442983767134e-06
1834,1.7191405277117155e-05,1.4225824997993186e-06
1835,1.7428379578632303e-05,1.434717773918237e-06
1836,1.7896685676532798e-05,1.29508850932325e-06
1837,1.770504968590103e-05,1.3644423688674578e-06
1838,1.649431033001747e-05,1.3040926205576397e-06
1839,1.820929719542619e-05,1.56329383571574e-06
1840,1.7665057384874672e-05,1.377126636725734e-06
1841,1.730658914311789e-05,1.5884437516433536e-06
1842,1.7124188161687925e-05,1.7991567347053206e-06
1843,1.8008398910751566e-05,1.5346155350925983e-06
