year,acceptant_VERB en_ADP,acceptant_VERB sans_ADP
1800,3.144164484325529e-09,0.0
1801,0.0,1.1905912700171939e-08
1802,8.951360541686881e-09,1.1189200677108602e-08
1803,0.0,5.851017448321727e-09
1804,5.9324420931261557e-08,0.0
1805,5.685755422035754e-09,2.2743021688143017e-08
1806,0.0,5.76333825108577e-09
1807,1.9928686256776018e-08,2.562259560079383e-08
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,1.129515236897305e-08,4.518061036407062e-09
1810,9.360507036149102e-09,4.680253518074551e-09
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,0.0,1.0668832928217853e-08
1813,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,5.394447111228828e-09,8.091670444798638e-09
1816,0.0,2.3176038865813098e-09
1817,3.113746815941454e-09,6.227493631882908e-09
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,5.175524897538253e-09,0.0
1820,1.1866481131050932e-09,2.3732962262101864e-09
1821,1.1833785951154141e-08,9.86148829262845e-10
1822,1.303330066093622e-08,6.015369535816717e-09
1823,2.9648061783404955e-09,1.9765373782121287e-09
1824,1.6842225392110777e-09,8.421112696055388e-10
1825,8.805443041381977e-10,7.92489873724378e-09
1826,6.1655889282974385e-09,2.642395191543301e-09
1827,5.530363722527909e-09,2.7651818612639545e-09
1828,1.0089530988466322e-08,1.6510142586412258e-08
1829,6.001223074036943e-09,1.457439946506156e-08
1830,6.262101504006523e-09,2.0873671680021744e-09
1831,1.2472964883158966e-08,2.0268567268999504e-08
1832,1.488296597074168e-08,6.764984572527055e-09
1833,1.6217079235048004e-08,6.950177322551099e-09
1834,1.120143711119681e-08,1.0267984462686286e-08
1835,1.1344631900556124e-08,1.2100940693926532e-08
1836,1.2769425516978572e-08,1.1425274948351216e-08
1837,6.957891152126194e-09,9.045257876039159e-09
1838,2.019891809368346e-08,1.4517972601879592e-08
1839,1.3982949909063791e-08,2.6567605004856887e-08
1840,3.4396318682183846e-08,1.528725324106972e-08
1841,2.247191943638427e-08,3.4028908135752545e-08
