year,permettant_VERB en_ADP,permettant_VERB sans_ADP
1800,1.5720821977538435e-08,0.0
1801,3.5717739876872656e-08,4.7623651688866175e-09
1802,5.147032311469957e-08,0.0
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,8.528632911009026e-09,0.0
1806,0.0,5.76333825108577e-09
1807,1.4234775136401367e-08,0.0
1808,6.798221985349073e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,5.0141535368197765e-09,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,3.4613449884091096e-08,0.0
1815,6.203614333344376e-08,0.0
1816,9.270415546325239e-09,0.0
1817,1.71256075987003e-08,0.0
1818,5.960588467246453e-09,1.1921177378582115e-09
1819,1.8631890696951814e-08,8.280840013696888e-09
1820,0.0,9.493184904840746e-09
1821,1.577838126820552e-08,0.0
1822,3.8097340393505874e-08,1.0025615893027862e-08
1823,1.9765373782121287e-09,7.906149512848515e-09
1824,2.863178316658832e-08,8.421112696055388e-10
1825,1.4088708866211164e-08,0.0
1826,1.9377566218281572e-08,6.1655889282974385e-09
1827,1.8434546333878643e-08,0.0
1828,1.1006761724274838e-08,0.0
1829,1.7146351893870815e-08,0.0
1830,1.461157062010443e-08,1.461157062010443e-08
1831,4.053713453799901e-08,0.0
1832,1.352996914505411e-08,4.058990921151917e-09
1833,1.3900354645102198e-08,1.1583628500844156e-09
1834,5.600718555598405e-09,1.8669061851994684e-09
1835,1.739510224751939e-08,0.0
1836,3.427582484505365e-08,0.0
1837,2.7831563720326358e-09,3.478945576063097e-09
1838,1.7042836475411605e-08,0.0
1839,1.1885507689157748e-08,4.894032734625853e-09
1840,1.2739377552861697e-08,0.0
1841,1.6051371787284552e-08,4.494383976094696e-09
1842,1.408735705865638e-08,2.0124795163667386e-09
1843,1.1813821920725331e-08,2.953455480181333e-09
1844,2.4698525891153622e-08,1.6465684371524958e-09
1845,2.0646844234306627e-08,6.138250796539069e-09
1846,2.6930706553685013e-08,4.6836010625384006e-09
1847,1.5101026207275936e-08,7.550513103637968e-09
1848,1.045878850192139e-08,9.65426583121598e-09
1849,1.3407063903514427e-08,2.513824481908955e-09
1850,1.2899092460827433e-08,1.8330290174617403e-08
1851,2.0638204034639784e-08,5.8044946626978344e-09
1852,1.8229528109259263e-08,3.2552727180501506e-09
1853,2.9262466227919504e-08,5.971931837933653e-10
1854,2.3900057044556888e-08,1.506742641765868e-08
1855,2.4411910715116392e-08,4.776243400783642e-09
1856,1.2425253714809514e-08,7.248064815001953e-09
1857,2.2943092758964667e-08,9.274867096564776e-09
1858,2.202154192332273e-08,6.361778659424999e-09
1859,2.64793023063703e-08,7.129042689513199e-09
1860,1.4189270203246451e-08,5.950338888283113e-09
1861,1.5091083938045813e-08,4.715963730639317e-10
1862,1.1746764450037972e-08,4.517986262886353e-10
1863,1.2986014041871385e-08,1.9978483312144135e-09
1864,1.3904711160250827e-08,1.4384183844029508e-09
1865,1.97687466396701e-08,1.4120533631256649e-09
1866,1.4596838404656864e-08,5.352174259343201e-09
1867,2.038180824115443e-08,0.0
1868,1.2843672791973404e-08,3.457911734727759e-09
1869,1.70923168951731e-08,2.9301114867763545e-09
1870,1.834895613228582e-08,0.0
1871,1.274541272522356e-08,0.0
1872,2.116568786902917e-08,4.23313739617015e-09
1873,1.7958013742713774e-08,6.584604861359367e-09
1874,2.9275584623178474e-08,1.4936523129449597e-08
1875,2.1169650921137873e-08,9.154443425529735e-09
1876,3.748529309177684e-08,7.255217759905008e-09
1877,2.4120781816350245e-08,4.329371083855449e-09
1878,3.200716847118201e-08,7.850815109122777e-09
1879,2.5659165459046562e-08,6.720257683667796e-09
1880,1.9895322722618403e-08,3.2089231272180996e-09
1881,3.69542902944886e-08,2.091752326904839e-09
1882,2.6621540527571597e-08,1.9966155395678697e-09
1883,2.274962085380139e-08,6.319338829996468e-09
1884,3.895001299270007e-08,2.6406787867472303e-09
1885,4.447488777259423e-08,1.2891271383708158e-09
1886,5.420909587883216e-08,0.0
1887,3.9173546184656516e-08,2.6115698492645834e-09
1888,4.1848057463766963e-08,6.340614699951175e-10
1889,2.255449160770695e-08,1.2530273485467092e-09
