year,pensant_VERB en_ADP,pensant_VERB sans_ADP
1800,4.087413785214267e-08,9.432493897065797e-09
1801,7.381666233818862e-08,2.3811825844433088e-09
1802,9.622712582313397e-08,4.475680270843441e-09
1803,7.80135707145746e-08,5.851017448321727e-09
1804,1.730295728918918e-08,2.2246657849223084e-08
1805,3.4114531644036106e-08,5.685755422035754e-09
1806,1.729001475325731e-08,0.0
1807,0.0,1.4234775136401367e-08
1808,2.4926814390369145e-08,2.4926814390369145e-08
1809,1.3554183553310395e-08,2.259030518203531e-09
1810,7.020380365929668e-08,2.8081521108447305e-08
1811,7.019815262410134e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,4.3136125782439194e-08,0.0
1814,4.090680150170556e-08,1.2586708564299443e-08
1815,2.966945977789237e-08,4.5852800667489646e-08
1816,3.244645441213834e-08,1.1588019432906549e-08
1817,4.514932783195036e-08,1.71256075987003e-08
1818,5.722165230537257e-08,1.3113295338484932e-08
1819,4.968504185853817e-08,8.280840013696888e-09
1820,6.40789963313182e-08,2.0173018810965004e-08
1821,3.8459806006585495e-08,7.88919063410276e-09
1822,6.316138012607553e-08,1.0025615893027862e-08
1823,1.0969782771041992e-07,1.2847492847356534e-08
1824,7.073734664686526e-08,1.6842225392110777e-09
1825,7.836844129194276e-08,2.2013607603454943e-08
1826,4.051672775062798e-08,7.0463874735082754e-09
1827,4.8851547418404806e-08,8.295545583791863e-09
1828,2.0179061976932644e-08,4.586150481600271e-08
1829,4.8009784592295546e-08,4.715246859632316e-08
1830,5.4271545479878114e-08,4.383471008395645e-08
1831,3.274153215215847e-08,1.870944643656003e-08
1832,6.764985016616265e-08,2.1647950987357945e-08
1833,3.938433579264711e-08,5.791814139399776e-09
1834,4.2005389389032644e-08,8.401078055442213e-09
1835,5.7479468296151026e-08,4.0840674842002045e-08
1836,6.384712597506947e-08,1.4785650037651976e-08
1837,7.862416895321189e-08,5.5663127440652715e-09
1838,5.302215910774066e-08,7.574594507175902e-09
1839,2.9364196407755117e-08,2.307186797168015e-08
1840,4.395085184683012e-08,1.9746034141121527e-08
1841,6.420548714913821e-08,2.3756030032018316e-08
1842,3.8907935984155984e-08,1.7441489141845068e-08
1843,5.84784181079101e-08,2.126487963494128e-08
1844,4.281077631285157e-08,1.427025975164753e-08
1845,7.254296008341043e-08,2.455300301962282e-08
1846,6.439951505399222e-08,3.2785209214125643e-08
1847,1.77976389181822e-08,1.5640349459999925e-08
1848,2.815827571112095e-08,9.65426583121598e-09
1849,1.256912263158938e-08,2.8490010350878947e-08
1850,2.987158254086353e-08,2.0366988096043315e-08
1851,4.837079004005318e-08,2.9022474423712197e-08
1852,2.408901877970493e-08,2.4740073101270355e-08
1853,2.9859658745579054e-08,2.269334054005867e-08
1854,4.1565314745639625e-08,2.286092382064453e-08
1855,4.6701046585440054e-08,2.2289135870323662e-08
1856,4.555926391702769e-08,4.555926480520611e-08
1857,6.882927872098321e-08,3.368241152656992e-08
1858,6.508588845655083e-08,2.0553439838977283e-08
1859,5.601390640208592e-08,2.49516496353408e-08
1860,4.256780980482766e-08,1.9224172476128842e-08
1861,3.3954938694069625e-08,3.159695793897299e-08
1862,4.4276266236709105e-08,2.3945327498609004e-08
1863,5.194405616748554e-08,2.447364266799923e-08
1864,8.246932026167997e-08,1.726102105692462e-08
1865,3.812544080439295e-08,1.2237795665726026e-08
1866,6.617233216932306e-08,2.3354942868536455e-08
1867,4.416058452250127e-08,2.620518202434141e-08
1868,3.951899252285784e-08,2.9145256874585357e-08
1869,5.616047005219116e-08,2.5882651355502162e-08
1870,8.085008929015203e-08,2.695003020747322e-08
1871,3.186353225714811e-08,2.8677177965619194e-08
1872,4.5959779981785687e-08,1.3304146229131675e-08
1873,5.566984029314881e-08,2.7535620006347017e-08
1874,2.8080663128093875e-08,1.9118749250424116e-08
1875,5.492665877682157e-08,4.062284375550007e-08
1876,7.19475758970134e-08,3.748529309177684e-08
1877,2.040989244278535e-08,1.855444864418132e-08
1878,6.703388777395958e-08,3.744235144154118e-08
1879,5.864952079548402e-08,3.5434087664043545e-08
1880,2.9522093214495726e-08,2.7596738449986447e-08
1881,2.649552932609822e-08,7.669758161910067e-09
1882,3.128031078603044e-08,1.4641846846075168e-08
1883,4.044376833434171e-08,2.4013488364449387e-08
1884,2.3105939384038265e-08,1.8484750619052193e-08
1885,1.9981470700258797e-08,3.158361394639542e-08
1886,3.743009102663564e-08,2.0005737511041843e-08
1887,2.8074375491016212e-08,2.0239665943222462e-08
1888,3.4873380627686856e-08,2.7898705345918984e-08
1889,3.4458252695657166e-08,1.002421912144058e-08
1890,2.2284914580339432e-08,2.1629475099871343e-08
1891,3.1233678310371715e-08,2.1672348360368687e-08
1892,3.13425623232888e-08,3.00888589599424e-08
1893,1.9091091374434654e-08,2.0938616174248637e-08
1894,3.969969686323793e-08,1.9534772022211655e-08
1895,2.347259631108045e-08,2.347259631108045e-08
1896,2.5357224264777045e-08,3.125425251937486e-08
1897,2.097616802476665e-08,3.3212266714599536e-08
1898,4.5832672879164704e-08,2.3199254295391825e-08
1899,3.4823743888523495e-08,1.326618814800895e-08
1900,2.491705419771506e-08,2.595526638060619e-08
1901,3.0179190924073396e-08,3.129693837422565e-08
1902,2.0132164380015638e-08,1.0802624239580894e-08
1903,2.754112315983548e-08,1.5120615870500842e-08
1904,2.9022976910653142e-08,2.2573425795258117e-08
1905,2.580379598882132e-08,1.6514428768932277e-08
1906,2.7264178192876187e-08,1.9547901075611662e-08
1907,3.548561799959771e-08,2.0571373382516356e-08
1908,4.911389206441186e-08,2.4556944921982904e-08
1909,2.9705311987981986e-08,3.300590023513905e-08
1910,4.1149959661979096e-08,2.5651922808123118e-08
1911,2.287760891839241e-08,3.032613227205161e-08
1912,2.8651816919023076e-08,1.4065436815258181e-08
1913,3.234823742204185e-08,2.8636143678539838e-08
1914,3.415339178136634e-08,1.607218563792756e-08
1915,3.534228554258334e-08,2.3561523843085297e-08
1916,2.307367008569372e-08,1.867868548721674e-08
1917,4.0575770299255964e-08,2.52227767560953e-08
