year,fût_VERB avant_ADV,fût_VERB savant_ADJ
1800,0.0,0.0
1801,0.0,9.524730337773235e-09
1802,1.1189200677108602e-08,6.713520406265161e-09
1803,0.0,2.9255089017965474e-08
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,2.881669125542885e-09,5.76333825108577e-09
1807,8.540865792383556e-09,8.540865792383556e-09
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,0.0,4.518061036407062e-09
1810,1.8721014072298203e-08,0.0
1811,0.0,0.0
1812,1.0668832928217853e-08,0.0
1813,0.0,1.1502966579257645e-08
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,1.71256075987003e-08
1818,0.0,0.0
1819,1.035105001712111e-09,0.0
1820,1.1866481131050932e-09,1.4239777357261119e-08
1821,0.0,6.903041693817613e-09
1822,0.0,3.0076847679083585e-09
1823,9.882686891060644e-10,9.882686891060644e-10
1824,7.57900142644985e-09,0.0
1825,4.4027217427355936e-09,6.163809906922779e-09
1826,4.403992281964975e-09,4.403992281964975e-09
1827,8.295545583791863e-09,3.6869092223668076e-09
1828,2.5682442839070063e-08,6.420610709767516e-09
1829,1.714635211591542e-09,0.0
1830,4.174734336004349e-09,1.0436835840010872e-09
1831,1.2472964883158966e-08,1.091384405071949e-08
1832,1.3529969367098715e-09,5.411987746839486e-09
1833,1.1583628278799551e-08,4.6334514003376626e-09
1834,7.467624740797874e-09,2.8003592777992026e-09
1835,3.025235173481633e-09,6.050470346963266e-09
1836,2.016224964762614e-09,2.016224964762614e-09
1837,6.957890930081589e-10,1.3915781860163179e-09
1838,1.2624323808552163e-09,9.468243078458727e-09
1839,6.9914751765765e-10,6.9914751765765e-10
1840,1.2739377330817092e-09,6.369688665408546e-10
1841,6.420548537278137e-09,3.852329122366882e-09
1842,1.7441490030023488e-08,6.708265054555795e-10
1843,5.31621990873532e-09,3.5441467538532834e-09
1844,4.9397050894128824e-09,0.0
1845,1.2834524554250493e-08,5.580227835366713e-09
1846,5.269050973311096e-09,2.3418005312692003e-09
1847,4.314578916364553e-09,2.1572894581822766e-09
1848,0.0,3.218088684420195e-09
1849,0.0,0.0
1850,6.788996032014438e-10,0.0
1851,5.159551008659946e-09,1.2253933867611977e-08
1852,5.208436348880241e-09,2.2135854038651814e-08
1853,2.388772735173461e-09,2.388772735173461e-09
1854,5.7152309551611324e-09,3.63696517347023e-09
1855,4.776243400783642e-09,5.837630823180007e-09
1856,3.1063134287023786e-09,1.0354378465748937e-09
1857,9.274867096564776e-09,2.9289055625270066e-09
1858,4.893676019968041e-10,1.9574704079872163e-09
1859,1.018434669930457e-09,4.582956236731661e-09
1860,8.238931314963338e-09,9.15436793036406e-09
1861,6.13075279431996e-09,3.3011746669586728e-09
1862,1.3553959066214816e-09,3.6143890103090826e-09
