year,rendant_VERB en_ADP
1800,2.421006684016902e-07
1801,1.7620750725200196e-07
1802,3.7819498288627074e-07
1803,1.2287136996746995e-07
1804,2.076354803648428e-07
1805,1.9331568523739406e-07
1806,2.1324350996110297e-07
1807,2.1067468480850948e-07
1808,2.1754310353117035e-07
1809,3.0496912017952127e-07
1810,1.9189039335287816e-07
1811,1.9805906958936248e-07
1812,1.226915742336132e-07
1813,2.415623043816595e-07
1814,1.9824065589091333e-07
1815,2.6163067445850174e-07
1816,3.175117342379963e-07
1817,1.6814232139950036e-07
1818,2.0504424469436344e-07
1819,1.542306478086175e-07
1820,2.3970292772901303e-07
1821,2.0018821089706762e-07
1822,2.0753024898567674e-07
1823,2.529967844111525e-07
1824,2.4421225930382207e-07
1825,2.562383940585278e-07
1826,3.523193754517706e-07
1827,2.2951009270855138e-07
1828,1.770254129951354e-07
1829,1.9032451348266477e-07
1830,2.870129947041278e-07
1831,1.9489007740958186e-07
1832,3.138952990866528e-07
1833,2.3630602186131e-07
1834,2.3056291809098184e-07
1835,2.2235478525090002e-07
1836,2.50011908065062e-07
1837,2.379598669222105e-07
1838,1.9504579995555105e-07
1839,2.614811762668978e-07
1840,2.809032650930021e-07
1841,2.1637248437400558e-07
1842,2.4485166250087786e-07
1843,3.012524700807262e-07
1844,2.9144260338398453e-07
1845,2.539003673973639e-07
1846,2.663797999957751e-07
1847,3.1334630534729513e-07
1848,3.137636497285712e-07
1849,3.44393953355393e-07
1850,2.57302957606953e-07
1851,2.824854163918644e-07
1852,3.6133528169557394e-07
1853,2.5559867822266824e-07
1854,2.940745957857871e-07
1855,3.136399868708395e-07
1856,2.676606811746751e-07
1857,2.9972466109029483e-07
1858,3.268975490300363e-07
1859,4.221411700200406e-07
1860,2.5769546141418687e-07
1861,3.2823106721480144e-07
1862,2.7559715931602113e-07
1863,2.7320575668454694e-07
1864,2.0952961676812265e-07
1865,2.3063537923917465e-07
1866,2.525252966734115e-07
1867,2.3681720051627053e-07
1868,2.1982440046031115e-07
1869,2.544313417729427e-07
1870,2.729407242441084e-07
1871,3.281943747879268e-07
1872,2.866438819637551e-07
1873,2.7595481810749334e-07
1874,2.6945485842588823e-07
1875,3.1868907512944133e-07
1876,2.7267526547802845e-07
1877,2.473926485890843e-07
1878,2.536417298415472e-07
1879,2.7064311325375456e-07
1880,2.791763051845919e-07
1881,2.837810484379588e-07
1882,3.0015786478543305e-07
1883,3.633619769516372e-07
1884,3.657340243989893e-07
1885,2.4235589535237523e-07
1886,3.291266637006629e-07
1887,2.9771896947750065e-07
1888,3.436613269514055e-07
1889,2.5436455075578124e-07
1890,2.66763521494795e-07
1891,2.7026692350773374e-07
1892,3.1154505109043384e-07
1893,2.900614219925046e-07
1894,2.8230897441972047e-07
1895,2.900972049246775e-07
1896,2.995690806528728e-07
1897,3.000757544668886e-07
1898,2.648110069003451e-07
1899,2.857757976926223e-07
1900,2.5799533887038706e-07
1901,3.77239871340862e-07
1902,3.2898901736189146e-07
1903,3.16452911874876e-07
1904,3.047412349133083e-07
1905,2.575218900346954e-07
1906,2.9836269277438987e-07
1907,3.0394204486583476e-07
1908,2.622681734010257e-07
1909,2.9540282753259817e-07
1910,2.778958219096239e-07
1911,2.468653690357314e-07
1912,3.089186861870985e-07
1913,2.868917476916977e-07
1914,2.913083392286353e-07
1915,3.404640267490322e-07
1916,3.8895615261935745e-07
1917,4.1672413431115274e-07
1918,3.170239892824611e-07
1919,2.9557193670370907e-07
1920,3.263631924710353e-07
1921,2.8473530733208463e-07
1922,3.0544651963282377e-07
1923,2.887537959850306e-07
1924,2.9650735200448253e-07
1925,3.233464269669639e-07
1926,3.031749713500176e-07
1927,2.3078895594608184e-07
1928,3.0736052281099546e-07
1929,3.5760703553933126e-07
1930,3.697268482483196e-07
1931,3.159283892273379e-07
1932,3.8796758872194914e-07
1933,3.108549435637542e-07
1934,3.079265979977208e-07
1935,3.8896922660569544e-07
1936,3.698037858157477e-07
1937,3.5758776562033745e-07
1938,3.046825440833345e-07
1939,3.043516016987269e-07
1940,3.2458021337333776e-07
1941,2.538292278586596e-07
1942,2.8521591843855276e-07
1943,3.135494068828848e-07
1944,3.116790594503982e-07
1945,2.461709698309278e-07
1946,2.53364106583831e-07
1947,2.753721162207512e-07
1948,2.6527405339038523e-07
1949,3.995522490640724e-07
1950,3.413950935282628e-07
1951,3.1557749480271013e-07
1952,2.7311043027111737e-07
1953,3.3722079706421937e-07
1954,2.6581298584460455e-07
1955,2.346401970498846e-07
1956,2.3372659541109897e-07
1957,3.454499619692797e-07
1958,2.531306506625697e-07
1959,2.790269206798257e-07
1960,2.401529286544246e-07
1961,2.723678562688292e-07
1962,2.403601513378817e-07
1963,2.651081842941494e-07
1964,3.0480680379696423e-07
1965,2.446003293243848e-07
1966,2.714146489779523e-07
1967,2.603217126306845e-07
1968,2.4882444904505974e-07
1969,2.6160523702856153e-07
1970,2.667260616817657e-07
1971,2.2352028850036731e-07
1972,2.6009846010310866e-07
1973,2.0839910064296419e-07
1974,2.34023787015758e-07
1975,2.3359953615909035e-07
1976,2.1539996453157073e-07
1977,2.197916444401926e-07
1978,2.3584148323152476e-07
1979,2.3232334456224635e-07
1980,2.421874114588718e-07
1981,2.2265933807830152e-07
1982,2.1291732821282494e-07
1983,2.1787840864817554e-07
1984,2.1340350997434143e-07
1985,2.0513053300419415e-07
1986,2.457738901284756e-07
1987,2.328221171410405e-07
1988,2.2966801793700142e-07
1989,2.480631167145475e-07
1990,2.026898187068582e-07
1991,2.127711837829338e-07
1992,2.2590771209252125e-07
1993,2.3153887696025777e-07
1994,2.2101941965502192e-07
1995,1.952082300249458e-07
1996,2.3274081684121484e-07
1997,2.5317044105577224e-07
1998,2.159962519954206e-07
1999,2.193696531094247e-07
2000,2.2134338450996438e-07
2001,2.225655606480359e-07
2002,2.2037544056274783e-07
2003,1.912617619836965e-07
2004,1.9116794192086672e-07
2005,2.116762374271275e-07
2006,2.067180702169935e-07
2007,2.244897530090384e-07
2008,1.9711946208644804e-07
2009,2.3364142975879076e-07
2010,1.9650978799745644e-07
2011,1.8087386877141398e-07
2012,1.9506367721078277e-07
2013,1.656740238331622e-07
2014,1.905591773265769e-07
2015,1.877439359532218e-07
2016,1.9429170095008885e-07
2017,1.433898404457068e-07
2018,1.6005093073090393e-07
2019,1.737222703468433e-07
