year,criant_VERB en_ADP
1800,2.2009152278457123e-08
1801,3.809892135109294e-08
1802,4.923248297927785e-08
1803,1.950339267864365e-08
1804,3.707776485839531e-08
1805,2.55858996212055e-08
1806,8.933174200365102e-08
1807,8.540865792383556e-09
1808,4.5321479902327155e-09
1809,5.421673421324158e-08
1810,2.3401267590372754e-09
1811,1.504245972228091e-08
1812,1.0668832928217853e-08
1813,9.489947672136623e-08
1814,6.293354282149721e-09
1815,1.0788894222457657e-08
1816,2.3176038865813098e-09
1817,3.89218364205135e-08
1818,2.861082548655247e-08
1819,3.5193569503100264e-08
1820,3.678608972990105e-08
1821,2.9584464655840748e-08
1822,3.5089655625597516e-08
1823,3.261286707356703e-08
1824,5.810567671460376e-08
1825,2.113306352136135e-08
1826,7.134467039371373e-08
1827,2.8573547083965423e-08
1828,2.109629271274116e-08
1829,6.258418316917869e-08
1830,5.635891398014792e-08
1831,2.6505050376712802e-08
1832,7.576782934393123e-08
1833,3.01174338801502e-08
1834,5.133991964889617e-08
1835,5.52105419160398e-08
1836,4.502902689607069e-08
1837,5.7054706181780546e-08
1838,4.3553917805638775e-08
1839,4.963947497493848e-08
1840,1.8472096741106725e-08
1841,3.14606891649305e-08
1842,1.609983613093391e-08
1843,2.3627643841450663e-08
1844,3.512679308537159e-08
1845,1.395057031006175e-08
1846,3.0443406018321184e-08
1847,3.613459753637471e-08
1848,1.126331028444838e-08
1849,4.8600607982507427e-08
1850,2.5798184921654865e-08
1851,3.4826967976187007e-08
1852,2.3437962681782665e-08
1853,2.8068079416243563e-08
1854,2.7017454939937124e-08
1855,2.653468555990912e-08
1856,4.14175139185069e-08
1857,2.4895697114946103e-08
1858,1.6638499245047456e-08
1859,2.0877910955618972e-08
1860,2.288591893773173e-08
1861,3.3954937750380054e-08
1862,2.801151488540654e-08
1863,2.7969877081091e-08
1864,2.7329949858767577e-08
1865,2.682901328876497e-08
1866,2.043557373321292e-08
1867,4.464586567110018e-08
1868,4.3964877960434023e-08
1869,1.70923168951731e-08
1870,3.4977698959437475e-08
1871,3.823623728749226e-08
1872,4.051717183983783e-08
1873,4.489503324656141e-08
1874,3.4652732239237594e-08
1875,1.5448122780981066e-08
1876,1.632424040387548e-08
1877,3.216104393910513e-08
1878,2.0532900657510567e-08
1879,3.848874952083747e-08
1880,2.952209254836191e-08
1881,3.067903353581869e-08
1882,1.5972924094498353e-08
1883,2.717315727984726e-08
1884,3.895001299270007e-08
1885,2.4493415295978593e-08
1886,4.1947515683204983e-08
1887,2.415702127223085e-08
1888,2.0289966373709944e-08
1889,2.694008721659813e-08
1890,1.5075089287996946e-08
1891,1.211101796627645e-08
1892,4.137218212463267e-08
1893,1.847524977449666e-08
1894,2.7096618726574206e-08
1895,2.046328928528851e-08
1896,1.8870492723976895e-08
1897,1.6897469645726915e-08
1898,2.2633418694795182e-08
1899,2.2110313580014918e-08
1900,2.076421212748869e-08
1901,1.956058609531297e-08
1902,2.0623192042990013e-08
1903,1.8360749143297994e-08
1904,2.0961039126632386e-08
1905,1.2901897772366056e-08
1906,2.1605575217797934e-08
1907,4.114274698707732e-09
1908,7.367083609821634e-09
1909,1.3752458727367411e-08
1910,2.4583092783636573e-08
1911,1.4897047928563723e-08
1912,2.0316743287729366e-08
1913,2.0681660384269662e-08
1914,1.2054139020278853e-08
1915,4.947920073661294e-08
1916,8.789969641043172e-09
1917,1.2063066989753679e-08
1918,2.5270027848023346e-08
1919,5.616787668305534e-08
1920,1.590168619003407e-08
1921,2.4232792439349282e-08
1922,1.696925089333945e-08
1923,1.9108707505210987e-08
1924,1.4180787100137593e-08
1925,1.3197813286680571e-08
1926,2.0063049888108253e-08
1927,2.4528294062520217e-08
1928,2.6279895593006586e-08
1929,1.1140405931087116e-08
1930,1.785612657734248e-08
1931,1.596749932275543e-08
1932,1.4247397928102146e-08
1933,8.02946331646126e-09
1934,2.2765002327673756e-08
1935,1.9149254626427137e-08
1936,3.394919900756577e-08
1937,1.888667711114067e-08
1938,9.075650453382877e-09
1939,1.988226649984881e-08
1940,1.5214697057785997e-08
1941,1.7709016475464523e-08
1942,6.068423630267716e-08
1943,2.6129116648121453e-08
1944,1.927911696952833e-08
1945,1.5249527862692958e-08
1946,2.5057987684817817e-08
1947,1.90733930871545e-08
1948,2.5005341797168512e-08
1949,1.2762111145647737e-08
1950,1.595304155443955e-08
1951,2.771964546788297e-08
1952,1.3708244650523227e-08
1953,3.124409886368085e-08
1954,3.3226624340798594e-08
1955,2.2525458831523792e-08
1956,2.0930740252111946e-08
1957,1.8553580005686854e-08
1958,1.7371711180658167e-08
1959,2.7127617374667068e-08
1960,2.5607083176115708e-08
1961,1.80652133252579e-08
1962,3.805173920401472e-08
1963,2.0691369950753824e-08
1964,2.7377858036192748e-08
1965,1.5321720781003023e-08
1966,2.21562994617841e-08
1967,2.9582012672779712e-08
1968,2.425364636904348e-08
1969,2.497966811176866e-08
1970,2.575286084383066e-08
1971,1.5929032648465125e-08
1972,1.6416469961200164e-08
1973,2.1501494140707678e-08
1974,3.3753431605276774e-08
1975,1.8276736568623164e-08
1976,2.1140049544232653e-08
1977,3.0559267116814226e-08
1978,1.3069300641710413e-08
1979,1.9311512389208474e-08
1980,2.1035057307106086e-08
1981,1.8976648807900176e-08
1982,1.3656504593839713e-08
1983,2.3366669821278663e-08
1984,1.971662860755785e-08
1985,2.3460675624420446e-08
1986,2.3977942575914568e-08
1987,1.4665960890170027e-08
1988,1.4391729530327524e-08
1989,2.305011370662413e-08
1990,1.8525413703063265e-08
1991,2.2859714121636898e-08
1992,1.9835799780487662e-08
1993,2.8249957040316076e-08
1994,2.426466289007223e-08
1995,2.819674393972349e-08
1996,2.5089032629210806e-08
1997,2.4933452080766472e-08
1998,2.574789736975447e-08
1999,2.3308025398627308e-08
2000,2.2973763447176054e-08
2001,2.8039755933795263e-08
2002,2.541108479192644e-08
2003,2.3334768173288722e-08
2004,2.6428747912365935e-08
2005,2.3869872634030287e-08
2006,2.9648807464699445e-08
2007,2.8760252512860518e-08
2008,4.087142035924529e-08
2009,3.147007054948858e-08
2010,2.7398000146394708e-08
2011,4.0916498578180693e-08
2012,4.15318844038115e-08
2013,5.2156637564415576e-08
2014,6.084901134351117e-08
2015,4.721305749133542e-08
2016,5.4683376327080424e-08
2017,4.6035688427981114e-08
2018,5.0854895350394e-08
2019,6.198900454057465e-08
