year,sentant_VERB en_ADP,sentant_VERB sans_ADP
1800,4.087413785214267e-08,3.144164484325529e-09
1801,4.524246932646747e-08,0.0
1802,1.3427040812530322e-08,4.475680270843441e-09
1803,1.950339223455444e-09,3.900678446910888e-09
1804,4.943701981119375e-08,2.4718509461507665e-09
1805,3.695740957709859e-08,0.0
1806,1.729001475325731e-08,0.0
1807,3.131650672116848e-08,0.0
1808,2.2660739507074368e-08,2.2660739951163578e-09
1809,2.4849335034105025e-08,4.518061036407062e-09
1810,5.3822915901946544e-08,2.8081521108447305e-08
1811,2.5070768572277302e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,3.4508900625951355e-08,5.751483289628823e-09
1814,2.5173417128598885e-08,9.440030979135372e-09
1815,2.6972236000233352e-08,2.697223555614414e-09
1816,4.4034472068688046e-08,6.952811659743929e-09
1817,7.317304895337884e-08,1.0898113522728181e-08
1818,2.0266001543589596e-08,7.152706427149269e-09
1819,3.415846450138815e-08,1.6561680027393777e-08
1820,3.2039500830194356e-08,3.9159388620646496e-08
1821,6.114122896860863e-08,1.1833785507064931e-08
1822,4.110502516141423e-08,1.1028177482330648e-08
1823,7.016707570528524e-08,1.2847492847356534e-08
1824,4.463189640091514e-08,2.3579115548955087e-08
1825,5.899646993157148e-08,5.283265824829186e-09
1826,3.2589542175998076e-08,1.3211976401805714e-08
1827,2.8573547083965423e-08,6.452091305675367e-09
1828,3.668920572907908e-08,9.172301251858528e-10
1829,2.6576845446601993e-08,2.571952872898464e-09
1830,6.888311521180412e-08,6.262101504006523e-09
1831,5.1450980143030733e-08,2.182768810143898e-08
1832,3.92369123858316e-08,1.2176972319366541e-08
1833,6.60266827878786e-08,1.3900354645102198e-08
1834,4.667265462998671e-08,3.733812370398937e-09
1835,4.5378527602224494e-08,1.3613558280667348e-08
1836,8.80418258297766e-08,8.736974865808378e-09
1837,7.2362068781473e-08,1.0436836284100082e-08
1838,5.807188885320613e-08,1.325553999897977e-08
1839,6.15249815538732e-08,4.894032734625853e-09
1840,5.8601136720959346e-08,1.2739377330817092e-09
1841,4.6227948580224165e-08,7.0626033910059505e-09
