year,suivant_VERB en_ADP
1800,1.7921737693882278e-07
1801,1.3572740620304558e-07
1802,1.6336232988578558e-07
1803,1.579774737692219e-07
1804,1.1370514263475684e-07
1805,2.842877715458769e-07
1806,7.780506905419315e-08
1807,1.195721210933698e-07
1808,2.334056148356467e-07
1809,1.287647413139581e-07
1810,1.6380887757350138e-07
1811,2.4820059252306237e-07
1812,3.173977916048898e-07
1813,2.8757416181690587e-07
1814,2.3914746005715415e-07
1815,2.211723373335417e-07
1816,1.7382029682266875e-07
1817,1.6814232139950036e-07
1818,2.6226590854605547e-07
1819,2.1944225903069992e-07
1820,2.800489582455157e-07
1821,1.9821592012192468e-07
1822,2.747018612581087e-07
1823,2.589263836672018e-07
1824,2.5852815266347307e-07
1825,2.597605766041511e-07
1826,3.1092186070225125e-07
1827,2.3964910828011554e-07
1828,2.559071958785353e-07
1829,2.6491115168170154e-07
1830,2.2752301731543412e-07
1831,1.7462150481151184e-07
1832,1.921255625703111e-07
1833,2.1198039945602432e-07
1834,3.285754903714633e-07
1835,2.3143049077134492e-07
1836,2.93024708497569e-07
1837,2.9362298725743585e-07
1838,2.7773513711082387e-07
1839,2.852521920893025e-07
1840,3.407783530917641e-07
1841,3.3194235316003073e-07
1842,2.770513543026709e-07
1843,3.431915187590562e-07
1844,4.1383751536727686e-07
1845,3.392778555877385e-07
1846,4.045460393342637e-07
1847,3.726717547891667e-07
1848,3.5318523039507e-07
1849,3.6534248337716235e-07
1850,3.340186154332514e-07
1851,3.321460901872797e-07
1852,3.2162095564558513e-07
1853,2.9561061509753017e-07
1854,3.6057912211617804e-07
1855,3.86875715463475e-07
1856,3.9191323608633866e-07
1857,4.2713204528865845e-07
1858,3.6311075390926817e-07
1859,3.839498639024441e-07
1860,4.316284556438177e-07
1861,4.810282980827196e-07
1862,3.9216122083018945e-07
1863,3.87083115782616e-07
1864,3.7878349523623456e-07
1865,5.012789188185707e-07
1866,3.98493693154478e-07
1867,4.838253122585456e-07
1868,3.8926206613609793e-07
1869,5.235132363168304e-07
1870,4.696185911257089e-07
1871,4.3121978521298843e-07
1872,4.7108773770787593e-07
1873,4.782817626391989e-07
1874,4.5944744186954267e-07
1875,4.7660321911280334e-07
1876,4.873087995349579e-07
1877,4.787047647170084e-07
1878,5.507648772606899e-07
1879,4.948553495864871e-07
1880,5.038009263103049e-07
1881,4.4554323963552633e-07
1882,4.84512026943662e-07
1883,5.542060392826897e-07
1884,4.918264302489206e-07
1885,5.220964816032847e-07
1886,5.311200688140616e-07
1887,5.523469965851291e-07
1888,5.167600782840509e-07
1889,5.795251460938289e-07
1890,5.164856684558572e-07
1891,4.697800086717052e-07
1892,4.883171271785613e-07
1893,5.868971051370409e-07
1894,5.028628518033429e-07
1895,4.6644263562711785e-07
1896,5.649353713721439e-07
1897,4.830345616824161e-07
1898,5.618746179436584e-07
1899,5.284364963387134e-07
1900,5.49213403644444e-07
1901,5.963184506185826e-07
1902,5.607543975827411e-07
1903,5.416420805204325e-07
1904,5.648731260521345e-07
1905,4.938846380753148e-07
1906,5.34995216128209e-07
1907,5.415413966147753e-07
1908,5.348502938318234e-07
1909,5.555993638495238e-07
1910,5.28002111366277e-07
1911,5.213966396411251e-07
1912,5.521986530254708e-07
1913,5.23405077501593e-07
1914,5.26364033248683e-07
1915,4.3824435458361677e-07
1916,4.4828844281141755e-07
1917,4.814260208263477e-07
1918,4.927655368192063e-07
1919,4.6039240686468474e-07
1920,4.60391696321949e-07
1921,4.748112552022121e-07
1922,5.009618213591693e-07
1923,5.074423370388104e-07
1924,5.208216506957797e-07
1925,5.411103636276948e-07
1926,5.5953613298243e-07
1927,5.373926192930867e-07
1928,5.610186377680293e-07
1929,5.614765079542394e-07
1930,5.188780320963815e-07
1931,5.622840753005676e-07
1932,5.918149952321983e-07
1933,5.91886173850753e-07
1934,5.631342432366182e-07
1935,5.289981501732655e-07
1936,4.983257611002045e-07
1937,5.212722946623671e-07
1938,5.769520399212524e-07
1939,5.199977266556743e-07
1940,5.654796098042425e-07
1941,4.427253941230447e-07
1942,6.280818141135569e-07
1943,6.38711743050635e-07
1944,6.715558953374057e-07
1945,5.533400440072e-07
1946,5.777258209604952e-07
1947,5.876989401798483e-07
1948,5.827331683860848e-07
1949,5.850937121465449e-07
1950,5.317680589200791e-07
1951,5.607897364257042e-07
1952,5.472753485946669e-07
1953,6.216498675826188e-07
1954,5.843976609298807e-07
1955,6.250814870156773e-07
1956,6.479808334347581e-07
1957,6.255206876915054e-07
1958,6.088371335977172e-07
1959,6.022330971688916e-07
1960,6.823941589573224e-07
1961,5.614112517093872e-07
1962,6.272194639223017e-07
1963,6.265605456690082e-07
1964,6.175228079996486e-07
1965,6.878358718154232e-07
1966,6.58042075940557e-07
1967,6.281247664219336e-07
1968,6.615855383529379e-07
1969,6.526505664794513e-07
1970,6.677348594053001e-07
1971,6.952251681013877e-07
1972,7.223246640819525e-07
1973,7.255376317516493e-07
1974,7.048841084156265e-07
1975,7.60769140129014e-07
1976,7.604704066466184e-07
1977,7.751475479267356e-07
1978,7.70494686719303e-07
1979,7.788976361666755e-07
1980,7.942155235696191e-07
1981,8.337074532960287e-07
1982,8.262185318130832e-07
1983,8.993009927849016e-07
1984,8.147607104547205e-07
1985,8.915057136960058e-07
1986,8.949766581167751e-07
1987,9.288441376043011e-07
1988,9.642458635994444e-07
1989,9.082842069574326e-07
1990,8.48899837535555e-07
1991,1.0310317151152049e-06
1992,1.0099727631995847e-06
1993,1.0352778687661157e-06
1994,9.589816301058818e-07
1995,8.930776544957553e-07
1996,9.667284999181902e-07
1997,8.884939433073669e-07
1998,8.797198489673974e-07
1999,9.167823478151149e-07
2000,9.794776048011045e-07
2001,9.388936561549599e-07
2002,9.594875223228883e-07
2003,9.517252195223591e-07
2004,9.166370702473614e-07
2005,8.858875233386243e-07
2006,8.824638300097831e-07
2007,8.34047291675688e-07
2008,8.395671144967309e-07
2009,8.010563377069957e-07
2010,6.745576399680431e-07
2011,5.560055100772843e-07
2012,5.048506821481169e-07
2013,5.109677196912799e-07
2014,4.6427144440031043e-07
2015,4.71243915001196e-07
2016,4.509307238720339e-07
2017,4.369616846133795e-07
2018,4.218116593790455e-07
2019,4.025458792966674e-07
