year,devaient_VERB avoir_VERB,devaient_VERB savoir_VERB
1800,6.759953521395801e-07,9.432493897065797e-09
1801,8.453197892777098e-07,3.333655484993869e-08
1802,5.28130271959526e-07,2.0140561218795483e-08
1803,6.065554885026359e-07,3.705644502360883e-08
1804,9.096411304199137e-07,3.460591457837836e-08
1805,8.471775458929187e-07,5.685755422035754e-09
1806,7.06008961515181e-07,2.881669125542885e-09
1807,1.432018393643375e-06,6.547996633798903e-08
1808,8.565759799239459e-07,8.837688625362716e-08
1809,1.0301179145244532e-06,8.810219043198231e-08
1810,8.775475066613581e-07,2.8081521108447305e-08
1811,1.2460171774364426e-06,4.011322829455821e-08
1812,1.3095992699163617e-06,6.668020802180763e-08
1813,1.2193144129923894e-06,5.176335093892703e-08
1814,1.0793102092065965e-06,8.181360300341112e-08
1815,1.038431037159171e-06,5.933891955578474e-08
1816,9.84981625151704e-07,5.3304887615013286e-08
1817,1.1053800790250534e-06,7.472992535895173e-08
1818,1.2493393342083436e-06,5.841376804482934e-08
1819,1.2524770909294602e-06,1.0040518816367694e-07
1820,1.2685268302448094e-06,6.882559233645225e-08
1821,1.3056610441708472e-06,9.171183990019927e-08
1822,1.4647424677605159e-06,8.120748873352568e-08
1823,1.1118022484879475e-06,5.138997138942614e-08
1824,1.2109560429962585e-06,6.82110155025839e-08
1825,1.4863587693980662e-06,9.774041842547376e-08
1826,1.5035229807836004e-06,1.0657660709512129e-07
1827,1.6766219914643443e-06,6.636436467033491e-08
1828,1.445554630663537e-06,5.77854990524429e-08
1829,1.8638085066413623e-06,8.230249193275085e-08
1830,2.052925538009731e-06,1.054120417620652e-07
1831,1.4936375691831927e-06,9.510635834431014e-08
1832,1.9239616904087598e-06,1.0147476814381662e-07
1833,1.6286581967506208e-06,5.6759780875381693e-08
1834,1.6708810335330782e-06,6.347480763224667e-08
1835,1.7440480633013067e-06,6.958040899007756e-08
1836,1.442945062990475e-06,1.0820407680967037e-07
1837,1.683809614405618e-06,9.114837240531415e-08
1838,2.1347732399590313e-06,6.185918977053007e-08
1839,1.8520418052503373e-06,6.991475487438947e-08
1840,1.9172762222297024e-06,6.051204337609306e-08
1841,1.984591563086724e-06,6.741576186186649e-08
1842,1.8991098613696522e-06,1.0599058697380315e-07
1843,1.875444240795332e-06,1.0159887153804448e-07
1844,2.1591999939118978e-06,1.3721403036015545e-07
1845,2.1422495137812803e-06,8.426144404438674e-08
1846,2.0180466435704147e-06,1.1182097381379208e-07
1847,1.956661435542628e-06,8.898818748548365e-08
1848,1.8930406895378837e-06,1.1102405750307298e-07
1849,2.3177460661827354e-06,9.21735647807509e-08
1850,1.9497997527651023e-06,7.807345525634446e-08
1851,2.008355295401998e-06,7.029888138276874e-08
1852,1.8242548094349331e-06,1.0416872697760482e-07
1853,1.7515676518087275e-06,8.241266158393046e-08
1854,1.813806420614128e-06,6.858277146193359e-08
1855,1.8245249293613597e-06,6.792879503336735e-08
1856,1.6768915429565823e-06,7.610468344410037e-08
1857,1.9506510398059618e-06,6.541222319356166e-08
1858,1.7847236222223728e-06,6.019221387987272e-08
1859,1.8779935544444015e-06,9.165911762920587e-08
1860,1.7869325574793038e-06,7.643897248499343e-08
1861,1.7637704559092526e-06,6.366551019709732e-08
1862,1.7597556052351138e-06,7.770936605311363e-08
1863,1.827531718845421e-06,6.642845562510047e-08
1864,1.9183705717296107e-06,9.253825083987977e-08
1865,1.935925183715881e-06,8.754730629334517e-08
1866,1.6810693068691762e-06,6.957826315101556e-08
1867,1.8586267742648488e-06,6.648351558169452e-08
1868,1.742293534334749e-06,8.496583348005515e-08
1869,1.7268123428948456e-06,5.616047005219116e-08
1870,1.879621208900062e-06,6.135432073506308e-08
1871,2.0690054043370765e-06,9.240424247991541e-08
1872,1.9756657820835244e-06,8.163907949665372e-08
1873,1.7778432948034606e-06,7.602225338132484e-08
1874,1.8778196135826875e-06,6.273339892004515e-08
1875,1.7971316310649854e-06,5.435450844970546e-08
1876,1.6402838127760333e-06,4.6554312405078235e-08
1877,1.8739992810878903e-06,5.1952454782622226e-08
1878,1.7585825844435021e-06,8.756678226973236e-08
1879,1.6330226344507537e-06,7.575563643058558e-08
1880,1.5819990721865906e-06,6.482024872411785e-08
1881,1.6957138768702862e-06,6.48443219120054e-08
1882,1.7244102537006256e-06,9.650308641084848e-08
1883,1.7314988554062438e-06,6.698499532831192e-08
1884,1.8029234070127131e-06,5.6114423330200225e-08
1885,1.680377181401127e-06,5.0920522909336796e-08
1886,1.6811272871564142e-06,6.195325141788999e-08
1887,1.4964294905439601e-06,4.374379614091595e-08
