year,restant_VERB en_ADP,restant_VERB sans_ADP
1800,2.2637983665418915e-07,1.1004575384276905e-07
1801,2.2383116271562642e-07,4.5242470436690496e-08
1802,4.856113093865133e-07,4.0281122437590966e-08
1803,2.632958018278231e-07,4.095712458074274e-08
1804,2.916784183071286e-07,5.6852570651244605e-08
1805,4.861320803684066e-07,5.685755510853596e-08
1806,4.812387714991928e-07,6.339671898558663e-08
1807,5.124519475430134e-07,2.8469550272802735e-08
1808,2.787271049520257e-07,4.305540457494317e-08
1809,4.4051094905128707e-07,4.969867006821005e-08
1810,3.416585028226393e-07,2.3401266702194334e-08
1811,4.613021289401331e-07,7.771937760026049e-08
1812,3.7874358138623165e-07,4.000812481308458e-08
1813,4.1410679330056155e-07,4.3136125782439194e-08
1814,6.513621428894112e-07,6.293354459785405e-08
1815,8.010753798082249e-07,2.4275012222574333e-08
1816,4.890144076341585e-07,2.0858434979231788e-08
1817,3.8299086857485065e-07,2.9580593974287694e-08
1818,3.4690626193878416e-07,5.722165252741718e-08
1819,3.5193568681535226e-07,5.2790355198339967e-08
1820,3.15648406967739e-07,3.797273961936298e-08
1821,2.2089733420216362e-07,6.114122630407337e-08
1822,2.967582304336247e-07,2.90742860897808e-08
1823,2.391610238738906e-07,2.569498569471307e-08
1824,5.608460895700773e-07,4.294767297352564e-08
1825,3.9008113361660435e-07,2.8177417732422327e-08
1826,4.500880010915864e-07,6.253668771716292e-08
1827,4.313683792389611e-07,7.465991092026059e-08
1828,4.191741660997117e-07,3.5771975603893225e-08
1829,3.8493560206021016e-07,3.600733933240008e-08
1830,4.164297466857647e-07,2.922313990794123e-08
1831,3.1338323891461073e-07,8.263339168479433e-08
1832,5.506697503543379e-07,6.22378593106987e-08
1833,4.668202340241123e-07,1.1120283116561325e-07
1834,4.433902258682565e-07,7.187588835222414e-08
1835,4.40928026534948e-07,4.159698363537245e-08
1836,4.570109932156008e-07,4.435695188931277e-08
1837,3.200629866695337e-07,4.383471363667013e-08
1838,3.5789956776000054e-07,8.268931850352601e-08
1839,5.362461625857406e-07,8.110111338055503e-08
1840,3.9428374121186494e-07,6.497082266632148e-08
1841,4.327449576457809e-07,6.613164771351876e-08
1842,3.6425878580104154e-07,6.372852112690452e-08
1843,4.908643119749811e-07,5.0208743829216473e-08
1844,4.1932608496608736e-07,5.872760411307354e-08
1845,5.708572997642491e-07,8.816760299623638e-08
1846,3.8873889707247145e-07,8.02066679739255e-08
1847,4.562667115237673e-07,5.9325460988191026e-08
1848,4.843223582184919e-07,1.536637412868913e-07
1849,5.446619937288233e-07,9.552532986845108e-08
1850,4.3110123471024053e-07,1.8669738643950495e-07
1851,4.32112410742036e-07,1.296337173162243e-07
1852,5.423284239469695e-07,6.510545347282459e-08
