year,attendant_VERB en_ADP
1800,2.2009151834367913e-08
1801,1.1905912700171939e-08
1802,4.0281122437590966e-08
1803,1.950339267864365e-08
1804,3.9549615138412264e-08
1805,3.980028751016107e-08
1806,2.0171683878800195e-08
1807,2.562259560079383e-08
1808,1.8128591960930862e-08
1809,7.454800510231507e-08
1810,3.2761775514700275e-08
1811,1.504245972228091e-08
1812,2.6672082320544632e-09
1813,1.1502966579257645e-08
1814,3.1466771410748606e-09
1815,1.3486118000116676e-08
1816,7.184571870766376e-08
1817,1.71256075987003e-08
1818,3.337929754820834e-08
1819,1.8631889475706487e-08
1820,4.390598107306687e-08
1821,3.155676253641104e-08
1822,5.213320264374488e-08
1823,5.929612001409623e-08
1824,2.5263338088166165e-08
1825,7.396572243578703e-08
1826,4.4039921931471326e-08
1827,6.359918103271411e-08
1828,4.677873732816806e-08
1829,3.6864655328372464e-08
1830,2.817945699007396e-08
1831,4.989185953263586e-08
1832,3.6530916958099624e-08
1833,1.9692167896323554e-08
1834,6.814207864636046e-08
1835,3.7059130875150004e-08
1836,5.7126375796467954e-08
1837,7.166627824517491e-08
1838,5.680945847075236e-08
1839,3.5656523067473245e-08
1840,7.388838979549561e-08
1841,3.531301828729738e-08
1842,4.628702754416736e-08
1843,5.316219997553162e-08
1844,4.720162771754133e-08
1845,3.906159662392383e-08
1846,2.4588905578326603e-08
1847,6.849393852093044e-08
1848,5.309846429213394e-08
1849,5.446619866233959e-08
1850,4.073397619208663e-08
1851,3.611685883697646e-08
1852,4.8829090104618444e-08
1853,7.703791737867505e-08
1854,6.026970833516998e-08
1855,5.996838581268094e-08
1856,5.3842768188427925e-08
1857,8.249750133026978e-08
1858,4.7468655617333155e-08
1859,7.689181535930345e-08
1860,4.714499435287678e-08
1861,4.7159639082750004e-08
1862,5.2860439581081664e-08
1863,4.04564275413577e-08
1864,5.3221480555976086e-08
1865,2.6829012567120003e-08
1866,4.379051787850585e-08
1867,3.4454963326879806e-08
1868,5.680855252876427e-08
1869,4.4928376907726886e-08
1870,3.7271316699616364e-08
1871,3.292565042833928e-08
1872,5.744972497723211e-08
1873,3.71132280463371e-08
1874,3.584765551067903e-08
1875,2.803548326824057e-08
1876,4.050830049173726e-08
1877,4.2675228684174726e-08
1878,3.6838439854136595e-08
1879,5.498392852132383e-08
1880,5.583526174746112e-08
1881,2.998178416646624e-08
1882,3.0614771162618126e-08
1883,5.624211762977893e-08
1884,5.413391335196138e-08
1885,3.674012427623552e-08
1886,2.6459201052375647e-08
1887,4.8314041434238675e-08
1888,4.248211893376208e-08
1889,4.573549983177827e-08
1890,2.6217545745499393e-08
1891,3.82453193559229e-08
1892,4.2625884155711447e-08
1893,2.9560398628891704e-08
1894,4.726154334555588e-08
1895,3.97228554493978e-08
1896,3.8920392630981127e-08
1897,3.6708296846654775e-08
1898,3.281845928349014e-08
1899,3.924580660452648e-08
1900,4.152842336679896e-08
1901,2.570819834790683e-08
1902,2.0623192042990013e-08
1903,3.024123418349234e-08
1904,1.666133719879781e-08
1905,4.076999682300908e-08
1906,9.773950537805831e-09
1907,3.908560830545582e-08
1908,3.683541760501896e-08
1909,3.025541062129378e-08
1910,2.1911017000775246e-08
1911,4.149891807969652e-08
1912,3.2819352013824243e-08
1913,1.6439267724877027e-08
1914,3.4153391226254826e-08
1915,4.5944972271172446e-08
1916,1.538244731591476e-08
1917,3.180263163926611e-08
1918,1.6080926812378493e-08
1919,2.394040587994084e-08
1920,2.1202248401408497e-08
1921,3.4077363153528495e-08
1922,3.9103056792555435e-08
1923,1.1677542488541803e-08
1924,3.0939897754933554e-08
1925,4.179307566687385e-08
1926,2.0063049221974438e-08
1927,1.56089151603922e-08
1928,1.3711249025050165e-08
1929,3.34212200137074e-08
1930,2.9410089141812534e-08
1931,3.079446386777818e-08
1932,2.3015026440198483e-08
1933,2.867665571670841e-08
1934,2.6359476379411717e-08
1935,1.4361940969820353e-08
1936,2.5461900587941955e-08
1937,3.651424407280501e-08
1938,1.5558256905023882e-08
1939,2.2941076593951948e-08
1940,1.2678914584896006e-08
1941,2.9515025090631752e-08
1942,2.4273694165799498e-08
1943,4.0645293575281016e-08
1944,1.927911696952833e-08
1945,2.178504132643866e-08
1946,2.645009811175214e-08
1947,2.7418003867296648e-08
1948,2.9354097819123126e-08
1949,1.8652315247891238e-08
1950,1.595304155443955e-08
1951,1.3859822622919182e-08
1952,3.7961295773492054e-08
1953,3.5553630262086244e-08
1954,2.6385847951004848e-08
1955,2.4402580844906652e-08
1956,1.8314396443841474e-08
1957,1.6786571077620493e-08
1958,1.9026160202884057e-08
1959,1.7826720211111535e-08
1960,2.6991250123842292e-08
1961,2.36237411854745e-08
1962,3.614915167204913e-08
1963,1.9398160300276857e-08
1964,2.5552667537454e-08
1965,1.91521518644322e-08
1966,3.046491092728587e-08
1967,3.352628197283991e-08
1968,3.413476057367859e-08
1969,3.088395261752197e-08
1970,2.4833115480626944e-08
1971,3.905181988894668e-08
1972,4.463227654127877e-08
1973,2.8117340233890786e-08
1974,2.700274492895005e-08
1975,2.5701661243715535e-08
1976,2.456816594609279e-08
1977,2.52701610747863e-08
1978,3.0297016007097e-08
1979,2.8674669083628146e-08
1980,2.78572392375942e-08
1981,2.6567307243041682e-08
1982,2.60715092847974e-08
1983,2.526126396951156e-08
1984,3.131464598737921e-08
1985,3.609334697785016e-08
1986,4.136195053128233e-08
1987,3.605381881932601e-08
1988,3.2981045006152954e-08
