year,voudrait_VERB avoir_VERB,voudrait_VERB savoir_VERB
1800,1.1004575384276905e-07,7.860410988769218e-08
1801,8.334139067756041e-08,9.048493865293494e-08
1802,1.1189200677108602e-07,6.489736392722989e-08
1803,1.2287136996746995e-07,2.145373123596528e-08
1804,1.2359254242255702e-07,4.2021465418429216e-08
1805,9.665784261869703e-08,6.822906328807221e-08
1806,2.1036184705280903e-07,2.5935023018064385e-08
1807,1.0818429529990681e-07,2.2775640928784924e-08
1808,2.5380029455845943e-07,1.5862518409903714e-08
1809,1.4457795316502597e-07,5.421673421324158e-08
1810,9.126494404654295e-08,6.786367379163494e-08
1811,1.278609147448151e-07,5.766276700569506e-08
1812,2.0804223765935603e-07,9.868670503010435e-08
1813,1.5241430162404868e-07,1.322841143291953e-07
1814,1.321604372606089e-07,4.72001566720337e-08
1815,9.440282155992463e-08,8.091670622434322e-08
1816,1.5064425440414198e-07,2.5493642752394408e-08
1817,9.49692804397273e-08,4.981994905506326e-08
1818,1.5020683008515334e-07,7.391130196765516e-08
1819,1.35598753558952e-07,4.7614829412623294e-08
1820,2.1596996191419748e-07,5.102586797534059e-08
1821,2.7217708975513233e-07,7.889190811738445e-08
1822,2.2858404236103524e-07,5.81485721795616e-08
1823,1.4527549296872166e-07,9.092072161820397e-08
1824,1.4905369027928828e-07,5.810567671460376e-08
1825,1.893170207267758e-07,7.748789698780456e-08
1826,1.928948591967128e-07,9.248383747717526e-08
1827,2.046234612862463e-07,3.502563927781921e-08
1828,1.458395928466416e-07,7.429564163885516e-08
1829,2.297611132462407e-07,6.601345603485242e-08
1830,2.0143093593105732e-07,7.827626546941246e-08
1831,1.8241711075006606e-07,7.483778574624012e-08
1832,2.3271547888725763e-07,9.200379480489573e-08
1833,2.03871863391214e-07,9.730248251571538e-08
1834,2.3242982649662736e-07,8.68111342811062e-08
1835,1.9512766868956533e-07,5.974839467626225e-08
1836,2.50011908065062e-07,9.745087936607888e-08
1837,1.8299253667919402e-07,1.0228099966980153e-07
1838,2.2597539839352976e-07,7.32210807541378e-08
1839,1.9296471975849272e-07,7.550793412747225e-08
1840,2.923686963640648e-07,5.414235459966221e-08
1841,2.1958275908673386e-07,1.0144466955352982e-07
1842,2.6765977167997335e-07,1.0062397848287219e-07
1843,2.285974574078864e-07,1.0986854448447048e-07
1844,2.4094782702377415e-07,1.0263609340199764e-07
1845,2.237671452576251e-07,1.0658235538585359e-07
1846,1.9963849240411946e-07,9.777016884982004e-08
1847,2.0170656966911338e-07,7.820174374728595e-08
1848,1.6331800622992887e-07,1.1504666730388635e-07
1849,1.667503539692916e-07,9.636327291673297e-08
1850,1.8398179690848337e-07,1.6089920507056377e-07
1851,1.8122922540442232e-07,1.0706068565013993e-07
1852,2.2396275767277984e-07,8.528814277042329e-08
1853,2.257390292470518e-07,1.1466109128832613e-07
1854,2.2497226837003836e-07,6.858277146193359e-08
1855,1.714140722697266e-07,1.0613874223963649e-07
1856,1.982863437888227e-07,9.111852961041222e-08
1857,1.9477221258057398e-07,1.0592874843950995e-07
1858,1.952576695885e-07,7.927754808179088e-08
1859,2.7752344067266677e-07,1.1050016013314234e-07
1860,2.485410846020386e-07,1.3456920555654506e-07
1861,2.4287211886075966e-07,1.527972273152045e-07
1862,2.1144175832432666e-07,1.5225613481106848e-07
1863,2.1776547498575383e-07,1.398493765236708e-07
1864,2.1863959887014062e-07,1.6302074357099627e-07
1865,1.9815814766843687e-07,1.252020638276008e-07
1866,1.8343361318784446e-07,1.6737708108394145e-07
1867,2.465228305936762e-07,1.3976097079648753e-07
1868,1.975949572852187e-07,1.2201489596463944e-07
1869,1.7092317250444466e-07,1.6555129889184172e-07
1870,1.9839808373944834e-07,1.358969541342958e-07
1871,1.5082071058714064e-07,1.7206306779371516e-07
1872,2.5096457534345973e-07,1.7779177596821683e-07
1873,2.0232694453170552e-07,2.1070735556349973e-07
1874,1.577296870891587e-07,2.150859330640742e-07
1875,2.111243446734079e-07,1.5963060207013768e-07
1876,2.920225199432025e-07,2.4909581952670123e-07
1877,2.2574577940304152e-07,1.8925537403902126e-07
1878,1.829843938594422e-07,1.7392575557551027e-07
1879,2.3643089264169248e-07,2.3459809028736345e-07
1880,1.9638609671801532e-07,2.817434392454743e-07
1881,2.0429446578873467e-07,3.116711013717577e-07
1882,1.9433724673945107e-07,1.504117079775824e-07
1883,1.9273983298262465e-07,2.3507941193656734e-07
1884,2.2049667336432321e-07,1.9210938262403943e-07
1885,1.7467672819293512e-07,1.637191502368296e-07
1886,1.652086751846582e-07,1.1551700396239539e-07
1887,1.9456194877420785e-07,1.573470882476613e-07
1888,1.7119660356001987e-07,1.5407694320401788e-07
1889,1.8920712818726315e-07,1.434716381254475e-07
1890,1.9794246952642425e-07,1.8811088864367775e-07
1891,1.963259705917153e-07,2.090744146698853e-07
1892,2.225321935611646e-07,1.5608596015681542e-07
1893,1.8413665259231493e-07,1.675089293939891e-07
1894,1.7518279094019817e-07,1.7077171321489004e-07
1895,1.7935471419150417e-07,1.5889142446212645e-07
1896,1.993195724026009e-07,1.716035455956444e-07
1897,2.0976169423647661e-07,1.6780934686266846e-07
1898,1.4711723395066656e-07,2.1784666159874178e-07
1899,1.6638010436054174e-07,1.525611708075303e-07
1900,1.9570269671476126e-07,1.967409133385445e-07
1901,1.4307171625205228e-07,2.3975690055522136e-07
1902,1.7087788251046732e-07,1.851176989475789e-07
