year,fut_VERB avant_ADV,fut_VERB savant_ADJ
1800,2.2009151834367913e-08,2.5153315874604232e-08
1801,9.524730337773235e-09,0.0
1802,1.3427040812530322e-08,4.699464284385613e-08
1803,1.1702035340732664e-08,9.751696339321825e-09
1804,2.4718509461507665e-09,1.730295728918918e-08
1805,8.528632911009026e-09,4.8328921309348516e-08
1806,0.0,5.76333825108577e-09
1807,2.8469551160981155e-09,5.124519120158766e-08
1808,0.0,4.305540457494317e-08
1809,2.4849335034105025e-08,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,2.5070768572277302e-08
1812,4.000812481308458e-08,3.200649700829672e-08
1813,0.0,1.1502966579257645e-08
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,1.3905623319487859e-08,1.3905623319487859e-08
1817,3.113746815941454e-09,2.3353100786493997e-08
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,2.070209959015301e-08,3.519356894798875e-08
1820,1.0679833017945839e-08,1.0679833017945839e-08
1821,0.0,3.155676253641104e-08
1822,2.3058916553964082e-08,1.303330066093622e-08
1823,1.2847493069401139e-08,2.7671523739059012e-08
1824,3.03160057057994e-08,1.0947446504872005e-08
1825,3.522177216552791e-09,4.226612659863349e-08
1826,1.6735169472426037e-08,2.8185549894033102e-08
1827,9.217272889383565e-09,1.3825909306319772e-08
1828,1.8344602503717056e-09,2.384798314380987e-08
1829,5.143905745796928e-09,8.573175946935407e-09
1830,5.218417697960831e-09,1.1480519646056564e-08
1831,0.0,6.236482441579483e-09
1832,1.352996914505411e-08,4.058990921151917e-09
1833,0.0,1.6217079235048004e-08
1834,2.240287422239362e-08,1.4001796166951408e-08
1835,2.2689263801112247e-09,7.563087933704082e-09
1836,1.344150035720304e-08,1.68018754465038e-08
1837,1.043683617307778e-08,1.530736071231331e-08
1838,2.5879863585487328e-08,5.049729523420865e-09
1839,1.1885507689157748e-08,1.3982949909063791e-08
1840,1.2739377330817092e-09,2.8026629905752998e-08
1841,3.2102742686390684e-09,1.2841097074556274e-09
1842,0.0,1.341653010911159e-09
1843,1.8311423488626133e-08,5.31621990873532e-09
1844,5.488561161115513e-09,1.975882035765153e-08
1845,1.8414752389617206e-08,5.022205318283568e-09
1846,1.1123552745573306e-08,6.439951683034906e-09
1847,7.550513103637968e-09,6.47186837454683e-09
1848,1.6090443422100975e-09,3.539897619475596e-08
1849,6.703531951757213e-09,1.0893239199560867e-08
1850,4.752297222410107e-09,3.394498016007219e-09
1851,5.159551008659946e-09,1.4188765717904062e-08
1852,3.906327261660181e-09,1.3672145193766028e-08
1853,3.5831591027601917e-09,4.180352064508952e-09
1854,1.0391328686409906e-08,7.79349651480743e-09
1855,2.653468555990912e-09,5.837630823180007e-09
1856,1.5013848553291353e-08,7.248064815001953e-09
1857,1.122747050885664e-08,4.881508974818871e-09
1858,5.3830437884982985e-09,4.893676130990343e-09
1859,6.619825576592575e-09,1.0693564256314403e-08
1860,7.506581409244539e-08,2.746310290291376e-09
1861,2.8295781717702084e-08,1.4619487842537637e-08
1862,4.021007882215599e-08,4.066187830886747e-09
1863,2.8469338886338846e-08,1.6981710260211003e-08
1864,4.315255264231155e-09,5.274200631788517e-09
1865,4.706844514146269e-08,1.2237795665726026e-08
1866,2.7733994045764376e-08,7.298419202328432e-09
1867,1.067618526917613e-08,8.73506067478047e-09
1868,4.939874287401835e-09,1.5807597009143137e-08
1869,7.325278605918584e-09,1.904572499711321e-08
1870,2.2936195165357276e-08,4.587239033071455e-09
1871,6.37270636261178e-09,0.0
1872,1.1489944995446422e-08,3.628403577593531e-09
1873,7.781805422268917e-09,4.190203295451056e-09
