year,eut_VERB eu_VERB,eut_VERB su_VERB
1800,3.961647223604814e-07,5.0306631749208464e-08
1801,2.7383600809116615e-07,8.096020565062645e-08
1802,3.110597788236191e-07,4.2518962573012686e-08
1803,2.6134546260436764e-07,1.0726865440346955e-07
1804,3.0898135605639254e-07,1.2359254242255702e-07
1805,1.648869130121966e-07,3.4114531644036106e-08
1806,2.795219131712656e-07,4.8988376022407465e-08
1807,2.5053205376934784e-07,5.97860605466849e-08
1808,2.923235342677799e-07,5.891792298484688e-08
1809,3.2530039106859476e-07,7.00299480627109e-08
1810,2.2933242860290193e-07,2.8081521108447305e-08
1811,2.7577843297876825e-07,6.769107585569145e-08
1812,2.2937990706850542e-07,3.467370746079723e-08
1813,2.933256553205865e-07,4.888760685162197e-08
1814,2.73760917934851e-07,9.125363931161701e-08
1815,2.400528842372296e-07,3.236668177919455e-08
1816,3.314173682156252e-07,3.0128852301913867e-08
1817,1.6814232139950036e-07,7.628679554727569e-08
1818,2.193496584368404e-07,2.8610825708597076e-08
1819,2.794783426907088e-07,7.349245834120666e-08
1820,7.618280619681173e-07,2.088500679064964e-07
1821,2.376618652988327e-07,7.396116075142345e-08
1822,2.526455205043021e-07,6.717162648328667e-08
1823,3.053750390336063e-07,8.30145694408202e-08
1824,7.309525926757487e-07,1.473694766218614e-07
1825,4.2706398062364315e-07,6.516027895031584e-08
1826,5.434526428871322e-07,4.932471142637951e-08
1827,1.9540618723112857e-07,3.594736597278825e-08
1828,2.302247565921789e-07,2.5682442839070063e-08
1829,2.1175745246182487e-07,5.744027831156018e-08
1830,1.8995041273228708e-07,3.026682549034376e-08
1831,2.2919073217053665e-07,1.7150327380477393e-08
1832,1.6371262745451531e-07,1.8941957335982806e-08
1833,1.8649642186119308e-07,2.4325620628928846e-08
1834,1.698884659617761e-07,2.9870498963191494e-08
1835,1.973965879642492e-07,3.403389570166837e-08
1836,4.1198197209268983e-07,4.099657502365517e-08
1837,3.9938294094099547e-07,6.122944284925325e-08
1838,3.023525607659394e-07,6.817134590164642e-08
1839,3.083240471823956e-07,1.8177836125232716e-08
1840,1.9172762222297024e-07,3.567025785855549e-08
1841,2.0995193494854902e-07,2.1829865914924085e-08
1842,2.0661455835124798e-07,2.6162233268678392e-08
1843,2.2150916834107193e-07,3.2488010504039266e-08
1844,1.8496452014460374e-07,3.567564732520623e-08
1845,1.7856729073173483e-07,2.9575208060350633e-08
1846,1.7329324464299134e-07,2.8101606375230404e-08
1847,1.65032645327301e-07,1.240441438454809e-08
1848,1.97107937083274e-07,2.172209789819135e-08
1849,1.7177801225898293e-07,3.854530916669319e-08
1850,2.0638547937323892e-07,4.955967014552698e-08
1851,1.9090339264948852e-07,3.1602251482354404e-08
1852,1.490914911528307e-07,1.3672145193766028e-08
1853,1.8632427156717313e-07,3.1651239851271384e-08
1854,2.909572174303321e-07,3.533051895487915e-08
1855,2.0272500478313304e-07,2.0166361025530932e-08
1856,1.9310915888581803e-07,2.847454005916461e-08
1857,2.499332651950681e-07,4.149282872845106e-08
1858,1.903639912370636e-07,2.5936483183386372e-08
1859,1.9604867418365757e-07,2.8516170758052795e-08
1860,1.835450689213758e-07,1.6935580049448618e-08
1861,1.650587364565581e-07,1.226150558863992e-08
1862,1.8297843951131654e-07,2.4397126097142063e-08
1863,1.6781926603925967e-07,2.097740825490746e-08
1864,2.1576275344159512e-07,4.3632024215867204e-08
1865,1.6426886872977775e-07,2.165148416111151e-08
1866,1.8051423467113636e-07,1.6056523222118813e-08
1867,1.7712761746224714e-07,5.82337378318698e-09
1868,1.783294578672212e-07,4.3964877960434023e-08
1869,1.919222967217138e-07,2.783605879130846e-08
1870,2.2420130108002922e-07,2.121598008386627e-08
1871,1.8268424639700243e-07,1.4869648623516696e-08
1872,1.608592299362499e-07,9.071008832961525e-09
1873,2.1370036051848729e-07,2.993002112816612e-08
1874,1.8640780297118908e-07,2.9873046258899194e-08
1875,1.5219262650134624e-07,1.94531928343622e-08
1876,1.6989301343528496e-07,4.836811839936672e-09
1877,1.7255636919344397e-07,2.1028373708986692e-08
1878,1.437303041029736e-07,8.4547240319921e-09
1879,1.7778135941171058e-07,2.504823370941267e-08
1880,1.6622222176465584e-07,1.8611753915820373e-08
1881,1.624594290206005e-07,1.6036766581351003e-08
1882,1.6039477657159296e-07,2.4624924321869912e-08
1883,1.7125408646734286e-07,2.1485751844352308e-08
1884,1.3797546216665069e-07,1.9805090900604227e-08
1885,1.3858117142717674e-07,1.2891271161663553e-08
1886,1.7811559871461213e-07,1.355227396970804e-08
1887,1.5995865965123812e-07,1.4363633837888301e-08
1888,1.5217474924611452e-07,1.9655905347804037e-08
1889,1.372064986071564e-07,1.7542383545787743e-08
1890,1.3567580481321784e-07,2.0974036729626278e-08
1891,1.4405736692424398e-07,1.0198752065093686e-08
1892,1.629813226600163e-07,1.2537024751679837e-08
1893,1.3856437419690337e-07,1.6627724974682678e-08
1894,1.2729108789244492e-07,1.3863386882917439e-08
1895,1.4384488622454228e-07,2.1065151400989635e-08
1896,1.4565661388132867e-07,1.4152869098893461e-08
1897,1.0837687369757987e-07,1.7480140002135158e-08
1898,1.1599627214309294e-07,1.1882545614128048e-08
1899,1.2823981876408652e-07,1.2160672469008205e-08
1900,1.0018732865546554e-07,1.1939421895590385e-08
1901,1.1345139938612192e-07,1.1736351446245408e-08
1902,1.0311595843859322e-07,1.718599307309887e-08
1903,1.5174619250046817e-07,1.0260418292773466e-08
1904,1.1179220393842115e-07,1.2361637935498493e-08
1905,1.4604948717078514e-07,1.0321517862621477e-08
1906,1.1574415026416318e-07,1.18316245689698e-08
1907,1.1725683179975022e-07,1.2857108266928208e-08
1908,1.2376700908589555e-07,9.822778146428846e-09
1909,1.402750768875194e-07,1.265226234892225e-08
1910,1.122271626741167e-07,1.4429207162436342e-08
1911,1.2024045759062574e-07,1.1704822888702893e-08
1912,1.0887690393701632e-07,6.772247651554153e-09
1913,1.177263726503952e-07,9.015082902408267e-09
1914,1.2455943476652465e-07,1.0714789944188396e-08
1915,1.060268601804637e-07,2.238344798399794e-08
1916,1.0767713121140332e-07,2.197492321442951e-08
1917,1.3598366876976797e-07,1.315970976634162e-08
1918,1.3783650842924544e-07,1.1486376294556067e-08
1919,1.3719693470193306e-07,1.1970202606903513e-08
1920,1.1888403861348706e-07,1.8930579770426448e-08
1921,1.075330118283091e-07,4.543648568500203e-09
1922,1.0181550891275037e-07,1.4018077365562931e-08
1923,9.342033990833443e-08,1.3800733000834953e-08
1924,1.0828964747133796e-07,1.0313299547703991e-08
1925,1.1218141793278846e-07,1.5397448649423495e-08
1926,8.471064916193427e-08,1.0031524944054127e-08
1927,1.0257286930936971e-07,2.1183527820767267e-08
1928,1.0511958237202634e-07,1.3711249025050165e-08
1929,8.355304714768863e-08,1.0026365515614089e-08
1930,9.663315125862937e-08,4.201441416995522e-09
1931,9.352392282835353e-08,4.5621426636444085e-09
1932,6.13734059129456e-08,3.287861094491973e-09
1933,8.602996359741155e-08,1.7205993074753678e-08
1934,8.02765853791243e-08,3.5944740517379614e-09
1935,8.018750463634206e-08,8.377798899061872e-09
1936,8.48730010716281e-08,7.274828739411987e-09
1937,5.666003133342201e-08,8.813782592653752e-09
1938,7.779128452511941e-08,1.1668692678767911e-08
1939,7.799965828780842e-08,3.058810094103137e-09
1940,7.86092684279538e-08,0.0
1941,3.836953510472085e-08,8.854508237732261e-09
1942,9.406056733496371e-08,9.102635090130207e-09
1943,9.290352664947932e-08,3.193558839598154e-08
1944,6.7476911169706e-08,6.4263723231761105e-09
1945,4.357008265287732e-08,6.535512131478072e-09
1946,7.378185529205439e-08,5.568441707737293e-09
1947,5.8412268799656886e-08,1.1920871401116528e-08
1948,7.610321262063735e-08,1.0871888278529696e-08
1949,3.8286334103077024e-08,9.817008317369869e-10
1950,4.679559140186029e-08,1.0635361480382244e-09
1951,5.863770979885885e-08,2.1322803522849654e-09
1952,3.690681538159879e-08,2.1089607837865287e-09
1953,4.5250075686453783e-08,5.386913581872932e-09
1954,6.449873524161376e-08,9.772536557761669e-09
1955,3.754243138587299e-08,5.631364707880948e-09
1956,4.360570926564833e-08,6.104799332717903e-09
1957,3.975766915687018e-08,1.0602045463770082e-08
1958,5.21151335419745e-08,8.272243334772611e-09
1959,9.300897119146612e-08,1.3951345856355601e-08
1960,6.3671663497189e-08,6.2287499602575735e-09
1961,5.072156383789661e-08,6.25334317660986e-09
1962,5.7711801559889864e-08,8.244543714397423e-09
1963,5.1728427763464424e-08,6.466053470433053e-09
1964,5.4755716405452404e-08,9.125952438182594e-09
1965,1.0232721336933537e-07,9.849678406226303e-09
1966,8.973301390824417e-08,1.7725039214155913e-08
1967,1.1684895184771449e-07,1.1339771788243524e-08
1968,7.859977557700404e-08,1.7965662735264232e-08
1969,6.540130925714038e-08,9.991866889436096e-09
1970,6.392227902551895e-08,8.277704743875347e-09
1971,7.553444447694346e-08,1.5929032315398217e-08
1972,6.412683717371692e-08,1.5903454553267693e-08
1973,5.623467913551394e-08,7.1671650836435674e-09
1974,4.837991696149402e-08,5.06301445213353e-09
