year,seraient_VERB en_PRON,seraient_VERB sans_ADP
1800,0.0,3.521464293498866e-07
1801,1.6668277424969347e-08,1.500145003774378e-07
1802,6.713520406265161e-09,3.2224897950072773e-07
1803,9.751696339321825e-09,2.574447819370107e-07
1804,4.943701892301533e-09,3.5100282502753544e-07
1805,2.842877711017877e-09,2.3311596919484145e-07
1806,0.0,2.622318788780831e-07
1807,1.1387820464392462e-08,2.903894085193315e-07
1808,0.0,3.4217717370665923e-07
1809,1.3554183553310395e-08,3.230413767596474e-07
1810,9.360507036149102e-09,3.01876355024433e-07
1811,0.0,2.8831382792304794e-07
1812,2.6672082320544632e-09,4.4542377963807667e-07
1813,8.627225156487839e-09,5.808998366774176e-07
1814,6.293354282149721e-09,3.9648131178182666e-07
1815,8.091670444798638e-09,4.234640869071882e-07
1816,4.6352077731626196e-09,4.843791998609959e-07
1817,9.341240669868967e-09,3.42512151974006e-07
1818,8.344824387052086e-09,6.31822388186265e-07
1819,3.1053151161586356e-09,4.833940465687192e-07
1820,7.119888678630559e-09,4.983921826351434e-07
1821,1.97229765852569e-09,5.127973849994305e-07
1822,4.010246357211145e-09,5.403807108450565e-07
1823,9.882686891060644e-10,4.5559187356047914e-07
1824,8.421112696055388e-09,5.355827852326911e-07
1825,3.522177216552791e-09,4.543608724816295e-07
1826,1.5854372037438225e-08,4.923663254885469e-07
1827,6.452091305675367e-09,5.806882086289988e-07
1828,4.586150570418113e-09,6.16378656559391e-07
1829,3.429270423183084e-09,7.184321475506295e-07
1830,5.218417697960831e-09,7.347532573476201e-07
1831,1.4032085715598441e-08,7.140772595448652e-07
1832,1.0823975493678972e-08,6.819104783062357e-07
1833,1.853380560135065e-08,7.401938546536257e-07
1834,1.213489042584115e-08,6.534171461680671e-07
1835,3.025235173481633e-09,7.101739356585313e-07
1836,1.0753200108126748e-08,5.800007443212962e-07
1837,2.2265250976261086e-08,5.315828843777126e-07
1838,1.0730675015224733e-08,5.807189040751837e-07
1839,1.8876983531868063e-08,5.78894116642914e-07
1840,5.732719632334238e-09,5.860113674316381e-07
1841,1.3483152372373297e-08,7.191014219642966e-07
1842,8.049918065466954e-09,7.077219379425514e-07
1843,3.5441467538532834e-09,7.54903226152237e-07
1844,1.5916826967554698e-08,6.586273570974299e-07
