year,luttant_VERB en_ADP
1800,3.144164484325529e-09
1801,3.095537337571841e-08
1802,0.0
1803,3.900678446910888e-09
1804,2.2246657849223084e-08
1805,0.0
1806,8.645007376628655e-09
1807,1.7081731584767113e-08
1808,2.2660739951163578e-09
1809,2.0331274441787173e-08
1810,1.8721014072298203e-08
1811,1.504245972228091e-08
1812,2.6672082320544632e-09
1813,0.0
1814,6.293354282149721e-09
1815,1.3486118000116676e-08
1816,1.1588019432906549e-08
1817,1.556873407970727e-09
1818,3.5763532135746345e-09
1819,9.315945348475907e-09
1820,1.0679833017945839e-08
1821,2.3667571014129862e-08
1822,2.0051231786055723e-08
1823,7.906149512848515e-09
1824,6.736890156844311e-09
1825,1.761088586071935e-08
1826,2.642395191543301e-09
1827,3.6869092223668076e-09
1828,8.255071293206129e-09
1829,6.858540846366168e-09
1830,2.0873671680021744e-09
1831,1.5591206548037917e-08
1832,9.470978667991403e-09
1833,4.401778908036391e-08
1834,1.6802155666795215e-08
1835,1.2100940693926532e-08
1836,1.747394939854985e-08
1837,1.0436836284100082e-08
1838,1.4517972157790382e-08
1839,1.1885507689157748e-08
1840,8.917564020549662e-09
1841,9.630822361827995e-09
1842,2.0124794275488966e-08
1843,1.8311423488626133e-08
1844,2.4149668931272572e-08
1845,1.8414752223083752e-08
1846,2.2832554735785493e-08
1847,2.8044762068191176e-08
1848,2.413566591030758e-08
1849,9.217356655710773e-09
1850,3.530277936647508e-08
1851,3.031236062156495e-08
1852,1.6276363368206148e-08
1853,1.1943863675867306e-08
1854,1.0391328686409906e-08
1855,2.0697054736729115e-08
1856,2.4332790005132665e-08
1857,8.298565390418844e-09
1858,2.691521838737998e-08
1859,2.189634606963864e-08
1860,1.1442959635399319e-08
1861,2.2636625240934904e-08
1862,1.3102160245637151e-08
1863,2.2475793670651e-08
1864,2.685047562067666e-08
1865,1.4591217123438582e-08
1866,1.8489329178805747e-08
1867,1.649955905236311e-08
1868,3.754304200853653e-08
1869,1.025539064780645e-08
1870,1.490852596930381e-08
1871,1.0621176826930423e-08
1872,1.4513614310374123e-08
1873,2.334541804316359e-08
1874,1.6131444624534197e-08
1875,2.574687130163511e-08
1876,7.255217759905008e-09
1877,6.80329748092845e-09
1878,1.4493812372506909e-08
1879,1.1607718342077078e-08
1880,1.5402831010646878e-08
1881,1.1853263259808955e-08
1882,9.983077475794744e-09
1883,1.516641390253426e-08
1884,7.922036360241691e-09
1885,2.0626034213933053e-08
1886,1.355227396970804e-08
1887,1.1099172247952538e-08
1888,1.3315291091942072e-08
1889,1.6915869149869422e-08
1890,2.2940351840361473e-08
1891,1.1473596295275001e-08
1892,9.402768341715273e-09
1893,2.155445777418663e-08
1894,3.0877544077156927e-08
1895,1.3842813118003505e-08
1896,1.7691087705884456e-08
1897,2.2724183423861177e-08
1898,3.281845906144554e-08
1899,1.6029977345510815e-08
1900,1.038210584169974e-08
1901,2.235495527580511e-08
1902,1.6694965410124496e-08
1903,1.2420506401156217e-08
1904,1.5048950530172078e-08
1905,1.806265698123255e-08
1906,1.594697174311932e-08
1907,1.3885677496716653e-08
1908,1.2769611812402104e-08
1909,1.4852655993990993e-08
1910,1.2825961626106164e-08
1911,1.1704822888702893e-08
1912,2.0837685354990754e-08
1913,1.4318072560914885e-08
1914,1.4063162190325329e-08
1915,4.2410743361642744e-08
1916,1.538244731591476e-08
1917,2.52227767560953e-08
1918,1.378365155346728e-08
1919,1.1049418269237776e-08
1920,1.8930579326337238e-08
1921,9.844571380313027e-09
1922,1.4018077365562931e-08
1923,1.1677542488541803e-08
1924,7.734974438733389e-09
1925,7.698724324711748e-09
1926,1.89484357093761e-08
1927,8.919379901328739e-09
1928,2.6279895593006586e-08
1929,1.5596569369336066e-08
1930,1.6805765667982087e-08
1931,1.1405356659111021e-08
1932,2.082311922890767e-08
1933,1.2617728861741284e-08
1934,1.9170528275935794e-08
1935,2.154291145473053e-08
1936,1.2124715009775855e-08
1937,1.8886677000118368e-08
1938,1.1668692678767911e-08
1939,1.8352860564618823e-08
1940,1.2678914806940611e-08
1941,2.3612020783048138e-08
1942,2.1239483061208375e-08
1943,2.6129116648121453e-08
1944,2.2492303131116387e-08
1945,1.742803190651898e-08
1946,1.6705325123211878e-08
