year,faisant_VERB en_ADP,faisant_VERB sans_ADP
1800,5.722379174954995e-07,5.0306631749208464e-08
1801,6.072015708014078e-07,5.2386017301842e-08
1802,6.937304135590239e-07,5.147032311469957e-08
1803,4.134719233661599e-07,4.290746247193056e-08
1804,5.487509340262875e-07,2.9662210465630778e-08
1805,5.060322469940814e-07,5.1171799242411e-08
1806,6.512572099381941e-07,5.76333825108577e-08
1807,6.975040296453017e-07,4.27043254092041e-08
1808,5.529220508115884e-07,1.1103762576070153e-07
1809,5.399082931845101e-07,5.1957702140725814e-08
1810,6.107730934346023e-07,4.44624070894406e-08
1811,6.618682633074968e-07,2.757784400841956e-08
1812,5.22772839239849e-07,1.0402111882967802e-07
1813,4.256097554389271e-07,7.764502640839055e-08
1814,4.0906803233653477e-07,8.496028014448598e-08
1815,4.935919331039429e-07,1.8880564667256294e-08
1816,6.211178487092184e-07,5.3304887615013286e-08
1817,4.841876242167586e-07,7.317304806520042e-08
1818,5.30492385575343e-07,8.344823965167336e-08
1819,5.134121079386489e-07,7.866798057420965e-08
1820,5.838308823058469e-07,6.170570543417853e-08
1821,5.650633001508254e-07,1.0354562363090736e-07
1822,5.604319426311122e-07,7.519211919770896e-08
1823,8.489227916186337e-07,1.2946320282480883e-07
1824,6.610573315413149e-07,7.579001071178482e-08
1825,6.850634917121567e-07,4.842993561737785e-08
1826,5.610685889223532e-07,5.549030035467695e-08
1827,5.585667277596684e-07,5.899054755786892e-08
1828,4.870491823183443e-07,5.503380623439469e-08
1829,5.65829633814019e-07,7.201467866480016e-08
1830,5.458465097696319e-07,1.0645572534606629e-07
1831,4.97359486928417e-07,7.171954763407484e-08
1832,4.870789038768919e-07,2.3000948701223933e-08
1833,4.7029530714226553e-07,4.6334513115198206e-08
1834,5.367355040419852e-07,5.880754372356023e-08
1835,4.787434590980411e-07,7.638718813041123e-08
1836,6.028513066524965e-07,7.19120265557649e-08
1837,7.284911891503043e-07,3.339787468803479e-08
1838,5.693570053200148e-07,9.341999818168745e-08
1839,6.676858790299889e-07,5.663094881924735e-08
1840,5.55436834304146e-07,7.325142092895476e-08
1841,5.123597519585132e-07,6.035315891494974e-08
1842,5.433694845180526e-07,3.890793820460203e-08
1843,4.400648707658661e-07,5.3752891915337386e-08
1844,5.795920581253e-07,3.787107161201675e-08
1845,6.277756443573423e-07,5.8034370198356555e-08
1846,5.649593628476168e-07,6.498496674112175e-08
1847,6.407149575338167e-07,7.06512315318264e-08
1848,5.671881311286597e-07,5.309846429213394e-08
1849,4.4159517642583523e-07,9.21735647807509e-08
1850,4.928811101478914e-07,6.177986477950981e-08
1851,5.765798318790871e-07,4.901573547044791e-08
1852,4.3946180516840627e-07,8.138182039374442e-08
1853,5.804717879698273e-07,1.0809196737682214e-07
1854,5.71003518246016e-07,7.377843358469249e-08
1855,5.922541816971716e-07,5.837630823180007e-08
1856,5.933058950802206e-07,4.814786080942213e-08
1857,5.838284931058979e-07,9.226052388733308e-08
1858,5.001336611520912e-07,8.661806893961455e-08
1859,5.789800892053165e-07,1.0286190277319918e-07
1860,4.938781446028884e-07,6.04188276076556e-08
1861,5.946830263781067e-07,5.70631598084681e-08
1862,5.778504510445259e-07,8.629353945299734e-08
1863,5.269325207279962e-07,5.8437063188421234e-08
1864,5.878336608589052e-07,5.418042547944424e-08
1865,5.671747596025511e-07,6.542513375507042e-08
1866,7.59522198912066e-07,6.714545719432863e-08
1867,4.619876623479513e-07,6.211598702066112e-08
1868,6.0760449560604e-07,8.298988651844752e-08
1869,5.166762981900774e-07,6.788091533316276e-08
1870,4.97142032429565e-07,7.970327775552732e-08
1871,4.991953139743543e-07,6.585129996850014e-08
1872,5.793350901228678e-07,7.438227189737745e-08
1873,5.926144215351314e-07,8.619846236790352e-08
1874,6.739359115215393e-07,6.572069821686455e-08
1875,5.813071388693913e-07,5.8359578503086595e-08
1876,5.828358053960869e-07,1.0096844960116869e-07
1877,5.288017748128482e-07,6.061119639522161e-08
1878,5.821681234863263e-07,6.642997785188953e-08
1879,6.194855641794561e-07,6.536977981141945e-08
1880,5.384572969724388e-07,7.573058269372268e-08
1881,5.417638240245992e-07,8.227558789819511e-08
1882,5.71697587936626e-07,7.587139005948984e-08
1883,5.270328848894223e-07,7.267239965358385e-08
1884,5.136120337922989e-07,4.4891538486524496e-08
1885,5.743061404217542e-07,5.156508486869882e-08
1886,6.272766928105966e-07,6.647067607445933e-08
1887,6.901073392739931e-07,8.226444947467826e-08
1888,5.73825641225767e-07,7.608737528919107e-08
1889,6.102243030881027e-07,5.826577265111155e-08
1890,5.879284898924197e-07,6.488842618779245e-08
1891,6.29135523233515e-07,3.6970476458009216e-08
1892,6.243438219755149e-07,6.519253048509199e-08
1893,4.957525456816825e-07,6.035248395486192e-08
1894,5.696591784953853e-07,6.994708745544642e-08
1895,5.531106737066693e-07,6.560289733670288e-08
1896,5.142209467123848e-07,7.725108019940308e-08
1897,5.797579847310885e-07,8.215666369437713e-08
1898,5.403728899899818e-07,6.846609323929442e-08
1899,5.638129838558825e-07,7.185852268776216e-08
1900,5.642674505423884e-07,6.125442553184257e-08
1901,5.437843109135088e-07,5.476963993444883e-08
1902,7.193565796370649e-07,8.15107128460113e-08
1903,5.006004075713832e-07,3.67214987306852e-08
1904,4.966153772656412e-07,5.4283713524228006e-08
1905,6.022605703037698e-07,9.237759002189705e-08
1906,5.216203340374648e-07,5.967254040895043e-08
