year,grand_ADJ salut_NOUN
1800,1.5720821977538435e-08
1801,4.7623651688866175e-09
1802,2.2378401354217203e-09
1803,0.0
1804,2.4718509905596875e-08
1805,8.24434565060983e-08
1806,3.7461699520235925e-08
1807,9.679647661187119e-08
1808,2.4926814390369145e-08
1809,4.292158095609011e-08
1810,3.7442028144596406e-08
1811,5.264861258069686e-08
1812,8.00162469616339e-09
1813,1.4378708002027452e-08
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,2.3176038865813098e-08
1817,3.269434079022915e-08
1818,1.668964877410417e-08
1819,2.173720581311045e-08
1820,2.966620371580575e-08
1821,3.944595405869222e-08
1822,1.7043547018147365e-08
1823,3.9530746676064155e-08
1824,7.915846111927749e-08
1825,1.584979791857677e-08
1826,3.787433300317389e-08
1827,7.18947319455765e-08
1828,6.145441489024961e-08
1829,4.543783305166471e-08
1830,3.757260813586072e-08
1831,7.951515357262906e-08
1832,9.20037932505835e-08
1833,1.054110185805257e-07
1834,9.334530659543816e-08
1835,5.52105419160398e-08
1836,5.645430078971003e-08
1837,5.6358917532861597e-08
1838,6.627769977285425e-08
1839,6.921560402606275e-08
1840,4.1402977046800515e-08
1841,9.887644836226173e-08
1842,6.305769062464606e-08
1843,5.5524964182041003e-08
1844,6.147188713612195e-08
1845,6.249855033502172e-08
1846,5.678866443759034e-08
1847,2.2651540199092324e-08
1848,3.057184372323718e-08
1849,2.3462362719328667e-08
1850,6.44954596396019e-08
1851,5.159551008659946e-08
1852,5.599068941819496e-08
1853,4.956703492098313e-08
1854,4.1565314745639625e-08
1855,4.2986190607052777e-08
1856,6.678573782892272e-08
1857,4.881509241272397e-08
1858,7.487324360511138e-08
1859,5.041251616155762e-08
1860,5.904567146330919e-08
1861,6.979626476777412e-08
1862,6.776979688538631e-08
1863,4.545104914654985e-08
1864,5.178306139441702e-08
1865,7.107335164846518e-08
1866,4.4277076227672296e-08
1867,5.435148864307848e-08
1868,5.1374691167893616e-08
1869,4.150991372853241e-08
1870,3.7844721134661086e-08
1871,2.442870794538976e-08
1872,6.047338985126771e-08
1873,4.070482972906575e-08
1874,3.525019565131515e-08
1875,4.1194994082616176e-08
1876,6.046014533467314e-08
1877,3.710889728836264e-08
1878,7.367688409365414e-08
1879,5.987138718133167e-08
1880,5.0059200340513144e-08
1881,5.159655458442103e-08
1882,3.793569547383413e-08
1883,6.508919025982607e-08
1884,5.2813576623123026e-08
1885,7.541393642895855e-08
1886,5.485444226627223e-08
1887,6.528924562099192e-08
1888,5.389522428345117e-08
1889,7.14225620868092e-08
1890,8.127439343752485e-08
1891,4.9081492647928826e-08
1892,6.70730813112641e-08
1893,4.9883173147691195e-08
1894,7.120739553556632e-08
1895,6.319545065025522e-08
1896,3.715128332748563e-08
1897,4.8361721405321134e-08
1898,3.847681284696591e-08
1899,5.582854178953767e-08
1900,9.084342700305115e-08
1901,3.800342440740678e-08
1902,5.155797921929661e-08
1903,5.6702312178913417e-08
1904,2.741058757749215e-08
1905,4.5930754311029887e-08
1906,4.2696733260072506e-08
1907,5.965698335330671e-08
1908,6.384806039427815e-08
1909,4.840865458488608e-08
1910,1.1115833753461146e-07
1911,2.979409430281521e-08
1912,4.167537070998151e-08
1913,5.88631863251976e-08
1914,5.4243623814898e-08
1915,6.950649833470379e-08
1916,5.493730870220759e-08
1917,6.799183438488399e-08
1918,2.6418664589300533e-08
1919,6.537572183606954e-08
1920,6.739286106949294e-08
1921,6.815472630705699e-08
1922,1.1214461892450345e-07
1923,8.598917977664655e-08
1924,8.766304293583715e-08
1925,6.708888378170741e-08
1926,5.9074533709235766e-08
1927,8.696395070728613e-08
1928,3.427812345080383e-08
1929,8.02109281217156e-08
1930,6.722306267192835e-08
1931,5.24646406319107e-08
1932,5.4797684612140074e-08
1933,5.6206243215228824e-08
1934,5.032263672433146e-08
1935,8.138432860960165e-08
1936,9.33602990471627e-08
1937,6.295559051849864e-08
1938,6.482607517455108e-08
1939,5.964679417047591e-08
1940,3.296517903095264e-08
1941,5.9030050181263505e-08
1942,2.4273694165799498e-08
1943,3.774205836748479e-08
1944,8.032965581605822e-08
1945,1.0456819410364915e-07
1946,3.3410650246423756e-08
1947,7.629357412497484e-08
1948,3.8051606310318675e-08
1949,5.4975245689092844e-08
1950,4.2541445033350556e-08
1951,5.010858927789741e-08
1952,6.221434034614504e-08
1953,4.417269394707546e-08
1954,7.036226179479854e-08
1955,2.5341140741375057e-08
1956,4.709416612236339e-08
1957,4.329168562522412e-08
1958,4.715178647529683e-08
1959,5.3480158301866254e-08
1960,6.22874978262189e-08
1961,5.4195642806842415e-08
1962,3.9320131151043825e-08
1963,4.784879414909682e-08
1964,4.3804572302796885e-08
1965,3.830430250761907e-08
1966,3.101881840272824e-08
1967,3.54984174277817e-08
1968,3.233819256820425e-08
1969,2.9067250773007203e-08
1970,6.116304476777579e-08
1971,4.470405923218124e-08
1972,4.463227654127877e-08
1973,3.583582458555057e-08
1974,2.8690416320475975e-08
1975,3.541117843397501e-08
1976,2.0568696745826287e-08
1977,3.290997874216828e-08
1978,2.2574246694162525e-08
1979,2.750427441355896e-08
1980,3.467942022439274e-08
1981,3.605563203556983e-08
1982,3.910726431577416e-08
1983,4.673333720006667e-08
1984,2.8415142239168745e-08
1985,3.2484013701150616e-08
1986,4.016305155118971e-08
1987,4.0331389783432314e-08
1988,2.818380373525997e-08
1989,4.3904977209408e-08
1990,2.9967580417178397e-08
1991,3.399649683988315e-08
1992,2.479474914274249e-08
1993,3.43430848204207e-08
1994,2.4264663167627987e-08
1995,2.9823480018897897e-08
1996,2.5089032629210806e-08
1997,2.397447240731765e-08
1998,2.1456582288692516e-08
1999,2.3765046652801658e-08
2000,2.5624581900807186e-08
2001,2.5411028281574488e-08
2002,3.154479566447321e-08
2003,3.7502307925763034e-08
2004,2.86311431507702e-08
2005,2.6572123279500204e-08
2006,1.8118715416903797e-08
2007,2.1170741604237264e-08
2008,3.491100675212522e-08
2009,3.719190067030809e-08
2010,3.4011311100812236e-08
2011,2.9062186407413648e-08
2012,5.004251368845303e-08
2013,6.219748549529669e-08
2014,6.691225609700702e-08
2015,8.001837450977156e-08
2016,8.471780801877493e-08
2017,5.5595009484932234e-08
2018,9.035133469170731e-08
2019,9.081516338937945e-08
