year,partant_VERB en_ADP
1800,2.829747991484055e-08
1801,4.7623650800687756e-08
1802,2.2378401354217203e-09
1803,5.655983770225248e-08
1804,5.438072037122765e-08
1805,5.117179902036639e-08
1806,6.051504897186533e-08
1807,1.508886242618246e-07
1808,3.172503681980743e-08
1809,1.3554183553310395e-08
1810,9.360507036149102e-09
1811,8.524060746140094e-08
1812,3.467370524035118e-08
1813,6.326631307729258e-08
1814,6.293354282149721e-09
1815,5.394447111228828e-09
1816,6.952811659743929e-09
1817,1.8682481339737933e-08
1818,5.722165230537257e-08
1819,6.624672010957511e-08
1820,4.865257352548724e-08
1821,4.930744079700844e-08
1822,6.917674966189225e-08
1823,6.522573026135348e-08
1824,6.905312144311893e-08
1825,5.0191026446100295e-08
1826,4.492072136486058e-08
1827,2.8573547083965423e-08
1828,6.604057034564903e-08
1829,5.143905501547863e-08
1830,6.262101237552997e-08
1831,3.897801548191637e-08
1832,7.306183391619925e-08
1833,3.1275796175123105e-08
1834,7.00089788363556e-08
1835,8.168134968400409e-08
1836,6.04867480547e-08
1837,8.349469027280065e-08
1838,9.278877799445695e-08
1839,3.6355670585130895e-08
1840,4.968357014689673e-08
1841,6.93419250907823e-08
1842,7.110760691375617e-08
1843,5.3752891471248176e-08
1844,6.147188735816655e-08
1845,1.0379223747136734e-07
1846,4.27378594736183e-08
1847,2.9123408573639153e-08
1848,5.229394162142853e-08
1849,6.871119895279776e-08
1850,6.653216377827675e-08
1851,5.482022902292272e-08
1852,8.984552835045179e-08
1853,6.688563303214323e-08
1854,6.286754161699548e-08
1855,5.837630823180007e-08
1856,4.607698372849356e-08
1857,6.199516633387248e-08
1858,6.753273140702731e-08
1859,6.008764330545091e-08
1860,5.721479920395289e-08
1861,8.347255686658173e-08
1862,6.370360972063338e-08
1863,6.992468853939116e-08
1864,7.383881095446299e-08
1865,6.307171585007154e-08
1866,4.6709883294582255e-08
1867,1.033648846515689e-07
1868,6.224241388963492e-08
1869,7.325278816860958e-08
1870,5.2753248880321735e-08
1871,1.2532989668301298e-07
1872,9.615269225271561e-08
1873,7.183205563698891e-08
1874,1.0276327655489581e-07
1875,1.2759006118301386e-07
1876,6.287855569553358e-08
1877,1.0390490601253077e-07
1878,9.602151029852735e-08
1879,1.0263666316845388e-07
1880,9.947661938625174e-08
1881,1.1574362623889556e-07
1882,1.0648616366459862e-07
1883,1.308103163566443e-07
1884,1.19490716876669e-07
1885,1.1666600530091387e-07
1886,1.5359243565882252e-07
1887,1.3057849601594285e-07
1888,1.1793543075455659e-07
1889,1.4535117287550747e-07
1890,1.2977685059922806e-07
1891,1.2493471146513002e-07
1892,1.3289245970327102e-07
1893,1.35485166419258e-07
1894,1.3296248368988017e-07
1895,1.6129886271087912e-07
1896,1.2442731467388057e-07
1897,1.1536892996488746e-07
1898,1.1146959333352413e-07
1899,1.6195804519725243e-07
1900,1.5832712696450812e-07
1901,1.3636523066296036e-07
1902,1.5418290866264783e-07
1903,1.1610473693579593e-07
1904,1.6983816220061954e-07
1905,1.6204784003548411e-07
1906,2.0216645602033623e-07
1907,1.3217107541763085e-07
1908,1.6305811900707567e-07
1909,1.7493128012802117e-07
1910,1.7849462707886232e-07
1911,1.5163066180434726e-07
1912,1.7138996444288068e-07
1913,1.871955368493161e-07
1914,1.573734760285106e-07
1915,1.5432798483594468e-07
1916,1.6261443747112025e-07
1917,2.1603856037444302e-07
1918,1.7229564708287626e-07
1919,1.5561264365970828e-07
1920,1.9157746899978179e-07
1921,1.9461960931721478e-07
1922,1.6747914122205998e-07
1923,1.8790228395459962e-07
1924,1.6630195842637363e-07
1925,1.9466774858756253e-07
1926,1.649628540434378e-07
1927,1.6166375438331215e-07
1928,1.58821973350598e-07
1929,1.9718518617928282e-07
1930,1.4810081094829286e-07
1931,2.087180277499101e-07
1932,1.5781732987107944e-07
1933,1.6288340498604725e-07
1934,1.5695869848286748e-07
1935,1.8191792072741464e-07
1936,1.5883376081049505e-07
1937,1.6872098651532497e-07
1938,1.542860523784384e-07
1939,2.2941075705773528e-07
1940,2.332920234771052e-07
1941,2.0365367880970098e-07
1942,2.639764224987573e-07
1943,2.5548469473335444e-07
1944,2.217098398205053e-07
1945,2.3745694122112582e-07
1946,1.7122957718385123e-07
1947,2.1815193562702007e-07
1948,2.228736977194501e-07
1949,2.051754801613015e-07
1950,1.8824589487209664e-07
1951,2.0896347763255108e-07
1952,2.0562367630816425e-07
1953,2.3271467419760938e-07
1954,2.0131424705027712e-07
1955,1.8865071815810097e-07
1956,1.9273722351442757e-07
1957,2.2617696338045334e-07
1958,2.010155086829002e-07
1959,1.9299361575519924e-07
1960,1.6817625247966816e-07
1961,2.1469811528618266e-07
1962,2.023084135771569e-07
1963,2.2372544350446333e-07
1964,1.9955415542227684e-07
1965,1.8987990779706365e-07
1966,1.6894178322957032e-07
1967,1.853806210760922e-07
1968,1.8280062086262205e-07
1969,1.9756646629787156e-07
1970,1.9130696138347503e-07
1971,1.9680062646187935e-07
1972,2.0058873761996665e-07
1973,1.8358968034704048e-07
1974,1.867689838341846e-07
1975,2.113247647983485e-07
1976,1.959739748258471e-07
1977,2.027489784950376e-07
1978,2.001979346744065e-07
1979,1.7731479751148527e-07
1980,1.8817848967955797e-07
1981,1.625666223858957e-07
1982,2.122965794271181e-07
1983,1.8251262812185587e-07
1984,2.110839076863158e-07
1985,2.0392741539865256e-07
1986,2.205970677238156e-07
1987,2.0837885550406554e-07
1988,2.0987938498251424e-07
1989,1.8549852853766424e-07
1990,1.776260205588187e-07
1991,1.940144942480515e-07
1992,1.614413616124466e-07
1993,1.988575473177434e-07
1994,2.146895194954368e-07
1995,1.9249700411450021e-07
1996,1.8309655835935246e-07
1997,2.1097535363168163e-07
