year,restant_VERB en_ADP
1800,2.2637983665418915e-07
1801,2.2383116271562642e-07
1802,4.856113093865133e-07
1803,2.632958018278231e-07
1804,2.916784183071286e-07
1805,4.861320803684066e-07
1806,4.812387714991928e-07
1807,5.124519475430134e-07
1808,2.787271049520257e-07
1809,4.4051094905128707e-07
1810,3.416585028226393e-07
1811,4.613021289401331e-07
1812,3.7874358138623165e-07
1813,4.1410679330056155e-07
1814,6.513621428894112e-07
1815,8.010753798082249e-07
1816,4.890144076341585e-07
1817,3.8299086857485065e-07
1818,3.4690626193878416e-07
1819,3.5193568681535226e-07
1820,3.15648406967739e-07
1821,2.2089733420216362e-07
1822,2.967582304336247e-07
1823,2.391610238738906e-07
1824,5.608460895700773e-07
1825,3.9008113361660435e-07
1826,4.500880010915864e-07
1827,4.313683792389611e-07
1828,4.191741660997117e-07
1829,3.8493560206021016e-07
1830,4.164297466857647e-07
1831,3.1338323891461073e-07
1832,5.506697503543379e-07
1833,4.668202340241123e-07
1834,4.433902258682565e-07
1835,4.40928026534948e-07
1836,4.570109932156008e-07
1837,3.200629866695337e-07
1838,3.5789956776000054e-07
1839,5.362461625857406e-07
1840,3.9428374121186494e-07
1841,4.327449576457809e-07
1842,3.6425878580104154e-07
1843,4.908643119749811e-07
1844,4.1932608496608736e-07
1845,5.708572997642491e-07
1846,3.8873889707247145e-07
1847,4.562667115237673e-07
1848,4.843223582184919e-07
1849,5.446619937288233e-07
1850,4.3110123471024053e-07
1851,4.32112410742036e-07
1852,5.423284239469695e-07
1853,5.249327919010227e-07
1854,5.626904327482585e-07
1855,4.1712524634363035e-07
1856,4.90279834231e-07
1857,5.169517969250137e-07
1858,4.918144589360907e-07
1859,5.468994057622467e-07
1860,4.778580056097326e-07
1861,5.470517925876273e-07
1862,5.069180577521593e-07
1863,5.344244176086477e-07
1864,6.007793942330864e-07
1865,5.177528716870938e-07
1866,4.364454735394929e-07
1867,6.250421300535436e-07
1868,5.102890066055465e-07
1869,5.06420956725151e-07
1870,4.74205848366438e-07
1871,7.742838437074795e-07
1872,5.99291311575989e-07
1873,6.063822457491597e-07
1874,7.354743633558591e-07
1875,5.452615248202619e-07
1876,5.344676985430397e-07
1877,6.085859147741957e-07
1878,6.443707877279437e-07
1879,5.583923425866999e-07
1880,5.853075741857339e-07
1881,5.675621325140767e-07
1882,5.191200584953037e-07
1883,6.098161892120757e-07
1884,6.66771373225572e-07
1885,7.038634273204281e-07
1886,7.027822033212061e-07
1887,6.992478378542444e-07
1888,6.702029453631297e-07
1889,6.16489465421477e-07
1890,7.839046339275235e-07
1891,8.484086588822493e-07
1892,8.174140369021643e-07
1893,7.599485921661042e-07
1894,7.750893269431458e-07
1895,7.529286865093354e-07
1896,7.778181059236999e-07
