year,enlevant_VERB en_ADP
1800,2.2009151834367913e-08
1801,3.809892135109294e-08
1802,4.923248297927785e-08
1803,7.801356893821776e-09
1804,1.9774807569206132e-08
1805,2.842877755426798e-08
1806,0.0
1807,2.8469551160981155e-09
1808,0.0
1809,0.0
1810,7.020380277111826e-09
1811,1.0028307073639553e-08
1812,8.00162425207418e-09
1813,1.7254450312975678e-08
1814,5.664018942752591e-08
1815,6.74305908887618e-08
1816,0.0
1817,0.0
1818,1.0729059418679299e-08
1819,2.6912729822470283e-08
1820,3.5599443393152796e-09
1821,9.861488514673056e-09
1822,5.012807946513931e-09
1823,1.9765373782121287e-09
1824,5.894778887238772e-09
1825,7.924898959288385e-09
1826,8.807984341885344e-10
1827,6.452091305675367e-09
1828,2.4765213879618386e-08
1829,9.430493719264632e-09
1830,3.339787468803479e-08
1831,3.1182413096075834e-08
1832,2.841293600397421e-08
1833,2.6642345218874652e-08
1834,1.6802156110884425e-08
1835,1.8907719834260206e-08
1836,7.392825018825988e-09
1837,1.6698937344017395e-08
1838,6.312161904276081e-09
1839,2.23727205650448e-08
1840,8.280594876453051e-09
1841,8.346713542550788e-09
1842,9.391571076378114e-09
1843,1.063243981747064e-08
1844,2.7991662321369404e-08
1845,1.1160455670733427e-08
1846,7.025401593807601e-09
1847,1.240441438454809e-08
1848,8.04522137798358e-09
1849,1.256912263158938e-08
1850,1.2899092460827433e-08
1851,1.096404567135778e-08
1852,2.6042181744401205e-08
1853,1.911018188138769e-08
1854,1.7145692865483397e-08
1855,1.8043586180738203e-08
1856,7.248064815001953e-09
1857,7.810414537345878e-09
1858,6.361778659424999e-09
1859,2.1387128512628806e-08
1860,1.785101666484934e-08
1861,1.0846716413936974e-08
1862,1.536115412648087e-08
1863,9.989241434027463e-09
1864,1.726102105692462e-08
1865,7.0602665935837194e-09
1866,2.0435575009969398e-08
1867,1.747012134956094e-08
1868,1.1361710683388537e-08
1869,1.5627261262807224e-08
1870,8.601073631098188e-09
1871,6.37270636261178e-09
1872,3.0236694925633856e-08
1873,1.1972009161809183e-08
1874,1.3144139998644278e-08
1875,1.6592428764283795e-08
1876,2.6602464231473277e-08
1877,2.8450154232473324e-08
1878,2.959153455606156e-08
1879,1.2829582729523281e-08
1880,1.9895322722618403e-08
1881,1.1156012114099667e-08
1882,2.7952617998039386e-08
1883,2.1485751844352308e-08
1884,2.442627788923346e-08
1885,1.8692343672910283e-08
1886,1.2906927970846027e-08
1887,1.7628096316002484e-08
1888,1.7119660356001987e-08
1889,1.8795409673089125e-08
1890,1.9663159989136147e-08
1891,2.677172439291553e-08
1892,2.6327752422616868e-08
1893,1.9091091374434654e-08
1894,9.452309157609307e-09
1895,1.745398137131815e-08
1896,3.656158042986135e-08
1897,2.6220211779559577e-08
1898,1.2448380992680086e-08
1899,8.291367592505594e-09
1900,2.6474371139784125e-08
1901,2.179608138419553e-08
1902,2.6515532880466708e-08
1903,2.6461078661554893e-08
1904,2.9022976022474722e-08
1905,2.9932401446330914e-08
1906,2.2634411678268407e-08
1907,9.771402353919711e-09
1908,1.5716445034286153e-08
1909,4.1257376182102234e-08
1910,2.7255168788542505e-08
1911,1.4365010514438836e-08
1912,1.40654377034366e-08
1913,2.8105844762649212e-08
1914,2.4777952134513725e-08
1915,2.1205371680821372e-08
1916,2.0876177231343718e-08
1917,2.4126133979507358e-08
1918,4.020231614276781e-08
1919,1.749491218561161e-08
1920,1.2115570768855832e-08
1921,2.120369302360814e-08
1922,1.1804696775641332e-08
1923,8.492758496458919e-09
1924,1.675911143195208e-08
1925,1.8696901804560184e-08
1926,1.671920735191179e-08
1927,1.3379070296082318e-08
1928,2.170947865920425e-08
1929,1.6710609784809094e-08
1930,1.470504518152893e-08
1931,2.0529641986399838e-08
1932,1.53433514782364e-08
1933,2.064719240024715e-08
1934,2.875579241390369e-08
1935,2.5133395809007197e-08
1936,1.8187071404440758e-08
1937,1.510934133364117e-08
1938,1.4261735792331365e-08
1939,1.3764645423464117e-08
1940,1.7750480196809804e-08
1941,2.9515025978810172e-09
1942,0.0
1943,2.0322646676618206e-08
1944,3.2131861615880553e-09
1945,4.357008087652048e-09
1946,1.1136883415474585e-08
1947,8.344609447874518e-09
1948,1.7395020535104777e-08
1949,1.7670615193310368e-08
1950,1.3825969702452312e-08
1951,9.595261474260042e-09
1952,1.0544804140977249e-08
1953,1.2928593307037772e-08
1954,1.6613311615287785e-08
1955,9.385607846468247e-09
1956,1.744228228517386e-08
1957,1.0602045463770082e-08
1958,9.926692356998501e-09
1959,1.9376869886400527e-08
1960,1.038124963770315e-08
1961,1.459113452284555e-08
1962,8.8787386332001e-09
1963,1.5518526907953856e-08
1964,7.909158661334459e-09
1965,9.302473458205895e-09
1966,9.416426749453422e-09
1967,1.1339771788243524e-08
1968,8.533690198930799e-09
1969,8.175163657142548e-09
1970,1.103694025061941e-08
1971,7.707596338946132e-09
1972,9.234264020108185e-09
1973,6.615844760915479e-09
1974,4.500457340128605e-09
1975,9.138368284311582e-09
