year,lisant_VERB en_ADP
1800,2.2009151834367913e-08
1801,2.8574191901498125e-08
1802,6.713520406265161e-09
1803,5.851017448321727e-09
1804,1.2359254952798437e-08
1805,8.528632911009026e-09
1806,1.152667650217154e-08
1807,3.701041606518629e-08
1808,6.345007363961486e-08
1809,4.518061036407062e-09
1810,0.0
1811,6.016983888912364e-08
1812,2.6672082320544632e-09
1813,0.0
1814,1.8880061958270744e-08
1815,8.091670444798638e-09
1816,2.3176038865813098e-09
1817,2.6466848268569265e-08
1818,5.00689456561787e-08
1819,1.7596784473994376e-08
1820,2.3732962262101864e-08
1821,1.7750679148775816e-08
1822,2.0051231786055723e-08
1823,6.522573414713406e-08
1824,2.7789671008804362e-08
1825,2.1133063299316746e-08
1826,2.906634755106552e-08
1827,1.2904182611350734e-08
1828,2.4765213879618386e-08
1829,3.0006116702452346e-08
1830,1.878630406793036e-08
1831,3.4300654760954785e-08
1832,2.705993829010822e-08
1833,2.89590715851773e-08
1834,1.7735608537350345e-08
1835,2.2689263801112247e-08
1836,4.368487438455304e-08
1837,2.7135774516295896e-08
1838,5.1759727170974656e-08
1839,1.8876983531868063e-08
1840,2.293087852933695e-08
1841,1.7977535904378783e-08
1842,2.683306021822318e-08
1843,3.485077471054865e-08
1844,1.5367971784030487e-08
1845,3.961961780873935e-08
1846,1.8734404250153602e-08
1847,1.5640349459999925e-08
1848,2.815827571112095e-08
1849,3.016589289472904e-08
1850,3.326607966869233e-08
1851,3.2892137236117946e-08
1852,2.3437964458139504e-08
1853,3.881755539225651e-08
1854,3.792835201466005e-08
1855,5.3600064831016425e-08
1856,1.7084724746041502e-08
1857,9.763018060660045e-09
1858,3.229826006645453e-08
1859,2.7497735644033128e-08
1860,4.4398683035629105e-08
1861,1.9807048445841247e-08
1862,3.7499287230957634e-08
1863,3.146611149418277e-08
1864,4.746780746245349e-08
1865,2.4475590554295934e-08
1866,3.7465220259491616e-08
1867,5.532205271663315e-08
1868,4.00129813726835e-08
1869,2.9301114423674335e-08
1870,3.1537268796455464e-08
1871,3.7174120448568715e-08
1872,2.963196266136947e-08
1873,3.23244258026989e-08
1874,3.0470506562352284e-08
1875,2.803548326824057e-08
1876,1.5719638479794185e-08
1877,3.277952487223956e-08
1878,4.166971123709118e-08
1879,4.459807501078217e-08
1880,3.8507077082527985e-08
1881,1.5339516323820135e-08
1882,2.9949232205339626e-08
1883,3.7284101417345283e-08
1884,2.5746619058963915e-08
1885,4.5119449509911647e-08
1886,1.4197620856748472e-08
1887,3.852065688647599e-08
1888,2.9166827175686194e-08
1889,1.9421923624918236e-08
1890,4.1948073459252555e-08
1891,3.952016314201501e-08
1892,1.8805536683430546e-08
1893,2.7097032229139728e-08
1894,2.2685540557176864e-08
1895,1.9861428057765806e-08
1896,2.0639602027472392e-08
1897,1.0488084734028291e-08
1898,1.867257115595322e-08
1899,2.4874102777516782e-08
1900,2.1802422867089888e-08
1901,2.6825947685438223e-08
1902,2.1605249145295602e-08
1903,1.7280704867062013e-08
1904,1.7736263124845664e-08
1905,2.838417501038748e-08
1906,3.6009292214700395e-08
1907,2.262851062084792e-08
1908,2.8486056180554442e-08
1909,2.2554033307642385e-08
1910,1.4963621453034648e-08
1911,1.9153347352585115e-08
1912,1.6670147928721235e-08
1913,3.075734156254839e-08
1914,2.4777952134513725e-08
1915,3.652036184575991e-08
1916,8.789969641043172e-09
1917,9.869782324756216e-09
1918,2.067547733020092e-08
1919,2.301962176431971e-08
1920,2.4988363822586734e-08
1921,2.196096815509918e-08
1922,1.3280283983618801e-08
1923,3.715581797791856e-08
1924,1.804827443052659e-08
1925,2.1996356736053713e-08
1926,3.232380019202452e-08
1927,4.5711821883287485e-08
1928,2.742249805010033e-08
1929,3.5649300400564243e-08
1930,3.256117264704983e-08
1931,2.8513390759599133e-08
1932,2.4110979879310435e-08
1933,1.8353059516584835e-08
1934,2.3963160344919743e-08
1935,1.795242710045386e-08
1936,4.364897332465034e-08
1937,2.392312481447334e-08
1938,4.408173026604345e-08
1939,2.9058696782158222e-08
1940,5.578722350740861e-08
1941,1.4757512989405086e-08
1942,5.158159899210091e-08
1943,3.193558839598154e-08
1944,1.2852744646352221e-08
1945,3.267755976921194e-08
1946,3.3410650246423756e-08
1947,2.7418002757073623e-08
1948,2.3918153901902883e-08
1949,1.472551192094329e-08
1950,3.403315540495555e-08
1951,4.051332624932513e-08
1952,2.2144087452602434e-08
1953,1.1851209791302608e-08
1954,3.615838251036507e-08
1955,3.754243271814062e-08
1956,2.093073914188892e-08
1957,1.767007518083119e-08
1958,2.3989506825472517e-08
1959,2.1702094343822864e-08
1960,3.114375091151089e-08
1961,3.543561177821175e-08
1962,1.9025868880362395e-08
1963,2.3277792138287623e-08
1964,3.4070222199034106e-08
1965,2.7360216592331454e-08
1966,1.9386762417639147e-08
1967,3.007504723040455e-08
1968,3.862617448113781e-08
1969,2.725054712438002e-08
1970,2.161400725064766e-08
1971,2.4150468402872605e-08
1972,2.9754852082231054e-08
1973,3.363054390526088e-08
1974,2.5315072038623043e-08
1975,2.2845921154868165e-08
1976,3.313845708952101e-08
1977,3.290997874216828e-08
1978,2.1386128423728223e-08
1979,3.628223554930088e-08
1980,3.183684260665842e-08
1981,1.1322733395324747e-07
1982,9.559553737492621e-08
1983,4.7996401519867504e-08
1984,4.871166991993192e-08
1985,5.233535382842547e-08
1986,7.253327760636807e-08
1987,7.516304822985376e-08
1988,4.017691063173956e-08
1989,3.177622862615692e-07
1990,5.1217318164376024e-08
1991,7.737134222196573e-08
1992,8.705711507239755e-08
1993,5.760775617646985e-08
1994,1.244882665840663e-07
1995,9.543513090903843e-08
1996,9.341661644235444e-08
1997,7.384137334920382e-08
1998,8.677995111394665e-08
1999,1.0648568626869803e-07
2000,1.3209914295764236e-07
2001,7.75474513492469e-08
2002,1.2617917821700075e-07
2003,1.0333968636366819e-07
2004,1.1320313197948906e-07
2005,9.142612000800909e-08
2006,1.198305983329817e-07
2007,1.3741009041723373e-07
2008,1.0558450566633404e-07
2009,2.0550910329042438e-07
2010,8.408351259703295e-08
2011,6.959628762182035e-08
2012,5.8893571908136266e-08
2013,5.410902542690721e-08
2014,4.807288189745407e-08
2015,5.098123312397007e-08
2016,6.151880171945123e-08
2017,4.880286100239495e-08
2018,4.362678568403666e-08
2019,5.510133660457939e-08
