year,payant_VERB en_ADP
1800,2.5153315874604232e-08
1801,2.8574191901498125e-08
1802,8.951360541686881e-08
1803,2.9255089017965474e-08
1804,2.4718509905596875e-08
1805,1.9900143755080535e-08
1806,4.610670600868616e-08
1807,3.4163463169534225e-08
1808,2.4926814390369145e-08
1809,4.0662548883574345e-08
1810,1.4040760554223652e-08
1811,7.521229861140455e-09
1812,1.0668832928217853e-08
1813,5.751483289628823e-09
1814,5.349351184236184e-08
1815,5.1247248222807684e-08
1816,1.3905623319487859e-08
1817,1.71256075987003e-08
1818,0.0
1819,2.173720581311045e-08
1820,1.6613073583471305e-08
1821,2.7612166775270452e-08
1822,3.208197085768916e-08
1823,7.115534828017189e-08
1824,5.894778887238772e-09
1825,2.6416328680056722e-08
1826,3.3470339388941284e-08
1827,1.3825909306319772e-08
1828,3.5771975603893225e-08
1829,1.4574399298528107e-08
1830,2.817945699007396e-08
1831,1.5591206548037917e-08
1832,3.2471927369215337e-08
1833,1.50587169400751e-08
1834,1.8669062740173104e-08
1835,1.9664028627630614e-08
1836,1.4113575197427508e-08
1837,1.3219993100221927e-08
1838,2.651107955387033e-08
1839,1.4682098203877558e-08
1840,2.4841785517537573e-08
1841,2.5040138851295524e-08
1842,2.4149754196400863e-08
1843,4.0757687003178944e-08
1844,1.975882035765153e-08
1845,4.464182268293371e-08
1846,3.219975752699611e-08
1847,6.310071576365317e-08
1848,7.24069959545659e-09
1849,4.608678239037545e-08
1850,2.2403686905647646e-08
1851,1.870337307252612e-08
1852,3.059956199535918e-08
1853,1.3138249599364826e-08
1854,1.1950028522278444e-08
1855,9.552486801567284e-09
1856,9.3189408967298e-09
1857,3.221796163188628e-08
1858,1.8106600663259087e-08
1859,3.513599722282379e-08
1860,1.9224172476128842e-08
1861,2.3108222890755314e-08
1862,1.5361154154236445e-08
1863,2.1476870060155306e-08
1864,1.4863656971897399e-08
1865,2.5416959203994338e-08
1866,2.2868380966656332e-08
1867,1.552899675516528e-08
1868,2.865126980111654e-08
1869,8.692664010823137e-08
1870,5.9060702994884196e-08
1871,5.523012092112367e-08
1872,1.4513614310374123e-08
1873,4.908523720814628e-08
1874,2.0313670745508716e-08
1875,1.602027666081085e-08
1876,2.5997863417615008e-08
1877,1.6699003069220453e-08
1878,3.925407554561389e-08
1879,4.276527654223372e-08
1880,3.7223507831640745e-08
1881,1.4642265677711208e-08
1882,2.728707926280549e-08
1883,2.4013488642005143e-08
1884,2.3766109080725073e-08
1885,8.379326565943757e-09
1886,2.0651083898481915e-08
1887,3.003305337756501e-08
1888,1.9021843655764314e-08
1889,2.380751951136517e-08
1890,2.8839300725280737e-08
1891,1.2748440525456317e-08
1892,4.262588482184526e-08
1893,3.87980243488073e-08
1894,3.906954493260173e-08
1895,2.046328972937772e-08
1896,3.833068834557807e-08
1897,2.4472196713531957e-08
1898,3.791097780148078e-08
1899,3.924580482816964e-08
1900,2.6474371139784125e-08
1901,2.179608138419553e-08
1902,3.338993082024899e-08
1903,3.564145245604777e-08
1904,2.5260739278110123e-08
1905,4.3866453580676534e-08
1906,2.6749759740596346e-08
1907,2.674278576364486e-08
1908,1.3751889405000384e-08
1909,2.9155213354670195e-08
1910,1.60324518105881e-08
1911,2.606983251496331e-08
1912,1.719108944087111e-08
1913,2.2272556354785422e-08
1914,2.8795997586428257e-08
1915,4.7123048574349014e-08
1916,3.076489463182952e-08
1917,2.0836205649743533e-08
1918,1.4932289182922887e-08
1919,4.327688785110695e-08
1920,3.710393414735336e-08
1921,2.9533715528717863e-08
