year,courant_VERB en_ADP
1800,6.288328968651058e-09
1801,2.3811825844433088e-09
1802,0.0
1803,3.315576790896557e-08
1804,9.887403784603066e-09
1805,5.685755510853596e-08
1806,8.645007376628655e-09
1807,1.9928686256776018e-08
1808,1.1330369975581789e-08
1809,4.518061036407062e-09
1810,2.3401266702194334e-08
1811,7.521229861140455e-09
1812,2.1337665856435706e-08
1813,6.039057609541487e-08
1814,1.8880061958270744e-08
1815,1.6183340889597275e-08
1816,6.952811659743929e-09
1817,1.401186100480345e-08
1818,5.960588467246453e-09
1819,1.449147024601416e-08
1820,3.5599443393152796e-08
1821,2.465372084259343e-08
1822,7.118187284049782e-08
1823,2.174191093828881e-08
1824,3.3684450784221553e-09
1825,2.0252519661312363e-08
1826,2.906634755106552e-08
1827,9.217272889383565e-09
1828,4.494427585655103e-08
1829,1.5431716904323878e-08
1830,1.7742621594152297e-08
1831,2.0268567268999504e-08
1832,2.3000948701223933e-08
1833,2.548398292390175e-08
1834,2.8937046536725575e-08
1835,1.9664028627630614e-08
1836,3.763620171071125e-08
1837,4.1051556820548285e-08
1838,2.651107955387033e-08
1839,3.705481788074394e-08
1840,5.4779322411491194e-08
1841,4.751206006403663e-08
1842,3.4212151334145346e-08
1843,4.666459885172003e-08
1844,1.4819115268238647e-08
1845,2.0646843346128207e-08
1846,3.922515734444687e-08
1847,3.99098540881937e-08
1848,3.3789932407657375e-08
1849,4.1059134758825167e-08
1850,4.6844071732721204e-08
1851,6.384944484238986e-08
1852,2.408901877970493e-08
1853,1.851298847554972e-08
1854,2.2341357042154897e-08
1855,3.555647865027822e-08
1856,2.7439103156279288e-08
1857,2.928905484811395e-08
1858,3.229826139872216e-08
1859,1.1202781147190422e-08
1860,3.890606334322477e-08
1861,4.904602235455968e-08
1862,6.776979422085105e-08
1863,3.146611238236119e-08
1864,3.7398878216521325e-08
1865,5.177528938915543e-08
1866,3.795178216137174e-08
1867,3.7366650218473296e-08
1868,2.173544577654951e-08
1869,2.2952539424636598e-08
1870,2.5229815125982213e-08
1871,2.442870794538976e-08
1872,6.410179764770874e-08
1873,2.514121955066173e-08
1874,5.317401985394099e-08
1875,4.176714918369129e-08
1876,1.269663130187837e-08
1877,3.89643424192343e-08
1878,4.166971345753723e-08
1879,5.3151130496864596e-08
1880,6.610381531046983e-08
1881,5.299105709788421e-08
1882,4.059785041476971e-08
1883,5.497825039668669e-08
1884,7.261866841190567e-08
1885,5.743061298191243e-07
1886,1.5875521075514598e-07
1887,1.2143799832387003e-07
1888,8.623236236182663e-08
1889,1.1903760022136112e-07
1890,1.474736945894506e-07
1891,1.8485237640586405e-07
1892,8.149066133000815e-08
1893,1.1023565349432829e-07
1894,1.4367509049151295e-07
1895,1.1435367452961032e-07
1896,1.0142889983466574e-07
1897,7.749528951883633e-08
1898,1.9464741196628665e-07
1899,8.788850003327298e-08
1900,1.4534948511446544e-07
1901,1.6933878743685682e-07
1902,1.3797898246181717e-07
1903,1.3662557840632417e-07
1904,1.773626250312077e-07
1905,1.2282607220193142e-07
1906,1.5329669489361208e-07
1907,1.3834249362743023e-07
1908,1.635492521412374e-07
1909,1.6337920794029515e-07
1910,1.7635696614171081e-07
1911,1.3620158112459535e-07
1912,1.344030606809099e-07
1913,1.5378670292776064e-07
1914,1.8884816732622767e-07
1915,1.755333548514315e-07
1916,1.7360190684989618e-07
1917,1.4585344487727525e-07
1918,1.8378201716018339e-07
1919,1.2983066000060717e-07
1920,1.794618911254986e-07
1921,1.862895908644191e-07
1922,1.6600355490226093e-07
1923,1.921486640910075e-07
1924,1.9208520596336598e-07
1925,1.5947358322776495e-07
1926,1.7833821108759196e-07
1927,1.728129801481515e-07
1928,1.6453498785651277e-07
1929,1.5707972922385238e-07
1930,1.6595694241061665e-07
1931,2.0985855986310753e-07
1932,1.6329709873197373e-07
1933,1.6403046498858487e-07
1934,1.365900121896857e-07
1935,1.4002893067299738e-07
1936,1.551963531021272e-07
1937,2.0397612088274286e-07
1938,1.841060472962397e-07
1939,1.7588157863457354e-07
1940,1.6736167252062728e-07
1941,1.5052663115966425e-07
1942,1.3350532412914617e-07
1943,1.7709734856374837e-07
1944,1.9279116791892648e-07
1945,1.3724574898787978e-07
1946,1.795822504035982e-07
1947,1.8000515455973698e-07
1948,1.9025803821293152e-07
1949,1.462734271484578e-07
1950,1.71229314283039e-07
1951,1.5139190012725123e-07
1952,2.09841592990756e-07
1953,1.9177412635684732e-07
1954,1.4365628131507435e-07
1955,1.783265450860938e-07
1956,2.0494683150573678e-07
1957,1.5019564686413744e-07
1958,1.6709931438541048e-07
1959,1.612155540176019e-07
1960,1.7509707905816185e-07
