year,indiquant_VERB en_ADP
1800,6.288328968651058e-09
1801,2.3811825400343878e-08
1802,1.7902721083373763e-08
1803,4.8758479920252285e-08
1804,2.4718509905596875e-08
1805,3.1271653710973624e-08
1806,4.3225035994964855e-08
1807,4.839823830593559e-08
1808,5.891792298484688e-08
1809,4.51806094758922e-08
1810,3.978215445954447e-08
1811,5.0141537144554604e-08
1812,3.7340914360584065e-08
1813,7.476928232108548e-08
1814,1.0384034254684593e-07
1815,5.664169577812572e-08
1816,5.0987285504788815e-08
1817,1.0275364559220179e-07
1818,3.099506074022429e-08
1819,2.898294049202832e-08
1820,1.4239777357261119e-08
1821,3.35290586406245e-08
1822,3.0076847679083585e-08
1823,7.708495530778237e-08
1824,1.6000115010683658e-08
1825,7.924898426381333e-08
1826,2.6423952803611428e-08
1827,7.558163872545265e-08
1828,3.485474309172787e-08
1829,3.8579290873030914e-08
1830,3.339787468803479e-08
1831,4.5214498811674275e-08
1832,6.3590853471851e-08
1833,4.6334513115198206e-08
1834,6.534171603789218e-08
1835,4.764745398233572e-08
1836,5.107770206791429e-08
1837,5.0096815584765864e-08
1838,6.122797202579022e-08
1839,4.6842885126352485e-08
1840,3.821813265858509e-08
1841,6.548959419205858e-08
1842,7.848669980603518e-08
1843,7.265500556741245e-08
1844,6.970472554712615e-08
1845,6.305657507255091e-08
1846,4.156695965207291e-08
1847,5.3392913201832926e-08
1848,3.298540818263973e-08
1849,4.9438547478075634e-08
1850,5.5669765686161554e-08
1851,5.611011744122152e-08
1852,7.747549091163819e-08
1853,8.420423824873069e-08
1854,8.624802916301633e-08
1855,4.404757802944914e-08
1856,6.782117623060913e-08
1857,5.613735609699688e-08
1858,5.4809170535463636e-08
1859,6.925355933162791e-08
1860,5.309533435138292e-08
1861,5.8949545689301885e-08
1862,4.246907181482129e-08
1863,6.293222298836554e-08
1864,5.3221480555976086e-08
1865,5.17752880568878e-08
1866,6.909170480184912e-08
1867,7.570385918143074e-08
1868,4.4952855660085334e-08
1869,6.446245492952585e-08
1870,4.7019199200803996e-08
1871,4.460894587055009e-08
1872,7.680120717168393e-08
1873,6.584605216630735e-08
1874,9.320390148559454e-08
1875,6.179249112392426e-08
1876,6.892457093954363e-08
1877,6.617753456339415e-08
1878,5.435179772916854e-08
1879,7.453376582589044e-08
1880,7.508879917850209e-08
1881,8.436734333372442e-08
1882,6.788492612486152e-08
1883,8.467914369703067e-08
1884,6.931782081665006e-08
1885,7.348024411157894e-08
1886,1.1487165352264128e-07
1887,6.006610675513002e-08
1888,8.369611492753393e-08
1889,8.144677821064761e-08
1890,8.782878069268918e-08
1891,9.242619114502304e-08
1892,1.0280360385195308e-07
1893,1.2255249259851553e-07
1894,6.553600684355843e-08
1895,8.365874037963295e-08
1896,8.373780957526833e-08
1897,9.322741334472084e-08
1898,9.336285700101143e-08
1899,8.125540063019798e-08
1900,1.0278284889864153e-07
1901,7.824234415920728e-08
1902,1.0213390311264448e-07
1903,1.3554553390804358e-07
1904,7.900698761886815e-08
1905,9.753834717685095e-08
1906,9.413857782192281e-08
1907,9.411403567582965e-08
1908,8.742272683548435e-08
1909,7.536347368386487e-08
1910,1.2184663944481144e-07
1911,1.090676704507132e-07
1912,1.166910337246918e-07
1913,1.0393859639634684e-07
1914,1.1786269027425078e-07
1915,1.4490336752714938e-07
1916,1.42837009775576e-07
1917,1.7655943906902394e-07
1918,8.040463228553563e-08
1919,9.023691660559052e-08
1920,1.2418459505170176e-07
1921,1.355521845880503e-07
1922,9.443757420513066e-08
1923,1.0828266994167279e-07
1924,1.0700048136413898e-07
1925,9.458432970177455e-08
1926,8.359603498320212e-08
1927,1.0926240179287561e-07
1928,1.4168291784244502e-07
1929,1.1808830890913669e-07
1930,1.1764036145223145e-07
1931,1.2203732069338002e-07
1932,9.973178549671502e-08
1933,8.832410003378754e-08
1934,8.626737724171107e-08
1935,8.497481474023516e-08
1936,1.2730950516015582e-07
1937,1.2465207532841305e-07
1938,9.723910920911294e-08
1939,1.2082300315796601e-07
1940,9.63597486247636e-08
1941,8.854507882460894e-08
1942,6.675266206457309e-08
1943,7.83873517207212e-08
1944,5.7837350908584995e-08
1945,5.2284097051824574e-08
1946,7.517396483081029e-08
1947,5.4836007734593295e-08
