year,gardant_VERB en_ADP,gardant_VERB sans_ADP
1800,2.829747991484055e-08,0.0
1801,1.4287095950749062e-08,2.3811825844433088e-09
1802,3.1329761895904085e-08,0.0
1803,3.90067853572873e-08,0.0
1804,7.4155526164076946e-09,0.0
1805,2.55858996212055e-08,0.0
1806,6.339671898558663e-08,0.0
1807,4.839823830593559e-08,0.0
1808,2.039466551195801e-08,0.0
1809,2.25903047379461e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,7.521229861140455e-09,0.0
1812,1.8670457180292033e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,2.1577788444915313e-08,0.0
1816,3.476405652236281e-08,0.0
1817,1.2454987263765815e-08,0.0
1818,7.152706427149269e-09,0.0
1819,2.173720581311045e-08,0.0
1820,4.6279275522920216e-08,0.0
1821,2.761216755242657e-08,0.0
1822,1.7043547018147365e-08,0.0
1823,9.882686669016039e-09,8.894418535021487e-09
1824,1.6842225392110777e-08,0.0
1825,7.044354433105582e-09,0.0
1826,2.4662355713189754e-08,8.807984341885344e-10
1827,2.5808365222701468e-08,6.452091305675367e-09
1828,2.2013523448549677e-08,0.0
1829,7.715858174606183e-09,0.0
1830,1.1480519646056564e-08,1.0436835840010872e-09
1831,2.8064171431196883e-08,0.0
1832,1.0823975493678972e-08,1.3529969367098715e-09
1833,2.6642345218874652e-08,5.791814139399776e-09
1834,4.480574844478724e-08,0.0
1835,2.647080776796429e-08,0.0
1836,3.49478987970997e-08,3.36037508930076e-09
1837,3.061472142462662e-08,1.3915781860163179e-09
1838,3.787297231383491e-08,1.8936485712828244e-09
1839,2.4470162784950844e-08,6.9914749545318955e-09
1840,3.758116307039927e-08,0.0
1841,2.8250413564023802e-08,0.0
1842,2.4149754196400863e-08,8.720745015011744e-09
1843,2.7171790151214736e-08,5.906910960362666e-09
1844,2.9638231424655714e-08,9.330554107123135e-09
1845,2.3436957263811564e-08,1.1160455892778032e-09
1846,2.2832555623963913e-08,0.0
1847,3.020205241455187e-08,5.3932236454556914e-09
1848,7.24069959545659e-09,0.0
1849,4.357295679824347e-08,8.379414939696517e-10
1850,3.055048214406497e-08,5.431196825611551e-09
1851,1.9993260380601896e-08,1.9348316282474798e-09
1852,1.8880582430824688e-08,6.510545436100301e-10
1853,3.822036376277538e-08,5.971931837933653e-10
1854,2.338049043260071e-08,3.63696517347023e-09
1855,4.192480318465641e-08,0.0
1856,4.245295259774906e-08,1.0354378465748937e-09
1857,5.125584578991038e-08,2.4407544874094356e-09
1858,4.1106879677954566e-08,1.0276719919488642e-08
1859,3.920973412618878e-08,5.092173349652285e-10
1860,9.245911769539816e-08,0.0
1861,2.9238975685075275e-08,4.715963619617014e-09
1862,2.530072332196376e-08,2.2589932147099034e-09
1863,4.844782353075061e-08,2.4973103585068657e-09
1864,2.8768367577036713e-08,2.8768367688059016e-09
1865,4.189091562523117e-08,9.41368871743009e-10
1866,4.719644702833037e-08,4.865612801552288e-09
1867,4.658699204185268e-08,0.0
1868,5.87844994903719e-08,9.87974813071446e-10
1869,4.0533208789383934e-08,0.0
1870,3.039045992636602e-08,2.8670243956696595e-09
1871,3.504988654867702e-08,0.0
1872,3.4469834986339265e-08,2.4189357183956872e-09
1873,3.6514627765882324e-08,1.1972008939764578e-09
1874,5.675878611555163e-08,1.1949218281515073e-09
1875,2.6319025181464895e-08,0.0
1876,3.204387866162506e-08,6.04601479992084e-10
1877,4.08197848855707e-08,1.8554447978047506e-09
1878,3.01954443671093e-08,2.4156354694326865e-09
1879,4.154341226580982e-08,7.94212251520321e-09
1880,2.5029599726167362e-08,6.417846254436199e-10
1881,2.8587281875047665e-08,2.7890030285249168e-09
1882,4.592215674392719e-08,0.0
1883,4.9922778799782463e-08,1.2638677882037541e-09
1884,4.951272813968899e-08,3.9610181801208455e-09
1885,4.060750535828106e-08,0.0
1886,6.388929563172496e-08,0.0
1887,4.113222434876107e-08,6.528924623161458e-10
1888,5.769959243728806e-08,1.9021844099853524e-09
1889,3.821733274289585e-08,6.265136853755848e-09
1890,3.4082809463598096e-08,2.6217545912032847e-09
1891,6.246735750892185e-08,1.2748440081367107e-09
1892,3.8864776286118285e-08,7.522214851007902e-09
1893,5.296238136942577e-08,4.926733243593162e-09
1894,2.7096618282484997e-08,0.0
1895,4.032471778714353e-08,2.4074457982692365e-09
1896,3.4792471126365854e-08,1.0614652268259306e-08
1897,3.029891049166622e-08,1.1653427112179315e-09
