year,utilisant_VERB en_ADP,utilisant_VERB sans_ADP
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,8.807984341885344e-10,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,8.57317605795771e-10,0.0
1830,1.0436835840010872e-09,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,1.4935249481595747e-08,0.0
1835,6.050470346963266e-09,0.0
1836,3.36037508930076e-09,0.0
1837,0.0,0.0
1838,1.2624323808552163e-09,0.0
1839,2.7965901816529026e-09,0.0
1840,5.7327197988676915e-09,0.0
1841,6.420548537278137e-10,0.0
1842,4.695785538189057e-09,0.0
1843,5.906911071384968e-10,0.0
1844,3.841993001518773e-09,0.0
1845,5.580227946389016e-10,5.580227946389016e-10
1846,1.1709002656346001e-09,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,1.3577992064028876e-09,0.0
1851,3.8696632564949596e-09,0.0
1852,0.0,0.0
1853,2.388772735173461e-09,0.0
1854,2.0782657816909023e-09,0.0
1855,0.0,0.0
1856,1.0354378465748937e-09,0.0
1857,2.9289055625270066e-09,0.0
1858,9.787352039936081e-10,0.0
1859,5.092173349652285e-10,0.0
1860,0.0,0.0
1861,8.017138064531082e-09,0.0
1862,9.035972525772706e-10,4.517986262886353e-10
1863,7.491931519609807e-09,8.990317823531768e-09
1864,4.315255264231155e-09,0.0
1865,4.706844358715045e-10,4.706844358715045e-10
1866,4.865612912574591e-10,0.0
1867,9.7056229719783e-10,4.85281148598915e-10
1868,7.903798504571569e-09,0.0
1869,1.0743741896135361e-08,8.790334682373668e-09
1870,2.2936195165357276e-09,5.734048791339319e-10
1871,1.0621176826930423e-08,0.0
1872,7.256807155187062e-09,3.628403577593531e-09
1873,1.7958012854535355e-09,3.591602570907071e-09
1874,8.961913877669758e-09,1.1949218281515073e-09
1875,2.2886108563824337e-09,2.2886108563824337e-09
1876,2.418405919968336e-09,0.0
1877,8.658742167710898e-09,1.2369631985365004e-09
1878,9.058632732816818e-09,4.22736201599605e-09
1879,7.942122848270117e-09,1.221865053580018e-09
1880,2.5671385017744797e-09,2.5671385017744797e-09
1881,2.1614773970668466e-08,0.0
1882,1.0648616433073244e-08,6.655385131892899e-10
1883,2.1485751844352308e-08,6.319338941018771e-10
1884,5.281357573494461e-09,4.621187876807653e-09
1885,1.4824961702686323e-08,1.2891271383708158e-09
1886,1.1616235084943582e-08,1.2906927748801422e-09
1887,1.3057849246322917e-09,2.6115698492645834e-09
1888,6.340614699951175e-09,1.268122939990235e-09
1889,8.771191772893872e-09,3.759081934617825e-09
1890,5.243509182406569e-09,5.243509182406569e-09
1891,8.92390783491237e-09,1.2748440081367107e-09
1892,7.522215073052507e-09,0.0
1893,2.0322774629821794e-08,6.158416554491453e-10
1894,2.3315696040526745e-08,0.0
1895,2.1065151400989635e-08,0.0
1896,1.592197840238896e-08,4.1279202278587945e-09
1897,1.5149455023788505e-08,4.661370844871726e-09
1898,1.810673566637888e-08,3.960848538042683e-09
1899,1.492446166651007e-08,4.4220627160029835e-09
1900,1.6092265298084385e-08,5.19105292084987e-09
1901,2.3472703336580025e-08,5.588738860584641e-09
1902,3.879124377270671e-08,4.419255628107521e-09
1903,1.4580594509538969e-08,1.1340462569009446e-08
1904,1.9348650681649815e-08,6.449550227216605e-09
1905,1.5998352531632065e-08,3.6125313851442797e-09
1906,1.8519064504118887e-08,5.144184633820714e-09
1907,1.748566746950786e-08,3.0857059130084963e-09
1908,1.7189861978295085e-08,5.893666887857307e-09
1909,2.3654228797909127e-08,9.351672325408344e-09
1910,3.3668149046484075e-08,1.6032452032632705e-09
1911,3.5646507967612706e-08,4.25629931299909e-09
1912,4.948950049765699e-08,8.335073964360618e-09
1913,2.1742257771961704e-08,1.4318072505403734e-08
1914,4.2859159776753586e-08,8.036092680185902e-09
1915,2.1205371680821372e-08,2.4739600590351074e-08
1916,4.06536111441369e-08,4.394984820521586e-09
1917,3.289927352767563e-08,4.386569774084137e-09
1918,3.2161854512935406e-08,4.594550517822427e-09
1919,4.4197673076951105e-08,1.0128633265438225e-08
1920,2.8017256958889902e-08,6.815008557481406e-09
1921,4.316466117870732e-08,1.1359120755116692e-08
1922,7.599273893488245e-08,2.951174193910333e-09
1923,5.095655097875351e-08,3.1847844361720945e-09
1924,7.734974616369072e-08,1.2891624656674594e-08
1925,4.7292164850887275e-08,5.499089184013428e-09
1926,5.684530468563764e-08,7.802296586589819e-09
1927,5.4631201340527014e-08,2.2298449753321847e-09
1928,5.7130206232436365e-08,4.570416489713125e-09
1929,3.787738322991174e-08,7.798284462623428e-09
1930,4.8316575629314684e-08,1.7856126022230967e-08
1931,7.413481828422164e-08,9.124285327288817e-09
1932,4.9317913419777426e-08,9.863582839386709e-09
1933,4.81767814530798e-08,2.2941325283909464e-08
1934,6.47005329312833e-08,7.188948103475923e-09
1935,4.547947884958603e-08,1.196828414151696e-08
1936,6.426098897449606e-08,1.576212937948185e-08
1937,7.554670800047347e-08,1.6368453259474336e-08
1938,1.076112793318984e-07,9.075650453382877e-09
1939,6.117620188206274e-08,1.070583532936098e-08
1940,6.593035806190528e-08,0.0
1941,2.3612021227137348e-08,1.7709016475464523e-08
1942,7.282108560602296e-08,1.2136846860855144e-08
1943,9.00002921078169e-08,5.806470415592457e-09
1944,1.2210107236398926e-07,9.639558484764166e-09
1945,6.75336235822499e-08,4.357008087652048e-09
1946,6.682130315738277e-08,1.5313215584455975e-08
1947,7.867775098091556e-08,2.1457567278559964e-08
1948,8.371353654723634e-08,1.7395020535104777e-08
1949,7.951776992420889e-08,1.668891336237266e-08
1950,7.657460532328741e-08,1.2762433332369483e-08
1951,9.382033461236006e-08,1.7058242818279723e-08
1952,9.701219561009111e-08,1.1599283977759e-08
1953,1.0881565426501538e-07,1.4005975934594517e-08
1954,1.0847515352629955e-07,1.2704297169818801e-08
1955,8.353190672494293e-08,1.3139851429144755e-08
1956,1.1773541408466315e-07,1.5698054633972447e-08
1957,1.1132147792469738e-07,2.120409026140635e-08
1958,1.3070143944915458e-07,9.926692356998501e-09
1959,9.455912319822346e-08,1.3176271629333769e-08
1960,1.2595916443203237e-07,2.0070416439921246e-08
1961,1.1186536763574395e-07,2.36237411854745e-08
1962,1.2557073381103123e-07,1.6489087428794846e-08
1963,1.0733648059257916e-07,1.6165133231993423e-08
1964,1.0890303192567785e-07,1.3384730601639916e-08
1965,1.0396882377250449e-07,2.0246559984116175e-08
1966,1.1798229548887207e-07,1.3847687219126215e-08
1967,9.41694064948706e-08,1.2818872408004722e-08
1968,1.0779398351701275e-07,7.635406973349745e-09
1969,8.72017497099975e-08,1.8621206132607426e-08
1970,9.6113355163574e-08,1.0117195442527205e-08
1971,8.889427549618745e-08,1.798439086542203e-08
1972,8.875153834075888e-08,1.5390440200047095e-08
1973,1.0034031161509915e-07,1.4885650045926013e-08
1974,7.988311900852807e-08,1.6314157136321228e-08
1975,1.1708534097820689e-07,1.1422959911300268e-08
1976,1.0684295181917491e-07,2.3425460571324663e-08
1977,1.116588517757755e-07,1.7630345627850375e-08
1978,1.0158411001270906e-07,1.7821774500603738e-08
1979,9.597236516611929e-08,9.948355028654987e-09
1980,1.2848440045232223e-07,2.0466542349772965e-08
1981,1.258784374513766e-07,1.8344093855038324e-08
1982,1.2352929434911175e-07,1.8001756529884005e-08
1983,8.273064144859177e-08,1.894594792162252e-08
1984,9.104443271512608e-08,1.3917620389491958e-08
1985,9.143648127540871e-08,1.8046674932215012e-08
1986,9.591176852730143e-08,1.1988970705090196e-08
1987,1.0755037821441604e-07,1.649920555735207e-08
1988,9.834348424497819e-08,1.5591039570495013e-08
1989,6.64062795863174e-08,2.1952489270837816e-08
1990,7.900544263250708e-08,1.3076762783725826e-08
1991,8.264666018220623e-08,1.6998249918742658e-08
1992,8.044518606808992e-08,2.2039776226279173e-08
1993,7.754890463118613e-08,1.8833305803767075e-08
1994,8.756378355734284e-08,1.529728693716592e-08
1995,8.079451596643139e-08,2.0063068539855067e-08
1996,7.366567356115183e-08,1.3879040139386234e-08
1997,7.000545665380997e-08,1.5823151788829648e-08
1998,1.0346840761954468e-07,1.4781200818880791e-08
1999,6.032665389454905e-08,1.5081663917726473e-08
2000,7.554833980627507e-08,1.1928684928719235e-08
2001,6.440381594696731e-08,1.752484787842512e-08
2002,7.579513017219597e-08,1.6210520370485426e-08
2003,5.9170307098455055e-08,2.0001230449651075e-08
2004,7.179809760615719e-08,1.6297728056002825e-08
2005,6.575474686965066e-08,1.3961624190095279e-08
2006,6.6298030843015e-08,1.6059770735488144e-08
2007,5.752050435958722e-08,1.4779573842549354e-08
2008,6.428733745345028e-08,1.788124703860916e-08
2009,6.246331962778129e-08,1.0013204487790972e-08
2010,5.5740759119515815e-08,1.8895172759769707e-08
2011,5.5829991241207466e-08,9.55992973672437e-09
2012,5.582974577089672e-08,1.361701096325163e-08
2013,4.0163398939974115e-08,1.2272150518022329e-08
2014,3.897801259533651e-08,1.3425759975982388e-08
2015,4.012001486586314e-08,7.758013703673683e-09
2016,2.5270347869810195e-08,1.159950460682957e-08
2017,3.7985732476153444e-08,1.0062445099379147e-08
2018,3.7947560316275997e-08,9.293280478495092e-09
2019,3.7499520377792805e-08,8.163160536422964e-09
