year,ouvrant_VERB en_ADP,ouvrant_VERB sans_ADP
1800,2.2009151834367913e-08,0.0
1801,2.1430643926123594e-08,1.4287095950749062e-08
1802,6.042168365638645e-08,2.2378401354217203e-09
1803,8.386458461018265e-08,0.0
1804,2.4718509905596875e-08,4.943701892301533e-09
1805,7.960057502032214e-08,0.0
1806,7.204172902675055e-08,2.881669125542885e-09
1807,6.263301344233696e-08,2.8469551160981155e-09
1808,5.4385775882792586e-08,2.4926814390369145e-08
1809,5.421673421324158e-08,2.259030518203531e-09
1810,1.8721014072298203e-08,2.3401267590372754e-09
1811,1.0028307428910921e-07,0.0
1812,5.867858021701977e-08,0.0
1813,4.601186631703058e-08,0.0
1814,1.8880061958270744e-08,9.440030979135372e-09
1815,9.170560133497929e-08,1.0788894222457657e-08
1816,1.1588019610542233e-07,0.0
1817,1.2454987263765815e-08,0.0
1818,7.033494853203592e-08,5.9605886892910576e-09
1819,5.693077653745604e-08,0.0
1820,3.797273873118456e-08,3.5599443393152796e-09
1821,3.4515210245444905e-08,0.0
1822,5.81485721795616e-08,2.0051231786055723e-09
1823,8.49911057088093e-08,0.0
1824,6.905312588401102e-08,1.2631669044083083e-08
1825,5.8115923406987235e-08,2.641632912414593e-09
1826,7.04638769555288e-08,7.0463874735082754e-09
1827,6.083400450052068e-08,0.0
1828,3.0268594741755805e-08,2.7516903755575584e-09
1829,7.715858174606183e-08,6.001223074036943e-09
1830,5.427154770032416e-08,2.0873671680021744e-09
1831,8.886987301615079e-08,4.677361609140007e-09
1832,6.900284255095812e-08,1.3529969367098715e-09
1833,4.054269808762001e-08,2.3167257001688313e-09
1834,4.387229601832132e-08,2.8003592777992026e-09
1835,4.0840674842002045e-08,3.781543966852041e-09
1836,7.661655132551459e-08,4.032449929525228e-09
1837,6.262101670539977e-08,3.478945576063097e-09
1838,3.787297120361188e-08,1.8936485712828244e-09
1839,3.146163773948274e-08,6.9914751765765e-10
1840,4.649872664685972e-08,1.8472096741106725e-08
1841,3.017657856929645e-08,6.420548537278137e-10
1842,3.4882979615957765e-08,5.366612043644636e-09
1843,4.1939067330076796e-08,5.906911071384968e-10
1844,4.8848196598783034e-08,5.488561272137815e-10
1845,4.240973244806767e-08,2.2320911785556063e-09
1846,3.6297908678761814e-08,2.3418005312692003e-09
1847,6.579732936273786e-08,3.775256551818984e-09
1848,6.757986570349317e-08,9.65426583121598e-09
1849,1.0809445205595125e-07,5.02764896381791e-09
1850,5.499086874749537e-08,2.7155984128057753e-09
1851,6.44943867200709e-08,2.1283147688677673e-08
1852,4.8829090104618444e-08,1.1067927019325907e-08
1853,3.642878332321686e-08,8.957897978945084e-09
1854,4.364358102693089e-08,6.234797567117312e-09
1855,6.474463276617826e-08,9.552486801567284e-09
1856,8.594133915629243e-08,5.694908100650764e-09
1857,4.735063896532665e-08,7.810414592857029e-09
1858,3.229826267547864e-08,1.4191660291373864e-08
1859,5.041251616155762e-08,3.055304009791371e-09
1860,6.179198441813583e-08,1.9681891672007623e-08
1861,4.0557289082698844e-08,1.0375119874339589e-08
1862,3.7951086273579904e-08,1.2650361647104091e-08
1863,6.692791798545983e-08,6.493007020935693e-09
1864,8.438721010861627e-08,6.712618905169165e-09
1865,3.859612363044107e-08,3.294791106611683e-09
1866,7.833636611609407e-08,1.2164032670014535e-08
1867,4.804283548764943e-08,1.6014277903764196e-08
1868,4.9892727060907305e-08,1.7783547412442147e-08
1869,5.078859777185585e-08,1.2208797528501236e-08
1870,4.759260363584872e-08,7.454262984651905e-09
1871,8.496942016655851e-08,0.0
1872,4.354084193192165e-08,3.0236697590169115e-09
1873,5.267683800269651e-08,4.190203295451056e-09
1874,3.286035016314415e-08,7.169530746864439e-09
1875,6.408110309052972e-08,1.8308887461682133e-08
1876,5.078652587364729e-08,1.6928840551599933e-08
1877,4.143826615177204e-08,4.329371083855449e-09
1878,4.408534692856847e-08,1.268208649207736e-08
1879,6.231511662235789e-08,1.2829582729523281e-08
1880,5.519347823224052e-08,7.059631101924424e-09
1881,2.7890030063204563e-08,6.9725074602899895e-09
1882,6.189507928411331e-08,5.324307883469714e-09
1883,3.2228627433461554e-08,3.791603475633565e-09
1884,4.093052119458207e-08,3.300848483434038e-09
1885,4.511945134177964e-08,3.867381359601296e-09
1886,5.420909632292137e-08,4.5174246565693466e-09
1887,2.285123695822122e-08,6.528924512139156e-09
1888,3.6775563927449184e-08,5.706553452000662e-09
1889,4.322944491264025e-08,9.397705447167226e-09
1890,4.915789730830511e-08,1.4419650640196124e-08
1891,4.461953917456185e-08,3.824531802365527e-09
1892,7.835640336573135e-08,6.268512375839919e-09
1893,3.571881634911733e-08,3.0792082772457263e-09
1894,4.0960006941759275e-08,8.82215478448245e-09
