year,rentrant_VERB en_ADP
1800,2.1694735607979965e-07
1801,2.809795489611133e-07
1802,3.826706631571142e-07
1803,3.7836579735994746e-07
1804,4.375176274606929e-07
1805,3.3261667908845993e-07
1806,2.9681191904273874e-07
1807,3.3309373748124926e-07
1808,7.319418955376022e-07
1809,2.643065784013743e-07
1810,2.92515835553786e-07
1811,2.131015293116434e-07
1812,2.9872731621694015e-07
1813,1.8692320691293673e-07
1814,3.27254436438551e-07
1815,2.1847511155748123e-07
1816,3.8008704450476216e-07
1817,3.409552850053288e-07
1818,3.4332990139773756e-07
1819,3.1156659696662814e-07
1820,3.298881745550375e-07
1821,3.264152618198679e-07
1822,3.2282483175549714e-07
1823,3.8443652139452666e-07
1824,3.722131953765029e-07
1825,3.9536439544463065e-07
1826,2.4926594277552283e-07
1827,4.037165632908568e-07
1828,3.72395442482798e-07
1829,2.880587173237359e-07
1830,1.9725619049282272e-07
1831,2.806417001011141e-07
1832,3.111893076557237e-07
1833,3.6951774262661274e-07
1834,2.912373622265818e-07
1835,3.093303106993517e-07
1836,3.441023936900933e-07
1837,3.6041875572934146e-07
1838,3.206578327308307e-07
1839,2.9853597638407336e-07
1840,3.197583851033414e-07
1841,2.728733248247295e-07
1842,2.99188635199954e-07
1843,2.6758308324659197e-07
1844,3.221785567220081e-07
1845,3.11376720851797e-07
1846,2.523290101308362e-07
1847,2.5456015162461654e-07
1848,2.4135665710467435e-07
1849,2.8825188103098753e-07
1850,3.1025711866305983e-07
1851,2.921595729787896e-07
1852,2.864639978561456e-07
1853,2.765004429861051e-07
1854,2.769289260129426e-07
1855,3.125786030011568e-07
1856,3.3082239037085515e-07
1857,2.5383846402604604e-07
1858,2.877481559693251e-07
1859,3.248806663691539e-07
1860,3.423733461183076e-07
1861,2.829578198415561e-07
1862,3.1896983904156073e-07
1863,3.7759334325926375e-07
1864,3.130957404451351e-07
1865,2.9511913979263227e-07
1866,3.2356325174731637e-07
1867,3.0621241720041326e-07
1868,3.156579437835205e-07
1869,3.0619663737851965e-07
1870,3.1422588531171414e-07
1871,4.0360474917733313e-07
1872,2.4733616488248344e-07
1873,2.573981783271506e-07
1874,3.0589999244767796e-07
1875,2.958029439170673e-07
1876,2.3095775869563795e-07
1877,2.560513792104757e-07
1878,2.294853735929081e-07
1879,3.0729905775572774e-07
1880,3.2217589396310586e-07
1881,2.7820305970038817e-07
1882,2.2561755952388296e-07
