year,aimant_VERB en_ADP,aimant_VERB sans_ADP
1800,5.973912209356058e-08,3.458580977167003e-08
1801,6.667310969987739e-08,1.1905912700171939e-08
1802,1.1189200677108602e-08,0.0
1803,2.7304748684287006e-08,0.0
1804,1.2359254952798437e-08,2.4718509461507665e-09
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,1.4408345627714425e-08,3.7461699520235925e-08
1807,4.27043254092041e-08,5.693910232196231e-09
1808,4.305540635130001e-08,2.2660739951163578e-09
1809,1.129515236897305e-08,0.0
1810,3.2761775958789485e-08,9.360507036149102e-09
1811,4.262030373070047e-08,2.0056614147279106e-08
1812,7.734904095002548e-08,1.600324939232678e-08
1813,2.5881675469463516e-08,2.5881675469463516e-08
1814,0.0,2.5173417128598885e-08
1815,6.47333635583891e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,3.89218364205135e-08,1.556873407970727e-09
1818,3.9339884239097955e-08,4.768470951432846e-09
1819,2.5877625375869684e-08,1.6561680027393777e-08
1820,2.610625848831205e-08,7.119888678630559e-09
1821,1.2819934447350079e-08,7.88919063410276e-09
1822,6.215881853677274e-08,2.105379337535851e-08
1823,2.1741910716244206e-08,6.917880712720148e-09
1824,4.54740085586991e-08,1.6842225392110777e-08
1825,3.434122675116669e-08,4.402721520690989e-09
1826,2.554315514657901e-08,2.6423953580767545e-08
1827,1.6591091500650634e-08,2.1199728195142598e-08
1828,4.861319524707142e-08,2.6599674129990092e-08
1829,2.3147576133641934e-08,6.001223074036943e-09
1830,1.6698937344017395e-08,4.174734336004349e-09
1831,8.731075240575592e-08,3.1182412207897414e-09
1832,6.088486514954639e-08,3.6530916958099624e-08
1833,4.51761508202253e-08,1.1583628500844156e-09
1834,6.067445212920575e-08,5.600718555598405e-09
1835,2.4958190181223472e-08,7.563087933704082e-09
1836,4.032450107160912e-08,8.736974699274924e-09
1837,4.0355768504696243e-08,1.3915782304252389e-08
1838,2.9667161172142187e-08,1.1993107174035345e-08
1839,4.61437359433603e-08,1.3982950353153e-09
1840,4.331388153699933e-08,1.2102408297742784e-08
1841,3.723918240439161e-08,8.988767952189392e-09
1842,2.2808102073668124e-08,1.475818312002275e-08
1843,2.3036953678001737e-08,2.4809027276972984e-08
1844,1.4819115712327857e-08,9.879410178825765e-09
1845,3.459741293454499e-08,1.0602432709561072e-08
1846,6.674131336481537e-08,1.6392603274795192e-08
1847,2.8044762956369595e-08,2.426950729272903e-08
1848,5.873011943435813e-08,1.367687652020777e-08
1849,3.9383248662261394e-08,1.5920887719289567e-08
1850,6.85688590351674e-08,1.0862393651223101e-08
1851,2.8377529659451284e-08,1.096404567135778e-08
1852,5.4037528229855525e-08,1.6927417911816178e-08
1853,5.01642283268211e-08,1.6721409590303438e-08
1854,9.144369084168602e-08,1.0391328686409906e-08
1855,4.086341576226005e-08,1.5920811335945473e-08
1856,8.024642994541864e-08,1.2942972638096961e-08
1857,4.637433642651345e-08,7.322263684272912e-09
1858,4.208561321661364e-08,2.300027723833864e-08
1859,4.481112658716313e-08,1.476730249194702e-08
1860,5.8587953821742644e-08,9.612086238064421e-09
1861,4.810282866474225e-08,1.4147890858851042e-08
1862,3.7499287230957634e-08,1.762014723016847e-08
1863,3.296449824219394e-08,5.494082799817335e-09
1864,3.9796242301548546e-08,1.1986819981046892e-08
1865,3.765475553585418e-08,4.23615986733239e-09
1866,3.2113046444237625e-08,3.4059290943133647e-09
1867,6.357182869010103e-08,8.73506067478047e-09
1868,7.558007508734477e-08,1.1361710683388537e-08
1869,5.078860043639111e-08,1.953407746668745e-08
1870,2.9243649279919737e-08,3.4404292748035914e-09
1871,2.761506068260644e-08,1.4869648623516696e-08
1872,6.41017957603296e-08,3.084143074261192e-08
1873,6.764185345176088e-08,1.4366410450161737e-08
1874,6.392831863877291e-08,1.6728906260254917e-08
1875,6.293679888358383e-08,2.1741803024610817e-08
1876,1.1306047653647511e-07,1.269663130187837e-08
1877,6.061119739442233e-08,1.5462040536817767e-08
1878,1.6365930832762388e-07,2.4156354194726504e-08
1879,1.0141480055736452e-07,3.1157559643446575e-08
1880,7.893951070592209e-08,7.701415505323439e-09
1881,1.011013606166955e-07,1.4642266066289267e-08
