year,représentant_VERB en_ADP
1800,0.0
1801,0.0
1802,5.147032311469957e-08
1803,0.0
1804,4.943701892301533e-09
1805,5.685755422035754e-09
1806,2.881669125542885e-09
1807,2.562259560079383e-08
1808,0.0
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,8.00162425207418e-09
1813,8.627225156487839e-09
1814,0.0
1815,0.0
1816,1.8540831092650478e-08
1817,0.0
1818,2.384235475716423e-09
1819,2.070210003424222e-09
1820,1.1866481131050932e-09
1821,9.86148829262845e-10
1822,7.017931125119503e-09
1823,2.3718449426723964e-08
1824,0.0
1825,1.7610886082763955e-09
1826,8.80798456392995e-09
1827,9.217273166939322e-09
1828,9.172301251858528e-10
1829,2.571952872898464e-09
1830,3.1310507520032616e-09
1831,0.0
1832,0.0
1833,1.2741991461950875e-08
1834,9.334530925997342e-10
1835,2.2689263801112247e-09
1836,9.409050427677812e-09
1837,6.262101948095733e-09
1838,7.574594285131298e-09
1839,9.088918062616358e-09
1840,5.095750932326837e-09
1841,5.778493683550323e-09
1842,4.695785538189057e-09
1843,2.3627644285539873e-09
1844,3.2931368743049916e-09
1845,2.7901139176833567e-09
1846,4.0981511517657054e-09
1847,1.0786447290911383e-09
1848,8.045221711050488e-10
1849,8.379414939696517e-10
1850,0.0
1851,4.514607354622058e-09
1852,6.510545436100301e-10
1853,1.1943863675867306e-09
1854,9.871762074453727e-09
1855,5.306937111981824e-10
1856,4.141751386299575e-09
1857,6.8341128311999455e-09
1858,5.3830437884982985e-09
1859,2.5460866748261424e-09
1860,2.746310290291376e-09
1861,5.659156698811785e-09
1862,1.8071945051545413e-09
1863,1.2986014041871385e-08
1864,3.835782358407869e-09
1865,4.23615986733239e-09
1866,7.298419202328432e-09
1867,1.6014277903764196e-08
1868,1.0867722721741302e-08
1869,3.906815315701806e-09
1870,4.587239033071455e-09
1871,0.0
1872,5.442605477412599e-09
1873,1.0176207432266438e-08
1874,2.9873046258899194e-09
1875,4.005069165202713e-09
1876,1.3301232115736639e-08
1877,1.2369631985365004e-09
1878,7.2469061862534545e-09
1879,9.774920428640144e-09
1880,5.134277003548959e-09
1881,3.4862537301449947e-09
1882,1.3310770263785798e-09
1883,3.159669414998234e-09
1884,2.6406787867472303e-09
1885,3.86738152613475e-09
1886,3.2267319927115068e-09
1887,3.9173548849191775e-09
1888,3.804368819970705e-09
1889,5.6386229019267375e-09
1890,3.9326319978272295e-09
1891,7.649063604731055e-09
1892,5.014809900671935e-09
1893,5.542574843531156e-09
1894,8.822155450616265e-09
1895,6.6204757231957956e-09
1896,5.89702897624278e-10
1897,1.1653427112179315e-09
1898,6.7900258748920805e-09
1899,0.0
1900,1.038210628578895e-09
1901,1.1177477832191585e-09
1902,6.38336894454028e-09
1903,1.0800440541913758e-09
1904,3.2247751136083025e-09
1905,1.5482277682110634e-09
1906,2.572092316910357e-09
1907,3.599990305858114e-09
1908,3.437972351250096e-09
