year,conduisant_VERB en_ADP
1800,6.288328968651058e-09
1801,2.8574191901498125e-08
1802,3.5805442166747525e-08
1803,4.290746247193056e-08
1804,1.2359254952798437e-08
1805,2.842877755426798e-08
1806,2.0171682990621775e-08
1807,2.8469550272802735e-08
1808,1.8128591960930862e-08
1809,6.09938268780752e-08
1810,1.8721014072298203e-08
1811,0.0
1812,8.00162425207418e-09
1813,2.5881675469463516e-08
1814,0.0
1815,2.966945977789237e-08
1816,1.3905623319487859e-08
1817,6.07180652423267e-08
1818,4.172412104708201e-08
1819,3.622867339458935e-08
1820,2.254631326081835e-08
1821,4.2404398215012407e-08
1822,6.717162648328667e-08
1823,7.313188632451784e-08
1824,5.642145595174952e-08
1825,5.0191026446100295e-08
1826,5.460950447400137e-08
1827,5.1616730445402936e-08
1828,5.503380862137419e-08
1829,3.772197487705853e-08
1830,3.026682549034376e-08
1831,4.677361786775691e-08
1832,4.464889968858188e-08
1833,6.02348677603004e-08
1834,3.173740381612333e-08
1835,3.554651328840919e-08
1836,4.5701099793404865e-08
1837,5.0096815584765864e-08
1838,6.059675428105038e-08
1839,4.544459031308179e-08
1840,6.17859825524647e-08
1841,1.733548060656176e-08
1842,3.4882980060046975e-08
1843,2.7762482091020502e-08
1844,3.1833653935109396e-08
1845,2.9017185099178278e-08
1846,2.1076203893244383e-08
1847,2.6426796750911308e-08
1848,5.148941895072312e-08
1849,3.1841775438579134e-08
1850,2.7834882843080777e-08
1851,7.28786559989203e-08
1852,4.557381672043448e-08
1853,4.060913738612726e-08
1854,3.065441944727354e-08
1855,3.078023524949458e-08
1856,4.866558001026533e-08
1857,3.3194261561675376e-08
1858,2.838332058274773e-08
1859,2.036869339860914e-08
1860,4.394096464466202e-08
1861,3.254015012998934e-08
1862,4.382446761042047e-08
1863,3.1965573299430616e-08
1864,3.404256787575832e-08
1865,3.4830648587558244e-08
1866,2.968023871119385e-08
1867,3.4454963326879806e-08
1868,2.9639243948054173e-08
1869,3.711474505507795e-08
1870,3.268407766654491e-08
1871,2.6552942955504477e-08
1872,1.8746751706544273e-08
1873,2.21482157058972e-08
1874,3.4055272379873713e-08
1875,2.4030413214859436e-08
1876,4.836811839936672e-08
1877,4.638611983409646e-08
1878,4.589707458535486e-08
1879,4.581993806596074e-08
1880,4.1074216028391675e-08
1881,4.671580100534811e-08
1882,3.128031167420886e-08
1883,2.0221884611260066e-08
1884,2.3766109080725073e-08
1885,2.5782542323327107e-08
1886,3.807543791367607e-08
1887,2.415702127223085e-08
1888,3.61415040117663e-08
1889,3.5084767091575486e-08
1890,2.0974036729626278e-08
1891,3.888274235919198e-08
1892,2.6327752422616868e-08
1893,2.9560400349737392e-08
1894,5.356308463433379e-08
1895,2.6481902892783182e-08
1896,3.2433661090180976e-08
1897,1.8645483379486905e-08
1898,1.810673566637888e-08
1899,2.3215829259015663e-08
1900,1.245852754294674e-08
1901,4.694540578498163e-08
1902,4.713872669981356e-08
1903,3.2401320737562855e-08
1904,2.3110889202371254e-08
1905,3.096455358786443e-08
1906,1.8519063615940468e-08
1907,3.7028470956101955e-08
1908,1.3260750719723546e-08
1909,1.980354014108343e-08
1910,3.153049021875631e-08
1911,3.6710581241550244e-08
1912,2.7088990606216612e-08
1913,3.7651226136858895e-08
1914,2.6117300322425763e-08
1915,4.2410743361642744e-08
1916,1.538244731591476e-08
1917,2.0836205649743533e-08
1918,1.4932290071101306e-08
1919,2.2098836538475553e-08
1920,3.104614876292544e-08
1921,3.180553775905537e-08
1922,2.951174238319254e-08
1923,4.2463792482294593e-08
1924,3.351822286390416e-08
1925,3.739380360912037e-08
1926,4.458455293843144e-08
1927,4.2367055641534535e-08
