year,supposant_VERB en_ADP,supposant_VERB sans_ADP
1800,3.144164395507687e-08,3.144164484325529e-09
1801,4.5242469104422867e-08,1.1905912700171939e-08
1802,4.923248297927785e-08,4.475680270843441e-09
1803,3.705644502360883e-08,7.801356893821776e-09
1804,5.6852570651244605e-08,2.4718509461507665e-09
1805,4.5486043376286034e-08,2.842877755426798e-08
1806,5.4751712497136396e-08,2.305335300434308e-08
1807,2.2775640928784924e-08,1.7081731584767113e-08
1808,4.985362878073829e-08,2.2660739062985158e-08
1809,7.454800510231507e-08,9.036122072814123e-09
1810,9.360507036149102e-09,2.3401266702194334e-08
1811,2.5070767684098882e-08,4.512738271955641e-08
1812,8.001624962616916e-08,1.0668832928217853e-08
1813,3.163315653864629e-08,2.0130190847567064e-08
1814,8.810695817373926e-08,0.0
1815,5.1247248222807684e-08,5.1247248222807684e-08
1816,7.18457204840206e-08,2.7811246638975717e-08
1817,2.4909974194464723e-08,4.670620334934483e-09
1818,6.914282835168706e-08,4.530047448270125e-08
1819,4.450951429646466e-08,1.449147024601416e-08
1820,9.493184904840746e-09,4.746592452420373e-09
1821,3.155676253641104e-08,2.2681422962023134e-08
1822,6.115625694746996e-08,2.2056354964661296e-08
1823,5.040170170111935e-08,1.3835761869529506e-08
1824,6.315834610859383e-08,3.2000230021367315e-08
1825,3.9624492131906663e-08,6.163809906922779e-09
1826,4.3159124052394304e-08,2.554315514657901e-08
1827,6.728609136530395e-08,1.474763688946723e-08
1828,4.953042775923677e-08,2.2013523448549677e-08
1829,4.1151244023485134e-08,3.8579290873030914e-08
1830,6.99268030146527e-08,2.817945699007396e-08
1831,8.419251429359065e-08,1.7150327380477393e-08
1832,5.547287251772559e-08,3.111892887819323e-08
1833,3.475088417026484e-08,0.0
1834,2.800359255594742e-08,1.3068342852307069e-08
1835,6.655517381659593e-08,1.285724948729694e-08
1836,4.2340726480460944e-08,1.4785650037651976e-08
1837,4.453050195252217e-08,1.3219993100221927e-08
1838,5.870310637590137e-08,3.724175701158572e-08
1839,4.404629294629814e-08,2.7965899818127582e-08
1840,5.3505384289831426e-08,1.4013314952876499e-08
1841,6.29213738889689e-08,3.017657945747487e-08
1842,3.8237111255057243e-08,5.366612043644636e-09
1843,3.071593823733565e-08,9.451057714215949e-09
1844,3.512679142003705e-08,9.879410289848067e-09
1845,7.365901000255803e-08,1.4508592383055685e-08
1846,2.3418005312692003e-08,7.610851504580296e-09
1847,5.069630315546192e-08,2.1033571329098777e-08
1848,5.3902985408527115e-08,2.494018680465615e-08
1849,1.256912263158938e-08,5.865590679832167e-09
1850,2.7155984128057753e-08,1.5614691761811628e-08
1851,2.9667417633660875e-08,1.805842941848823e-08
1852,2.539112742283578e-08,1.3021090872200602e-08
1853,3.1651238963092965e-08,7.166318205520383e-09
1854,2.6497887994914038e-08,2.2860923487577622e-08
1855,2.653468555990912e-08,1.751289246954002e-08
1856,2.536822796272986e-08,9.836659486950339e-09
1857,1.9037886378470148e-08,2.001418764052687e-08
