year,errant_VERB en_ADP,errant_VERB cent_DET
1800,6.917161954334006e-08,0.0
1801,3.095537337571841e-08,0.0
1802,4.4756802708434407e-08,0.0
1803,4.095712213825209e-08,0.0
1804,7.168367766041683e-08,0.0
1805,3.980028662198265e-08,0.0
1806,4.3225035994964855e-08,0.0
1807,5.693910143378389e-08,0.0
1808,4.985362700438145e-08,0.0
1809,3.840351725514779e-08,0.0
1810,6.786367556799178e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,2.400487364440096e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,1.8880062846449164e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,3.892183464415666e-08,0.0
1818,4.2916237674717195e-08,0.0
1819,5.072014630513877e-08,0.0
1820,7.357218212433736e-08,0.0
1821,3.9445952282335384e-08,0.0
1822,4.210758675071702e-08,0.0
1823,2.174191138237802e-08,0.0
1824,5.221089960372183e-08,1.2631669044083083e-08
1825,4.9310479255382234e-08,0.0
1826,2.2019960965735663e-08,0.0
1827,1.566936447261469e-08,0.0
1828,1.6510142586412258e-08,0.0
1829,5.572564276690173e-08,0.0
1830,5.635891398014792e-08,2.0873671680021744e-09
1831,4.5214498367585065e-08,0.0
1832,2.4353944860777688e-08,0.0
1833,3.4750885724577074e-08,0.0
1834,4.200539027721106e-08,0.0
1835,4.9160071569076536e-08,0.0
1836,4.9061474882705625e-08,6.720750067579218e-10
1837,4.244313345225237e-08,0.0
1838,4.292270205930038e-08,0.0
1839,4.474544024191118e-08,0.0
1840,4.1402977046800515e-08,0.0
1841,3.338685417020315e-08,1.2841097074556274e-09
1842,2.0124794275488966e-08,0.0
1843,4.134837727765017e-08,1.1813822142769936e-09
1844,4.061535296973062e-08,0.0
1845,2.2320911341466854e-08,5.580227946389016e-10
1846,4.742145964797828e-08,0.0
1847,3.020205241455187e-08,0.0
1848,3.9421587549881565e-08,0.0
1849,3.603148490682884e-08,0.0
1850,2.851378244628222e-08,0.0
1851,2.6442698919382224e-08,0.0
1852,3.2552726736412296e-08,0.0
1853,4.538668063602813e-08,0.0
1854,2.7017454939937124e-08,5.195664454227256e-10
1855,4.8823821430232783e-08,0.0
1856,3.572260709461261e-08,5.177189232874468e-10
1857,3.3194261561675376e-08,0.0
1858,6.263905127923408e-08,0.0
1859,3.920973634663483e-08,0.0
1860,1.9681891227918413e-08,0.0
1861,3.7256114637784776e-08,0.0
1862,4.337266906739856e-08,0.0
1863,2.097740825490746e-08,0.0
1864,5.4180424036154307e-08,0.0
1865,3.059448761000283e-08,0.0
1866,3.3572728597164314e-08,0.0
1867,3.008743121313273e-08,0.0
1868,2.7169306804353255e-08,0.0
1869,2.539429999615095e-08,0.0
1870,5.676708170199163e-08,0.0
